source_path,intended_path,size_bytes,reason,category
/Users/xq/Desktop/4.18 修改/最全版_图数据代码附表_20260604/01_完整_current_source_data_20260602/figure1_source_data/Fig1D_marker_feature_long.csv,/Users/xq/Desktop/4.18 修改/github_ready_reproducibility_repo_20260606/source_data/figure1_source_data/Fig1D_marker_feature_long.csv,118772779,excluded_gt_95MB_standard_github_limit,source_data
/Users/xq/Desktop/4.18 修改/最全版_图数据代码附表_20260604/01_完整_current_source_data_20260602/figure2_source_data/gsea_pngs/Fig2G_CtrlvsAZFc_Del_HALLMARK_OXIDATIVE_PHOSPHORYLATION.png,/Users/xq/Desktop/4.18 修改/github_ready_reproducibility_repo_20260606/source_data/figure2_source_data/gsea_pngs/Fig2G_CtrlvsAZFc_Del_HALLMARK_OXIDATIVE_PHOSPHORYLATION.png,41918,excluded_extension_or_plot_asset,source_data
/Users/xq/Desktop/4.18 修改/最全版_图数据代码附表_20260604/01_完整_current_source_data_20260602/figure2_source_data/gsea_pngs/Fig2G_CtrlvsKS_HALLMARK_OXIDATIVE_PHOSPHORYLATION.png,/Users/xq/Desktop/4.18 修改/github_ready_reproducibility_repo_20260606/source_data/figure2_source_data/gsea_pngs/Fig2G_CtrlvsKS_HALLMARK_OXIDATIVE_PHOSPHORYLATION.png,42084,excluded_extension_or_plot_asset,source_data
/Users/xq/Desktop/4.18 修改/最全版_图数据代码附表_20260604/01_完整_current_source_data_20260602/figure2_source_data/gsea_pngs/Fig2H_CtrlvsAZFc_Del_HALLMARK_APOPTOSIS.png,/Users/xq/Desktop/4.18 修改/github_ready_reproducibility_repo_20260606/source_data/figure2_source_data/gsea_pngs/Fig2H_CtrlvsAZFc_Del_HALLMARK_APOPTOSIS.png,42198,excluded_extension_or_plot_asset,source_data
/Users/xq/Desktop/4.18 修改/最全版_图数据代码附表_20260604/01_完整_current_source_data_20260602/figure2_source_data/gsea_pngs/Fig2H_CtrlvsKS_HALLMARK_APOPTOSIS.png,/Users/xq/Desktop/4.18 修改/github_ready_reproducibility_repo_20260606/source_data/figure2_source_data/gsea_pngs/Fig2H_CtrlvsKS_HALLMARK_APOPTOSIS.png,42535,excluded_extension_or_plot_asset,source_data
/Users/xq/Desktop/4.18 修改/最全版_图数据代码附表_20260604/01_完整_current_source_data_20260602/figure4_code/figure4_plots/Figure4_main.png,/Users/xq/Desktop/4.18 修改/github_ready_reproducibility_repo_20260606/code/figure4_code/figure4_plots/Figure4_main.png,1000052,excluded_extension_or_plot_asset,code
/Users/xq/Desktop/4.18 修改/最全版_图数据代码附表_20260604/01_完整_current_source_data_20260602/figure4_code/figure4_plots/Figure4_main.svg,/Users/xq/Desktop/4.18 修改/github_ready_reproducibility_repo_20260606/code/figure4_code/figure4_plots/Figure4_main.svg,1465529,excluded_extension_or_plot_asset,code
/Users/xq/Desktop/4.18 修改/最全版_图数据代码附表_20260604/01_完整_current_source_data_20260602/figure4_source_data/raw_support/Fig4B_ST_heatmap_export_bundle.zip,/Users/xq/Desktop/4.18 修改/github_ready_reproducibility_repo_20260606/source_data/figure4_source_data/raw_support/Fig4B_ST_heatmap_export_bundle.zip,277653,excluded_extension_or_plot_asset,source_data
/Users/xq/Desktop/4.18 修改/最全版_图数据代码附表_20260604/01_完整_current_source_data_20260602/figure4_source_data/raw_support/Fig4B_heatmap_export.pdf,/Users/xq/Desktop/4.18 修改/github_ready_reproducibility_repo_20260606/source_data/figure4_source_data/raw_support/Fig4B_heatmap_export.pdf,5943,excluded_extension_or_plot_asset,source_data
/Users/xq/Desktop/4.18 修改/最全版_图数据代码附表_20260604/01_完整_current_source_data_20260602/figure4_source_data/raw_support/Fig4B_heatmap_export.png,/Users/xq/Desktop/4.18 修改/github_ready_reproducibility_repo_20260606/source_data/figure4_source_data/raw_support/Fig4B_heatmap_export.png,114335,excluded_extension_or_plot_asset,source_data
