celltype,All samples,Ctrl,iNOA_B,iNOA_S,OA,AZFc_Del,KS
ECs,2.647%,1.176%,2.717%,3.070%,0.188%,3.972%,4.709%
LCs,10.634%,0.960%,16.558%,30.174%,0.430%,4.403%,18.326%
Lym,0.426%,0.112%,0.664%,1.006%,0.039%,0.341%,0.622%
Myeloid,4.498%,2.094%,2.581%,14.370%,0.127%,4.964%,2.204%
Myoid,9.324%,2.145%,2.974%,23.680%,0.304%,3.016%,22.407%
SPCs,18.571%,22.556%,29.102%,0.000%,27.082%,22.137%,15.451%
SPGs,4.106%,2.609%,9.887%,0.000%,6.325%,4.673%,4.848%
SSCs,9.701%,19.676%,29.902%,0.006%,7.771%,6.504%,6.044%
STs,11.992%,3.410%,5.615%,27.694%,4.101%,24.440%,1.899%
Spermatids,28.103%,45.263%,0.000%,0.000%,53.634%,25.549%,23.490%
