cell_type,avg_expr,pct_expr,gene
ECs,3.1607805228568533,0.9801730353280461,VIM
LCs,2.841099765678862,0.9578286227007626,VIM
Lym,1.1770435693953605,0.6659192825112108,VIM
Myeloid,2.584016248812156,0.8952091674720419,VIM
SPCs,0.12051233680489325,0.13671393341553637,VIM
SPGs,0.09091804367898094,0.09016964908203579,VIM
SSCs,0.30337858391778944,0.2363529064620832,VIM
STs,2.1049156358274663,0.9734245703373647,VIM
Spermatids,0.11815201601558283,0.1239559991851701,VIM
ECs,0.08309584336050484,0.05407354001441961,SOX9
LCs,0.1267948385149227,0.08281740690892778,SOX9
Lym,0.050107232658317805,0.04035874439461883,SOX9
Myeloid,0.09255687732377567,0.06288830595057297,SOX9
SPCs,0.0648098705092233,0.0805076037813399,SOX9
SPGs,0.03566051325270555,0.03555658842667906,SOX9
SSCs,0.06687159891840021,0.05862102881872726,SOX9
STs,1.8124737848310164,0.9528962444302992,SOX9
Spermatids,0.028486052763399737,0.030997487607795207,SOX9
ECs,2.1086928400962406,0.8547224224945926,VWF
LCs,0.030436497672676987,0.024226110363391656,VWF
Lym,0.057933781646826873,0.04932735426008968,VWF
Myeloid,0.027157644828544637,0.022918680104928896,VWF
SPCs,0.011504989812526496,0.01207357172215372,VWF
SPGs,0.03661407124793948,0.03927492447129909,VWF
SSCs,0.14639223753391753,0.12579915412609421,VWF
STs,0.016034356381846113,0.01965308720560153,VWF
Spermatids,0.01714662868164542,0.018978746519997283,VWF
ECs,0.11394992582473122,0.07786589762076424,DLK1
LCs,1.2351696991075471,0.506056527590848,DLK1
Lym,0.12060501630263479,0.10986547085201794,DLK1
Myeloid,0.23356462786922827,0.1351649868838879,DLK1
SPCs,0.04544885092913688,0.04711261816687218,DLK1
SPGs,0.31653799315732273,0.28026957936323493,DLK1
SSCs,0.472620053480447,0.35920133766106027,DLK1
STs,0.02531040818172606,0.02928071292170592,DLK1
Spermatids,0.02890462231682996,0.03126909757588103,DLK1
ECs,0.043499278308851905,0.027036770007209804,PTPRC
LCs,0.014377363964066263,0.010587707492148945,PTPRC
Lym,0.9694457247251888,0.5426008968609866,PTPRC
Myeloid,0.5659156159300938,0.2706751346127295,PTPRC
SPCs,0.01201735084292284,0.01310110974106042,PTPRC
SPGs,0.0074834082740532805,0.007204276086451313,PTPRC
