cell_type,avg_expr,pct_expr,gene
ECs,0.023415509442158887,0.017303532804614274,MAGEB2
LCs,0.02002891704553764,0.012651413189771197,MAGEB2
Lym,0.22435759622687182,0.14798206278026907,MAGEB2
Myeloid,0.01559811312487717,0.011045147038519951,MAGEB2
SPCs,0.22534036372841457,0.1808466913275791,MAGEB2
SPGs,0.5329820922702073,0.4234255170811062,MAGEB2
SSCs,1.4307060940281837,0.7681715353594964,MAGEB2
STs,0.011174370440459418,0.015515595162316995,MAGEB2
Spermatids,0.0807788139410884,0.06454131866639505,MAGEB2
ECs,0.0038271083750996385,0.002883922134102379,FGFR3
LCs,0.005423292532369341,0.004217137729923733,FGFR3
Lym,0.04079415579013226,0.033632286995515695,FGFR3
Myeloid,0.003253121322465012,0.002692254590639238,FGFR3
SPCs,0.007566287917606732,0.009299219071105631,FGFR3
SPGs,0.09622703939710915,0.1027190332326284,FGFR3
SSCs,0.3055177627293846,0.24136913543818236,FGFR3
STs,0.003994014363126494,0.005330999363462763,FGFR3
Spermatids,0.018496426083554784,0.021355333740748286,FGFR3
ECs,0.05253526876749714,0.04037490987743331,KIT
LCs,0.013886018754549227,0.010497981157469718,KIT
Lym,0.1216586260250331,0.07623318385650224,KIT
Myeloid,0.013149609126538413,0.009319342813751208,KIT
SPCs,0.016107075620692208,0.015721331689272502,KIT
SPGs,0.5809204691846566,0.4364396932372763,KIT
SSCs,0.2874220334710866,0.22740238024982787,KIT
STs,0.008679289377889081,0.009468491406747295,KIT
Spermatids,0.019239257742611156,0.019454063964147485,KIT
ECs,0.035271331399313904,0.024513338139870222,DMRT1
LCs,0.0336548547431352,0.027097353073126964,DMRT1
Lym,0.10183091247830156,0.08071748878923767,DMRT1
Myeloid,0.02635731604132849,0.021469004556123154,DMRT1
SPCs,0.04165282081146569,0.044543773119605425,DMRT1
SPGs,0.7790368259396354,0.5331164303973972,DMRT1
SSCs,0.41445090621050285,0.31769450181961245,DMRT1
STs,0.6496734706451376,0.5998567791215786,DMRT1
Spermatids,0.10061903392304518,0.10467169145107626,DMRT1
ECs,0.005410133191554256,0.005407354001441961,SOHLH1
LCs,0.0020838937480228267,0.002063705697622252,SOHLH1
Lym,0.047093973699706554,0.04708520179372197,SOHLH1
Myeloid,0.003217905317487826,0.0029683832666022366,SOHLH1
SPCs,0.06974643006908565,0.08425811755034936,SOHLH1
SPGs,0.32187728101420954,0.2902626074831513,SOHLH1
SSCs,0.30679237338672805,0.2626143405134258,SOHLH1
STs,0.00299972995290477,0.004614894971355824,SOHLH1
Spermatids,0.026032928890638636,0.030827731377741564,SOHLH1
ECs,0.0022403374582894344,0.001802451333813987,SOHLH2
LCs,0.0037688090829049166,0.003319874383131449,SOHLH2
Lym,0.04300321872458864,0.03811659192825112,SOHLH2
Myeloid,0.004668274538697713,0.004279994477426481,SOHLH2
SPCs,0.16154722218503934,0.1855219893136046,SOHLH2
SPGs,0.24954690003489274,0.22891006274692074,SOHLH2
SSCs,0.06251551017562372,0.05793252680239992,SOHLH2
STs,0.006586370798791767,0.00970719287078294,SOHLH2
Spermatids,0.07858447763122026,0.08640592109730427,SOHLH2
ECs,0.06092816754563214,0.0410958904109589,SYCP3
LCs,0.04076662588782672,0.02296994167788246,SYCP3
Lym,0.48879188900571235,0.21300448430493274,SYCP3
Myeloid,0.034795561562861,0.024299323484743892,SYCP3
SPCs,2.1508691498096395,0.8926736539251953,SYCP3
SPGs,1.6374595662396703,0.8187311178247734,SYCP3
SSCs,0.5059169335645292,0.3865447034523458,SYCP3
STs,0.049539992525310446,0.058004455760662,SYCP3
Spermatids,0.2338226549051651,0.19749439804440824,SYCP3
ECs,0.04423625137664985,0.035328046142754144,BRCA1
LCs,0.034635352703315254,0.024943921040825483,BRCA1
Lym,0.14814178451828894,0.11659192825112108,BRCA1
Myeloid,0.03054376027374394,0.022987712273919648,BRCA1
SPCs,0.5587939106025938,0.44836621454993836,BRCA1
SPGs,0.6573592162730665,0.48338368580060426,BRCA1
SSCs,0.27831065912707265,0.2174682797285335,BRCA1
STs,0.031076752365508102,0.03803309993634628,BRCA1
Spermatids,0.07015422058217174,0.06997351802811164,BRCA1
ECs,0.015245376599290513,0.010454217736121124,DMC1
LCs,0.026846220673547833,0.019291161956034097,DMC1
