Sample ID,Gene name,Normalised expression value,Percentage
Ctrl_1,VIM,0.606,0.158
Ctrl_1,SOX9,0.469,0.108
Ctrl_1,VWF,0.076,0.02
Ctrl_1,DLK1,0.149,0.057
Ctrl_1,PTPRC,0.047,0.022
Ctrl_1,NOTCH3,0.012,0.006
Ctrl_1,DDX4,3.132,0.701
Ctrl_1,FGFR3,0.059,0.022
Ctrl_1,KIT,0.167,0.057
Ctrl_1,SYCP3,3.239,0.466
Ctrl_1,TEX29,0.982,0.206
Ctrl_1,PRM3,0.757,0.233
iNOA_B,VIM,4.415,0.31
iNOA_B,SOX9,0.429,0.079
iNOA_B,VWF,0.394,0.06
iNOA_B,DLK1,0.531,0.073
iNOA_B,PTPRC,0.314,0.035
iNOA_B,NOTCH3,0.05,0.01
iNOA_B,DDX4,2.071,0.38
iNOA_B,FGFR3,0.101,0.027
iNOA_B,KIT,0.559,0.114
iNOA_B,SYCP3,7.615,0.466
iNOA_B,TEX29,0.003,0.001
iNOA_B,PRM3,0.0,0.0
iNOA_S1,VIM,15.667,0.943
iNOA_S1,SOX9,2.292,0.359
iNOA_S1,VWF,0.474,0.043
iNOA_S1,DLK1,2.921,0.174
iNOA_S1,PTPRC,1.55,0.179
iNOA_S1,NOTCH3,0.34,0.08
iNOA_S1,DDX4,0.0,0.0
iNOA_S1,FGFR3,0.0,0.0
iNOA_S1,KIT,0.022,0.007
iNOA_S1,SYCP3,0.002,0.001
iNOA_S1,TEX29,0.0,0.0
iNOA_S1,PRM3,0.0,0.0
iNOA_S2,VIM,15.987,0.928
iNOA_S2,SOX9,0.75,0.126
iNOA_S2,VWF,0.323,0.041
iNOA_S2,DLK1,4.559,0.345
iNOA_S2,PTPRC,1.054,0.123
iNOA_S2,NOTCH3,0.155,0.038
iNOA_S2,DDX4,0.0,0.0
iNOA_S2,FGFR3,0.0,0.0
iNOA_S2,KIT,0.035,0.011
iNOA_S2,SYCP3,0.007,0.002
iNOA_S2,TEX29,0.0,0.0
iNOA_S2,PRM3,0.0,0.0
iNOA_S3,VIM,12.686,0.939
iNOA_S3,SOX9,2.831,0.5
iNOA_S3,VWF,0.223,0.025
iNOA_S3,DLK1,1.517,0.161
iNOA_S3,PTPRC,1.288,0.162
iNOA_S3,NOTCH3,0.268,0.059
iNOA_S3,DDX4,0.0,0.0
iNOA_S3,FGFR3,0.001,0.001
iNOA_S3,KIT,0.027,0.008
iNOA_S3,SYCP3,0.001,0.001
iNOA_S3,TEX29,0.003,0.001
iNOA_S3,PRM3,0.0,0.0
Ctrl_2,VIM,1.823,0.229
Ctrl_2,SOX9,0.1,0.036
Ctrl_2,VWF,0.29,0.055
Ctrl_2,DLK1,0.338,0.123
Ctrl_2,PTPRC,0.351,0.06
Ctrl_2,NOTCH3,0.047,0.016
Ctrl_2,DDX4,3.085,0.696
Ctrl_2,FGFR3,0.144,0.074
Ctrl_2,KIT,0.178,0.087
Ctrl_2,SYCP3,1.071,0.208
Ctrl_2,TEX29,1.657,0.287
Ctrl_2,PRM3,1.54,0.411
Ctrl_3,VIM,0.887,0.15
Ctrl_3,SOX9,0.314,0.075
Ctrl_3,VWF,0.055,0.017
Ctrl_3,DLK1,0.331,0.105
Ctrl_3,PTPRC,0.093,0.018
Ctrl_3,NOTCH3,0.014,0.005
Ctrl_3,DDX4,4.205,0.693
Ctrl_3,FGFR3,0.069,0.029
Ctrl_3,KIT,0.191,0.071
Ctrl_3,SYCP3,6.087,0.503
Ctrl_3,TEX29,1.322,0.189
Ctrl_3,PRM3,0.638,0.159
OA_2,VIM,0.385,0.113
OA_2,SOX9,0.086,0.025
OA_2,VWF,0.094,0.032
OA_2,DLK1,0.207,0.077
OA_2,PTPRC,0.035,0.018
OA_2,NOTCH3,0.009,0.004
OA_2,DDX4,2.623,0.636
OA_2,FGFR3,0.134,0.046
OA_2,KIT,0.187,0.069
OA_2,SYCP3,3.705,0.332
OA_2,TEX29,1.28,0.249
