Gene name,Ctrl_1,iNOA_B,iNOA_S1,iNOA_S2,iNOA_S3,Ctrl_2,Ctrl_3,OA_2,OA_3,OA_4,AZFc_Del_4,AZFc_Del_1,AZFc_Del_2,KS_1,KS_2,AZFc_Del_3
VIM,0.606,4.415,15.667,15.987,12.686,1.823,0.887,0.385,0.561,0.625,6.833,11.448,0.167,38.288,2.418,4.01
SOX9,0.469,0.429,2.292,0.75,2.831,0.1,0.314,0.086,0.394,0.284,3.894,3.409,0.084,0.051,0.227,0.706
VWF,0.076,0.394,0.474,0.323,0.223,0.29,0.055,0.094,0.059,0.062,0.642,0.873,0.025,1.814,0.249,0.201
DLK1,0.149,0.531,2.921,4.559,1.517,0.338,0.331,0.207,0.131,0.177,0.35,1.3,0.074,4.666,0.484,0.787
PTPRC,0.047,0.314,1.55,1.054,1.288,0.351,0.093,0.035,0.046,0.051,0.32,0.931,0.019,0.341,0.037,0.273
NOTCH3,0.012,0.05,0.34,0.155,0.268,0.047,0.014,0.009,0.005,0.006,0.034,0.071,0.004,1.378,0.051,0.029
DDX4,3.132,2.071,0.0,0.0,0.0,3.085,4.205,2.623,3.261,3.387,1.402,0.459,3.318,0.0,2.738,2.53
FGFR3,0.059,0.101,0.0,0.0,0.001,0.144,0.069,0.134,0.053,0.129,0.072,0.108,0.062,0.0,0.225,0.216
KIT,0.167,0.559,0.022,0.035,0.027,0.178,0.191,0.187,0.111,0.199,0.174,0.123,0.112,0.023,0.171,0.183
SYCP3,3.239,7.615,0.002,0.007,0.001,1.071,6.087,3.705,4.937,3.801,2.471,1.179,3.956,0.002,3.47,5.866
TEX29,0.982,0.003,0.0,0.0,0.003,1.657,1.322,1.28,1.249,1.117,0.552,0.032,1.139,0.002,1.362,0.477
PRM3,0.757,0.0,0.0,0.0,0.0,1.54,0.638,2.258,0.882,1.184,0.384,0.029,1.195,0.0,1.194,0.507
