Sample ID,Gene name,Scaled Normalised expression value,Percentage
Ctrl_1,VIM,0.012,0.158
Ctrl_1,SOX9,0.109,0.108
Ctrl_1,VWF,0.029,0.02
Ctrl_1,DLK1,0.016,0.057
Ctrl_1,PTPRC,0.018,0.022
Ctrl_1,NOTCH3,0.006,0.006
Ctrl_1,DDX4,0.745,0.701
Ctrl_1,FGFR3,0.262,0.022
Ctrl_1,KIT,0.27,0.057
Ctrl_1,SYCP3,0.425,0.466
Ctrl_1,TEX29,0.593,0.206
Ctrl_1,PRM3,0.335,0.233
iNOA_B,VIM,0.111,0.31
iNOA_B,SOX9,0.098,0.079
iNOA_B,VWF,0.206,0.06
iNOA_B,DLK1,0.1,0.073
iNOA_B,PTPRC,0.193,0.035
iNOA_B,NOTCH3,0.033,0.01
iNOA_B,DDX4,0.493,0.38
iNOA_B,FGFR3,0.449,0.027
iNOA_B,KIT,1.0,0.114
iNOA_B,SYCP3,1.0,0.466
iNOA_B,TEX29,0.002,0.001
iNOA_B,PRM3,0.0,0.0
iNOA_S1,VIM,0.407,0.943
iNOA_S1,SOX9,0.583,0.359
iNOA_S1,VWF,0.251,0.043
iNOA_S1,DLK1,0.62,0.174
iNOA_S1,PTPRC,1.0,0.179
iNOA_S1,NOTCH3,0.245,0.08
iNOA_S1,DDX4,0.0,0.0
iNOA_S1,FGFR3,0.0,0.0
iNOA_S1,KIT,0.0,0.007
iNOA_S1,SYCP3,0.0,0.001
iNOA_S1,TEX29,0.0,0.0
iNOA_S1,PRM3,0.0,0.0
iNOA_S2,VIM,0.415,0.928
iNOA_S2,SOX9,0.182,0.126
iNOA_S2,VWF,0.167,0.041
iNOA_S2,DLK1,0.977,0.345
iNOA_S2,PTPRC,0.676,0.123
iNOA_S2,NOTCH3,0.11,0.038
iNOA_S2,DDX4,0.0,0.0
iNOA_S2,FGFR3,0.0,0.0
iNOA_S2,KIT,0.024,0.011
iNOA_S2,SYCP3,0.001,0.002
iNOA_S2,TEX29,0.0,0.0
iNOA_S2,PRM3,0.0,0.0
iNOA_S3,VIM,0.328,0.939
iNOA_S3,SOX9,0.723,0.5
iNOA_S3,VWF,0.111,0.025
iNOA_S3,DLK1,0.314,0.161
iNOA_S3,PTPRC,0.829,0.162
iNOA_S3,NOTCH3,0.192,0.059
iNOA_S3,DDX4,0.0,0.0
iNOA_S3,FGFR3,0.004,0.001
iNOA_S3,KIT,0.009,0.008
iNOA_S3,SYCP3,0.0,0.001
iNOA_S3,TEX29,0.002,0.001
iNOA_S3,PRM3,0.0,0.0
Ctrl_2,VIM,0.043,0.229
Ctrl_2,SOX9,0.013,0.036
Ctrl_2,VWF,0.148,0.055
Ctrl_2,DLK1,0.057,0.123
Ctrl_2,PTPRC,0.217,0.06
Ctrl_2,NOTCH3,0.031,0.016
Ctrl_2,DDX4,0.734,0.696
Ctrl_2,FGFR3,0.64,0.074
Ctrl_2,KIT,0.291,0.087
Ctrl_2,SYCP3,0.141,0.208
Ctrl_2,TEX29,1.0,0.287
Ctrl_2,PRM3,0.682,0.411
Ctrl_3,VIM,0.019,0.15
Ctrl_3,SOX9,0.068,0.075
Ctrl_3,VWF,0.017,0.017
Ctrl_3,DLK1,0.056,0.105
Ctrl_3,PTPRC,0.048,0.018
Ctrl_3,NOTCH3,0.007,0.005
Ctrl_3,DDX4,1.0,0.693
Ctrl_3,FGFR3,0.307,0.029
Ctrl_3,KIT,0.315,0.071
Ctrl_3,SYCP3,0.799,0.503
Ctrl_3,TEX29,0.798,0.189
Ctrl_3,PRM3,0.283,0.159
OA_2,VIM,0.006,0.113
OA_2,SOX9,0.009,0.025
OA_2,VWF,0.039,0.032
OA_2,DLK1,0.029,0.077
OA_2,PTPRC,0.01,0.018
OA_2,NOTCH3,0.004,0.004
OA_2,DDX4,0.624,0.636
OA_2,FGFR3,0.596,0.046
OA_2,KIT,0.307,0.069
OA_2,SYCP3,0.486,0.332
OA_2,TEX29,0.772,0.249
OA_2,PRM3,1.0,0.474
OA_3,VIM,0.01,0.166
OA_3,SOX9,0.089,0.116
OA_3,VWF,0.019,0.016
OA_3,DLK1,0.012,0.046
OA_3,PTPRC,0.018,0.032
OA_3,NOTCH3,0.001,0.003
OA_3,DDX4,0.776,0.729
OA_3,FGFR3,0.236,0.018
OA_3,KIT,0.166,0.037
OA_3,SYCP3,0.648,0.542
OA_3,TEX29,0.754,0.258
OA_3,PRM3,0.391,0.29
OA_4,VIM,0.012,0.157
OA_4,SOX9,0.061,0.086
OA_4,VWF,0.021,0.022
OA_4,DLK1,0.022,0.056
OA_4,PTPRC,0.021,0.026
OA_4,NOTCH3,0.001,0.003
OA_4,DDX4,0.805,0.738
OA_4,FGFR3,0.573,0.041
OA_4,KIT,0.33,0.059
OA_4,SYCP3,0.499,0.422
OA_4,TEX29,0.674,0.246
OA_4,PRM3,0.524,0.324
AZFc_Del_4,VIM,0.175,0.688
AZFc_Del_4,SOX9,1.0,0.536
AZFc_Del_4,VWF,0.345,0.079
AZFc_Del_4,DLK1,0.06,0.074
AZFc_Del_4,PTPRC,0.197,0.09
AZFc_Del_4,NOTCH3,0.022,0.008
