Gene name,Ctrl_1,iNOA_B,iNOA_S1,iNOA_S2,iNOA_S3,Ctrl_2,Ctrl_3,OA_2,OA_3,OA_4,AZFc_Del_4,AZFc_Del_1,AZFc_Del_2,KS_1,KS_2,AZFc_Del_3
VIM,0.012,0.111,0.407,0.415,0.328,0.043,0.019,0.006,0.01,0.012,0.175,0.296,0.0,1.0,0.059,0.101
SOX9,0.109,0.098,0.583,0.182,0.723,0.013,0.068,0.009,0.089,0.061,1.0,0.874,0.009,0.0,0.046,0.17
VWF,0.029,0.206,0.251,0.167,0.111,0.148,0.017,0.039,0.019,0.021,0.345,0.474,0.0,1.0,0.125,0.098
DLK1,0.016,0.1,0.62,0.977,0.314,0.057,0.056,0.029,0.012,0.022,0.06,0.267,0.0,1.0,0.089,0.155
PTPRC,0.018,0.193,1.0,0.676,0.829,0.217,0.048,0.01,0.018,0.021,0.197,0.596,0.0,0.21,0.012,0.166
NOTCH3,0.006,0.033,0.245,0.11,0.192,0.031,0.007,0.004,0.001,0.001,0.022,0.049,0.0,1.0,0.034,0.018
DDX4,0.745,0.493,0.0,0.0,0.0,0.734,1.0,0.624,0.776,0.805,0.333,0.109,0.789,0.0,0.651,0.602
FGFR3,0.262,0.449,0.0,0.0,0.004,0.64,0.307,0.596,0.236,0.573,0.32,0.48,0.276,0.0,1.0,0.96
KIT,0.27,1.0,0.0,0.024,0.009,0.291,0.315,0.307,0.166,0.33,0.283,0.188,0.168,0.002,0.277,0.3
SYCP3,0.425,1.0,0.0,0.001,0.0,0.141,0.799,0.486,0.648,0.499,0.324,0.155,0.519,0.0,0.456,0.77
TEX29,0.593,0.002,0.0,0.0,0.002,1.0,0.798,0.772,0.754,0.674,0.333,0.019,0.687,0.001,0.822,0.288
PRM3,0.335,0.0,0.0,0.0,0.0,0.682,0.283,1.0,0.391,0.524,0.17,0.013,0.529,0.0,0.529,0.225
