group,stage,n_cells
AZFc_Del,Early_primary_SPCs,2204
AZFc_Del,Elongated_Spermatids,48
AZFc_Del,Late_primary_SPCs,1714
AZFc_Del,Round_Spermatids,3538
AZFc_Del,SPGs,1101
AZFc_Del,SSCs,1276
AZFc_Del,Sperm,3233
Ctrl,Early_primary_SPCs,2789
Ctrl,Elongated_Spermatids,1351
Ctrl,Late_primary_SPCs,1266
Ctrl,Round_Spermatids,97
Ctrl,SPGs,457
Ctrl,SSCs,4349
Ctrl,Sperm,8929
KS,Early_primary_SPCs,1045
KS,Elongated_Spermatids,38
KS,Late_primary_SPCs,581
KS,Round_Spermatids,2010
KS,SPGs,876
KS,SSCs,1048
KS,Sperm,3694
OA,Early_primary_SPCs,1529
OA,Elongated_Spermatids,77
OA,Late_primary_SPCs,1906
OA,Round_Spermatids,6318
OA,SPGs,1073
OA,SSCs,1272
OA,Sperm,5004
iNOA_B,Early_primary_SPCs,961
iNOA_B,Elongated_Spermatids,1
iNOA_B,Late_primary_SPCs,1045
iNOA_B,Round_Spermatids,0
iNOA_B,SPGs,782
iNOA_B,SSCs,1775
iNOA_B,Sperm,0
