stage,gene,avg_expr,pct_expr
Early_primary_SPCs,SCML1,2.3760597705841064,0.9188555347091932
Early_primary_SPCs,DMC1,1.1054366827011108,0.6763602251407129
Early_primary_SPCs,SYCP3,2.8941245079040527,0.9829971857410882
Early_primary_SPCs,RAD51AP2,1.571832537651062,0.6484521575984991
Early_primary_SPCs,TEX12,1.0307601690292358,0.6285178236397748
Early_primary_SPCs,SYCP2,2.0468108654022217,0.9154549718574108
Early_primary_SPCs,SPO11,0.6988520622253418,0.4686913696060037
Early_primary_SPCs,SYCP1,2.1583869457244873,0.8031191369606003
Early_primary_SPCs,TDRG1,1.0136479139328003,0.5218105065666041
Early_primary_SPCs,MAGEA4,0.5253050327301025,0.387781425891182
Early_primary_SPCs,HMGA1,0.5695672035217285,0.4142823639774859
Early_primary_SPCs,STRA8,0.0375971980392932,0.0337711069418386
Early_primary_SPCs,AURKA,0.3512826263904571,0.2586772983114446
Early_primary_SPCs,CCDC112,0.3039070963859558,0.2440196998123827
Early_primary_SPCs,ID4,0.0367533527314662,0.0372889305816135
Early_primary_SPCs,UTF1,0.0030050172936171,0.0038696060037523
Early_primary_SPCs,KIT,0.0472452938556671,0.0372889305816135
Early_primary_SPCs,SLC26A3,0.0018161888001486,0.0017589118198874
Early_primary_SPCs,DMRT1,0.095008835196495,0.0837242026266416
Early_primary_SPCs,FGFR3,0.0116129675880074,0.011608818011257
Early_primary_SPCs,OVOL2,0.0115285040810704,0.0119606003752345
Early_primary_SPCs,SIRT1,0.2132739573717117,0.1919559099437148
Early_primary_SPCs,PIWIL4,0.012032413855195,0.012312382739212
Early_primary_SPCs,GFRA1,0.0104000689461827,0.010670731707317
Early_primary_SPCs,SIRPG,0.00355493160896,0.0038696060037523
Early_primary_SPCs,OVOL1,0.0327385775744915,0.0363508442776735
Early_primary_SPCs,CCNA1,0.1606567502021789,0.1454033771106941
Early_primary_SPCs,SPEM1,0.0183383412659168,0.0172373358348968
Early_primary_SPCs,TEX29,0.032368566840887,0.0301360225140712
Early_primary_SPCs,ACR,0.0504345521330833,0.0444418386491557
Late_primary_SPCs,TDRG1,1.5310063362121582,0.894041769041769
Late_primary_SPCs,CCDC112,1.3596539497375488,0.8034398034398035
Late_primary_SPCs,SYCP3,2.317317008972168,0.9811117936117936
Late_primary_SPCs,SYCP2,2.015960216522217,0.9761977886977888
Late_primary_SPCs,SYCP1,1.6403716802597046,0.8402948402948403
Late_primary_SPCs,TEX12,0.6235067248344421,0.5253378378378378
Late_primary_SPCs,CCNA1,0.6452149152755737,0.5703316953316954
Late_primary_SPCs,SPO11,0.3181180953979492,0.2931511056511056
Late_primary_SPCs,DMC1,0.3362317979335785,0.2874692874692874
Late_primary_SPCs,OVOL2,0.0860985964536666,0.1173218673218673
Late_primary_SPCs,OVOL1,0.2051156163215637,0.2392506142506142
Late_primary_SPCs,SCML1,0.4654951989650726,0.4007985257985258
Late_primary_SPCs,AURKA,0.3444719016551971,0.3295454545454545
Late_primary_SPCs,SIRT1,0.2802312672138214,0.3313882063882064
Late_primary_SPCs,ACR,0.3730964064598083,0.3519656019656019
Late_primary_SPCs,RAD51AP2,0.2122191041707992,0.1581695331695331
Late_primary_SPCs,STRA8,0.001685561845079,0.0024570024570024
Late_primary_SPCs,SLC26A3,0.002194337779656,0.0032248157248157
Late_primary_SPCs,UTF1,0.0016660717083141,0.0024570024570024
Late_primary_SPCs,PIWIL4,0.0179284811019897,0.0250307125307125
Late_primary_SPCs,ID4,0.0156645607203245,0.0219594594594594
Late_primary_SPCs,FGFR3,0.0045134583488106,0.0061425061425061
Late_primary_SPCs,KIT,0.0075708725489676,0.0092137592137592
Late_primary_SPCs,SIRPG,0.0069539714604616,0.0107493857493857
Late_primary_SPCs,GFRA1,0.0055982950143516,0.0073710073710073
Late_primary_SPCs,DMRT1,0.0186462290585041,0.0279484029484029
Late_primary_SPCs,SPEM1,0.0226716827601194,0.030558968058968
Late_primary_SPCs,MAGEA4,0.0372114405035972,0.0480651105651105
Late_primary_SPCs,TEX29,0.0309470426291227,0.0411547911547911
Late_primary_SPCs,HMGA1,0.0477049984037876,0.0606572481572481
Elongated_Spermatids,AURKA,1.2582159042358398,0.7980198019801981
Elongated_Spermatids,CCNA1,1.1577084064483645,0.7696369636963697
Elongated_Spermatids,ACR,0.9903604984283448,0.7445544554455445
Elongated_Spermatids,OVOL2,0.2597306668758392,0.2792079207920792
Elongated_Spermatids,SYCP2,1.523864507675171,0.8851485148514852
Elongated_Spermatids,CCDC112,0.8163952231407166,0.4745874587458746
Elongated_Spermatids,OVOL1,0.3217724561691284,0.3478547854785478
Elongated_Spermatids,SYCP1,0.8443487286567688,0.6376237623762376
Elongated_Spermatids,SLC26A3,0.04423788189888,0.0495049504950495
Elongated_Spermatids,TDRG1,0.2631494402885437,0.2699669966996699
Elongated_Spermatids,STRA8,0.0053166789002716,0.0066006600660066
Elongated_Spermatids,SIRPG,0.0681825429201126,0.0666666666666666
Elongated_Spermatids,SYCP3,0.6805932521820068,0.5419141914191419
Elongated_Spermatids,UTF1,0.0019745437894016,0.0026402640264026
Elongated_Spermatids,PIWIL4,0.0139370784163475,0.0198019801980198
Elongated_Spermatids,SCML1,0.2598142623901367,0.2488448844884488
Elongated_Spermatids,FGFR3,0.0047242389991879,0.0066006600660066
Elongated_Spermatids,ID4,0.0081118028610944,0.0105610561056105
Elongated_Spermatids,RAD51AP2,0.0734715834259986,0.0673267326732673
Elongated_Spermatids,GFRA1,0.0080320574343204,0.0112211221122112
Elongated_Spermatids,KIT,0.0022415521088987,0.0026402640264026
Elongated_Spermatids,SIRT1,0.1525992751121521,0.1808580858085808
Elongated_Spermatids,SPO11,0.0253636799752712,0.0297029702970297
Elongated_Spermatids,SPEM1,0.0752856731414794,0.0772277227722772
Elongated_Spermatids,TEX12,0.057205032557249,0.0732673267326732
Elongated_Spermatids,DMC1,0.022146513685584,0.0237623762376237
Elongated_Spermatids,DMRT1,0.0157730970531702,0.0171617161716171
Elongated_Spermatids,TEX29,0.0662453323602676,0.0594059405940594
Elongated_Spermatids,MAGEA4,0.0175986886024475,0.0191419141914191
Elongated_Spermatids,HMGA1,0.0311474129557609,0.033003300330033
Round_Spermatids,ACR,1.067940354347229,0.7558304773050238
Round_Spermatids,CCNA1,0.9718847274780272,0.6113851040708852
Round_Spermatids,OVOL1,0.4162981510162353,0.3769957368553038
Round_Spermatids,SIRPG,0.2644821107387543,0.2394048315639889
Round_Spermatids,AURKA,0.7259277105331421,0.4906795954192092
Round_Spermatids,SLC26A3,0.0923269689083099,0.097634372649001
Round_Spermatids,OVOL2,0.1386095434427261,0.155980941235476
Round_Spermatids,SIRT1,0.479284256696701,0.4086767533227451
Round_Spermatids,SYCP2,1.1466538906097412,0.7477221432750982
Round_Spermatids,TEX29,0.4307397305965423,0.2829557803226615
Round_Spermatids,SYCP1,0.7074463367462158,0.5674997910223188
Round_Spermatids,STRA8,0.0040247389115393,0.0050154643484075
Round_Spermatids,CCDC112,0.2577463984489441,0.2024575775307197
Round_Spermatids,GFRA1,0.0407689958810806,0.0453899523530886
Round_Spermatids,UTF1,0.0010879166657105,0.002006185739363
Round_Spermatids,RAD51AP2,0.1032064035534858,0.1036529298670902
Round_Spermatids,ID4,0.0145124858245253,0.0176377162919
Round_Spermatids,PIWIL4,0.012834751047194,0.0171361698570592
Round_Spermatids,FGFR3,0.0059876274317502,0.0082755161748725
Round_Spermatids,TDRG1,0.1259572505950927,0.1334949427401153
Round_Spermatids,KIT,0.0056079947389662,0.007272423305191
Round_Spermatids,DMRT1,0.0490425527095794,0.0524116024408593
Round_Spermatids,SCML1,0.1898336112499237,0.1913399648917495
Round_Spermatids,SPEM1,0.0628375336527824,0.0663713115439271
Round_Spermatids,SPO11,0.014014427550137,0.0173869430744796
Round_Spermatids,SYCP3,0.4696510434150696,0.3943826799297835
Round_Spermatids,DMC1,0.0152735654264688,0.0177213073643734
Round_Spermatids,TEX12,0.0276045892387628,0.0330184736270166
Round_Spermatids,MAGEA4,0.0209355000406503,0.0262475967566663
Round_Spermatids,HMGA1,0.0407070256769657,0.0507397809913901
SPGs,KIT,0.6570835113525391,0.4833294474236418
SPGs,DMRT1,0.8821610808372498,0.5917463278153415
SPGs,HMGA1,1.4955815076828003,0.8120774073210538
SPGs,MAGEA4,1.0139554738998413,0.6477034273723479
SPGs,STRA8,0.0939491316676139,0.0832361855910468
SPGs,SYCP3,1.3361879587173462,0.7514572161342971
SPGs,FGFR3,0.1144948527216911,0.1207740732105385
SPGs,AURKA,0.4736176133155823,0.3788761949172301
SPGs,CCDC112,0.3993112742900848,0.3390067614828631
SPGs,UTF1,0.0279620271176099,0.0345068780601538
SPGs,SCML1,0.4911235570907593,0.3289811144788995
SPGs,DMC1,0.1629885733127594,0.1405922126369783
SPGs,PIWIL4,0.054703164845705,0.0578223362089065
SPGs,ID4,0.0379352495074272,0.040802051760317
SPGs,GFRA1,0.0427308604121208,0.0473303800419678
SPGs,SLC26A3,0.0014535640366375,0.0013989274889251
SPGs,SIRT1,0.2293350398540496,0.2131032874795989
SPGs,OVOL2,0.0023640831932425,0.0027978549778503
SPGs,SPO11,0.0418511368334293,0.0389368151084168
SPGs,SIRPG,0.0038073004689067,0.0037304733038004
SPGs,TEX12,0.0817126035690307,0.0785730939612963
SPGs,RAD51AP2,0.0627717152237892,0.0405688971788295
SPGs,OVOL1,0.0331785716116428,0.0382373513639543
SPGs,SYCP2,0.5876802206039429,0.4397295406854745
SPGs,TDRG1,0.0553091764450073,0.0524597808346934
SPGs,SPEM1,0.0118271904066205,0.0123571928188388
SPGs,TEX29,0.0219244956970214,0.023082303567265
SPGs,CCNA1,0.0482790991663932,0.0543250174865936
SPGs,ACR,0.0247435476630926,0.0261133131266029
SPGs,SYCP1,0.1473229825496673,0.1140125903474003
SSCs,HMGA1,1.560815453529358,0.8108219319000103
SSCs,PIWIL4,0.4523810148239136,0.3135479888900319
SSCs,MAGEA4,0.9716134667396544,0.6030243802077976
SSCs,ID4,0.3940253257751465,0.297705997325378
SSCs,FGFR3,0.3144281804561615,0.2469910503034667
SSCs,GFRA1,0.3943058848381042,0.307684394609608
SSCs,UTF1,0.1874418705701828,0.1499845694887357
SSCs,KIT,0.2558846473693847,0.2094434728937352
SSCs,DMRT1,0.3731653392314911,0.2958543359736653
SSCs,CCDC112,0.4927313923835754,0.3692006995165106
SSCs,AURKA,0.401808887720108,0.3185886225696945
SSCs,SPO11,0.1691929996013641,0.1393889517539348
SSCs,TEX12,0.219132199883461,0.1882522374241333
SSCs,STRA8,0.0049559418112039,0.0045262833041868
SSCs,SLC26A3,0.0027204127982258,0.0027774920275691
SSCs,SIRT1,0.2488597929477691,0.2103693035695916
SSCs,OVOL2,0.0081664575263857,0.0078181257072317
SSCs,SIRPG,0.0036211404949426,0.0034975825532352
SSCs,DMC1,0.0484772026538848,0.043205431539965
SSCs,RAD51AP2,0.0419239178299903,0.0367246168089702
SSCs,SYCP3,0.4893199503421783,0.377430305524123
SSCs,OVOL1,0.0262687802314758,0.0258203888488838
SSCs,SCML1,0.1580670028924942,0.1352741487501285
SSCs,TDRG1,0.0496645644307136,0.0455714432671535
SSCs,SPEM1,0.012405902147293,0.0120357987861331
SSCs,SYCP1,0.300619512796402,0.2332064602407159
SSCs,SYCP2,0.4881562292575836,0.3669375578644172
SSCs,TEX29,0.0288291461765766,0.0264376092994547
SSCs,CCNA1,0.0388431772589683,0.0379590577101121
SSCs,ACR,0.0159069206565618,0.0147104207386071
Sperm,SPEM1,0.6751172542572021,0.5197986577181208
Sperm,TEX29,0.8792188167572021,0.5212368168744008
Sperm,SIRPG,0.1150650084018707,0.1198465963566634
Sperm,SIRT1,0.394281804561615,0.3274209012464046
Sperm,ACR,0.4362669885158539,0.373633748801534
Sperm,GFRA1,0.0792344063520431,0.0878715244487056
Sperm,SLC26A3,0.019500633701682,0.023777564717162
Sperm,STRA8,0.0034306405577808,0.0038830297219558
Sperm,OVOL1,0.1126606836915016,0.1305848513902205
Sperm,DMRT1,0.1144268289208412,0.1203739213806327
Sperm,CCNA1,0.3105202913284302,0.286529242569511
Sperm,OVOL2,0.0275492146611213,0.0348993288590604
Sperm,UTF1,0.0060072485357522,0.0070469798657718
Sperm,FGFR3,0.0219324696809053,0.0258389261744966
Sperm,PIWIL4,0.0273071471601724,0.0295302013422818
Sperm,ID4,0.0187768973410129,0.0218600191754554
Sperm,KIT,0.0227109510451555,0.0235378715244487
Sperm,RAD51AP2,0.0822444111108779,0.07176414189837
Sperm,SCML1,0.2431817650794983,0.184947267497603
Sperm,SPO11,0.0283996295183897,0.0287631831255992
Sperm,DMC1,0.0390324741601944,0.0373441994247363
Sperm,MAGEA4,0.0827891677618026,0.073489932885906
Sperm,SYCP1,0.3526401221752167,0.3
Sperm,TEX12,0.041254449635744,0.0430488974113135
Sperm,TDRG1,0.0539171285927295,0.0562799616490891
Sperm,AURKA,0.1040439680218696,0.1128954937679769
Sperm,HMGA1,0.1116831600666046,0.0970278044103547
Sperm,CCDC112,0.0647574961185455,0.0687440076701821
Sperm,SYCP2,0.3032552897930145,0.2646692233940556
Sperm,SYCP3,0.1933227479457855,0.1650047938638542
