panel_celltype,group,pathway,pathway_readable,setSize,NES,pvalue,p.adjust,qvalues,rank,leading_edge,neglog10_fdr
LC,AZFc_Del,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,Epithelial Mesenchymal Transition,123,1.791726124,9.59e-05,0.00239719,0.002018687,709,"tags=24%, list=8%, signal=23%",2.6202975426532924
LC,AZFc_Del,HALLMARK_FATTY_ACID_METABOLISM,Fatty Acid Metabolism,120,-1.391572863,0.048246545,0.241232724,0.203143346,672,"tags=21%, list=8%, signal=19%",0.6175637790831288
LC,KS,HALLMARK_TNFA_SIGNALING_VIA_NFKB,Tnfa Signaling Via Nfkb,125,2.357175165,1e-10,5e-09,2.63e-09,1029,"tags=38%, list=11%, signal=35%",8.301029995663981
LC,KS,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,Epithelial Mesenchymal Transition,135,1.973297292,4.54e-07,7.57e-06,3.98e-06,689,"tags=29%, list=7%, signal=27%",5.120904120499927
LC,KS,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Oxidative Phosphorylation,187,-1.866474902,2.48e-05,0.000310622,0.000163485,1241,"tags=34%, list=13%, signal=30%",3.507767788336234
LC,KS,HALLMARK_HYPOXIA,Hypoxia,139,1.776195434,7.87e-05,0.000568486,0.000299203,1441,"tags=32%, list=15%, signal=27%",3.245280226134757
LC,KS,HALLMARK_P53_PATHWAY,P53 Pathway,132,1.760594096,7.96e-05,0.000568486,0.000299203,1485,"tags=29%, list=16%, signal=25%",3.245280226134757
LC,KS,HALLMARK_APOPTOSIS,Apoptosis,117,1.781332792,0.000182623,0.001141394,0.000600734,1052,"tags=27%, list=11%, signal=25%",2.942564414749861
LC,KS,HALLMARK_FATTY_ACID_METABOLISM,Fatty Acid Metabolism,122,-1.796564218,0.00115456,0.005956926,0.003135224,1268,"tags=35%, list=14%, signal=31%",2.224977794897173
LC,OA,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,Epithelial Mesenchymal Transition,126,-1.969748116,1.38e-06,6.88e-05,3.62e-05,1035,"tags=37%, list=11%, signal=34%",4.162411561764489
LC,OA,HALLMARK_TNFA_SIGNALING_VIA_NFKB,Tnfa Signaling Via Nfkb,118,1.922097176,5.83e-05,0.000582789,0.000306731,905,"tags=29%, list=9%, signal=26%",3.2344886540269364
