source,target,spearman_rho,p_value,fdr_bh_q,stars
LC Mature,ST Maturity,0.7735294117647058,0.0004393556517117,0.0032951673878379,**
LC Mature,BTB Integrity,0.7735294117647058,0.0004393556517117,0.0032951673878379,**
LC Immature,ST Maturity,-0.6235294117647059,0.009855650390922,0.0277190167244681,*
LC Immature,BTB Integrity,-0.7764705882352941,0.0004043508405454,0.0032951673878379,**
LC Immature,Germ Maturity Index,-0.6548701058619855,0.0059030653474478,0.0205914003143568,*
LC Immature,Germ Latest Stage,-0.6716371723096259,0.0043824225409662,0.0201024391398215,*
ST Maturity,Germ Maturity Index,0.5545746842434832,0.0257822658175873,0.0552477124662586,
ST Maturity,Germ Latest Stage,0.653678959146267,0.0060253178800979,0.0205914003143568,*
BTB Integrity,Germ Maturity Index,0.5191763001428353,0.0393161055954003,0.0769228152953486,
BTB Integrity,Germ Latest Stage,0.6572706017789388,0.0056627059394029,0.0205914003143568,*
