row_score,col_score,spearman_rho,p_value,fdr_bh_q,stars,text_label
ST Maturity,ST Maturity,1.0,0.0,0.0,,1.00
ST Maturity,BTB Integrity,0.8352941176470589,5.637132062814425e-05,0.0012683547141332,**,0.84**
ST Maturity,ST Stress IEG,-0.0352941176470588,0.8967532476935333,0.9138955872505,,-0.04
ST Maturity,ST SASP,0.3029411764705882,0.2540668806096115,0.3572815508572662,,0.30
ST Maturity,ST Lactate Export,0.6176470588235293,0.0107879846019488,0.028556429828688,*,0.62*
ST Maturity,ST DHH Ligand,0.7352941176470589,0.0011716155350991,0.007531814154209,**,0.74**
ST Maturity,LC Mature,0.7735294117647058,0.0004393556517117,0.0032951673878379,**,0.77**
ST Maturity,LC Immature,-0.6235294117647059,0.009855650390922,0.0277190167244681,*,-0.62*
ST Maturity,Germ Maturity Index,0.5545746842434832,0.0257822658175873,0.0552477124662586,,0.55
ST Maturity,Germ Latest Stage,0.653678959146267,0.0060253178800979,0.0205914003143568,*,0.65*
BTB Integrity,ST Maturity,0.8352941176470589,5.637132062814425e-05,0.0012683547141332,**,0.84**
BTB Integrity,BTB Integrity,1.0,0.0,0.0,,1.00
BTB Integrity,ST Stress IEG,-0.1470588235294117,0.5867933937012053,0.6770693004244677,,-0.15
BTB Integrity,ST SASP,0.188235294117647,0.4850866091454682,0.5744446687248965,,0.19
BTB Integrity,ST Lactate Export,0.3705882352941176,0.1576504647378205,0.2533668183286401,,0.37
BTB Integrity,ST DHH Ligand,0.5823529411764706,0.0179327341310353,0.042472265047189,*,0.58*
BTB Integrity,LC Mature,0.7735294117647058,0.0004393556517117,0.0032951673878379,**,0.77**
BTB Integrity,LC Immature,-0.7764705882352941,0.0004043508405454,0.0032951673878379,**,-0.78**
BTB Integrity,Germ Maturity Index,0.5191763001428353,0.0393161055954003,0.0769228152953486,,0.52
BTB Integrity,Germ Latest Stage,0.6572706017789388,0.0056627059394029,0.0205914003143568,*,0.66*
ST Stress IEG,ST Maturity,-0.0352941176470588,0.8967532476935333,0.9138955872505,,-0.04
ST Stress IEG,BTB Integrity,-0.1470588235294117,0.5867933937012053,0.6770693004244677,,-0.15
ST Stress IEG,ST Stress IEG,1.0,0.0,0.0,,1.00
ST Stress IEG,ST SASP,0.8411764705882352,4.442904294313837e-05,0.0012683547141332,**,0.84**
ST Stress IEG,ST Lactate Export,0.25,0.3503914791072017,0.4379893488840021,,0.25
ST Stress IEG,ST DHH Ligand,0.0323529411764705,0.9053195187918448,0.9138955872505,,0.03
ST Stress IEG,LC Mature,-0.0294117647058823,0.9138955872505,0.9138955872505,,-0.03
ST Stress IEG,LC Immature,0.4941176470588235,0.0517234422492354,0.0969814542173165,,0.49
ST Stress IEG,Germ Maturity Index,-0.351033975664758,0.1824878881458987,0.2649017731150143,,-0.35
ST Stress IEG,Germ Latest Stage,-0.2657815548177129,0.3197681025043346,0.4232224886086781,,-0.27
ST SASP,ST Maturity,0.3029411764705882,0.2540668806096115,0.3572815508572662,,0.30
ST SASP,BTB Integrity,0.188235294117647,0.4850866091454682,0.5744446687248965,,0.19
ST SASP,ST Stress IEG,0.8411764705882352,4.442904294313837e-05,0.0012683547141332,**,0.84**
ST SASP,ST SASP,1.0,0.0,0.0,,1.00
ST SASP,ST Lactate Export,0.6382352941176471,0.007801138631008,0.023403415893024,*,0.64*
ST SASP,ST DHH Ligand,0.411764705882353,0.1130338662143672,0.1921307434609932,,0.41
ST SASP,LC Mature,0.1999999999999999,0.4576879050751998,0.5566474521184863,,0.20
ST SASP,LC Immature,0.2588235294117647,0.3330723066336081,0.4282358228146389,,0.26
ST SASP,Germ Maturity Index,-0.1120948829853849,0.6793759555337302,0.7642979499754465,,-0.11
