,ST Maturity,BTB Integrity,ST Stress IEG,ST SASP,ST Lactate Export,ST DHH Ligand,LC Mature,LC Immature,Germ Maturity Index,Germ Latest Stage
ST Maturity,1.0,0.8352941176470589,-0.0352941176470588,0.3029411764705882,0.6176470588235293,0.7352941176470589,0.7735294117647058,-0.6235294117647059,0.5545746842434832,0.653678959146267
BTB Integrity,0.8352941176470589,1.0,-0.1470588235294117,0.188235294117647,0.3705882352941176,0.5823529411764706,0.7735294117647058,-0.7764705882352941,0.5191763001428353,0.6572706017789388
ST Stress IEG,-0.0352941176470588,-0.1470588235294117,1.0,0.8411764705882352,0.25,0.0323529411764705,-0.0294117647058823,0.4941176470588235,-0.351033975664758,-0.2657815548177129
ST SASP,0.3029411764705882,0.188235294117647,0.8411764705882352,1.0,0.6382352941176471,0.411764705882353,0.1999999999999999,0.2588235294117647,-0.1120948829853849,0.0430997115920615
ST Lactate Export,0.6176470588235293,0.3705882352941176,0.25,0.6382352941176471,1.0,0.6705882352941177,0.3588235294117647,-0.0823529411764706,0.2743374767800209,0.4094472601245848
ST DHH Ligand,0.7352941176470589,0.5823529411764706,0.0323529411764705,0.411764705882353,0.6705882352941177,1.0,0.5205882352941177,-0.4441176470588235,0.6902684899626333,0.6500873165135952
LC Mature,0.7735294117647058,0.7735294117647058,-0.0294117647058823,0.1999999999999999,0.3588235294117647,0.5205882352941177,1.0,-0.6058823529411764,0.3569337063481993,0.5602962506968003
LC Immature,-0.6235294117647059,-0.7764705882352941,0.4941176470588235,0.2588235294117647,-0.0823529411764706,-0.4441176470588235,-0.6058823529411764,1.0,-0.6548701058619855,-0.6716371723096259
Germ Maturity Index,0.5545746842434832,0.5191763001428353,-0.351033975664758,-0.1120948829853848,0.2743374767800209,0.6902684899626333,0.3569337063481993,-0.6548701058619855,0.9999999999999998,0.8213137116947162
Germ Latest Stage,0.653678959146267,0.6572706017789387,-0.2657815548177129,0.0430997115920615,0.4094472601245848,0.6500873165135952,0.5602962506968003,-0.6716371723096259,0.8213137116947162,1.0
