gene,st_cluster,stage_label_candidate,z_score
EGR3,ST1,Stage_a,1.05899864279538
EGR3,ST2,Stage_b,-0.130887472705046
EGR3,ST3,Stage_c,-0.928111170090329
JUN,ST1,Stage_a,0.905761763743733
JUN,ST2,Stage_b,0.167358362698228
JUN,ST3,Stage_c,-1.07312012644196
FOS,ST1,Stage_a,0.929350064169018
FOS,ST2,Stage_b,0.12881577969928
FOS,ST3,Stage_c,-1.0581658438683
AMH,ST1,Stage_a,0.556445480253022
AMH,ST2,Stage_b,0.598005723591422
AMH,ST3,Stage_c,-1.15445120384444
CST9L,ST1,Stage_a,-0.887318772988501
CST9L,ST2,Stage_b,1.08358051157658
CST9L,ST3,Stage_c,-0.19626173858808
HOPX,ST1,Stage_a,-0.950373355689797
HOPX,ST2,Stage_b,-0.0927859126875895
HOPX,ST3,Stage_c,1.04315926837739
DEFB119,ST1,Stage_a,-0.911661753721326
DEFB119,ST2,Stage_b,-0.157891075737838
DEFB119,ST3,Stage_c,1.06955282945916
CITED1,ST1,Stage_a,-0.701653405892794
CITED1,ST2,Stage_b,-0.443378480554241
CITED1,ST3,Stage_c,1.14503188644703
FATE1,ST1,Stage_a,-0.732019037346904
FATE1,ST2,Stage_b,-0.407366907603742
FATE1,ST3,Stage_c,1.13938594495065
TOMM7,ST1,Stage_a,-0.498338334784307
TOMM7,ST2,Stage_b,-0.652908533287396
TOMM7,ST3,Stage_c,1.1512468680717
WT1,ST1,Stage_a,-0.67216817919249
WT1,ST2,Stage_b,-0.477022578781767
WT1,ST3,Stage_c,1.14919075797426
SOX9,ST1,Stage_a,-0.506904079957301
SOX9,ST2,Stage_b,-0.645039023021967
SOX9,ST3,Stage_c,1.15194310297927
