gene,ST1,ST2,ST3,Stage_a,Stage_b,Stage_c
EGR3,1.05899864279538,-0.130887472705046,-0.928111170090329,1.05899864279538,-0.130887472705046,-0.928111170090329
JUN,0.905761763743733,0.167358362698228,-1.07312012644196,0.905761763743733,0.167358362698228,-1.07312012644196
FOS,0.929350064169018,0.12881577969928,-1.0581658438683,0.929350064169018,0.12881577969928,-1.0581658438683
AMH,0.556445480253022,0.598005723591422,-1.15445120384444,0.556445480253022,0.598005723591422,-1.15445120384444
CST9L,-0.887318772988501,1.08358051157658,-0.19626173858808,-0.887318772988501,1.08358051157658,-0.19626173858808
HOPX,-0.950373355689797,-0.0927859126875895,1.04315926837739,-0.950373355689797,-0.0927859126875895,1.04315926837739
DEFB119,-0.911661753721326,-0.157891075737838,1.06955282945916,-0.911661753721326,-0.157891075737838,1.06955282945916
CITED1,-0.701653405892794,-0.443378480554241,1.14503188644703,-0.701653405892794,-0.443378480554241,1.14503188644703
FATE1,-0.732019037346904,-0.407366907603742,1.13938594495065,-0.732019037346904,-0.407366907603742,1.13938594495065
TOMM7,-0.498338334784307,-0.652908533287396,1.1512468680717,-0.498338334784307,-0.652908533287396,1.1512468680717
WT1,-0.67216817919249,-0.477022578781767,1.14919075797426,-0.67216817919249,-0.477022578781767,1.14919075797426
SOX9,-0.506904079957301,-0.645039023021967,1.15194310297927,-0.506904079957301,-0.645039023021967,1.15194310297927
