gene,group,n_cells,mean_expression,median_expression,q1_expression,q3_expression
JUN,Ctrl,257,1.01250292,1.02542102,0.00000000,1.66165698
JUN,AZFc_Del,2441,1.21998222,1.40480101,0.00000000,2.01431823
JUN,iNOA_B,181,1.61272660,1.86798751,1.14705956,2.27715516
JUN,iNOA_S,2750,1.27109539,1.40279406,0.00000000,2.28459227
JUN,KS,155,1.74534674,1.99781716,1.38219768,2.36649144
EGR3,Ctrl,257,0.02431022,0.00000000,0.00000000,0.00000000
EGR3,AZFc_Del,2441,0.20830437,0.00000000,0.00000000,0.00000000
EGR3,iNOA_B,181,0.21131027,0.00000000,0.00000000,0.00000000
EGR3,iNOA_S,2750,0.31913742,0.00000000,0.00000000,0.45449170
EGR3,KS,155,0.22449058,0.00000000,0.00000000,0.20544381
DEFB119,Ctrl,257,2.89677725,3.12564731,2.70944095,3.40915775
DEFB119,AZFc_Del,2441,3.08714450,3.20062542,2.81828070,3.56932616
DEFB119,iNOA_B,181,2.87745074,2.97576690,2.49565363,3.40183568
DEFB119,iNOA_S,2750,3.07985759,3.13772750,2.70959270,3.58262289
DEFB119,KS,155,3.08138984,3.37877417,3.02476382,3.61112046
CITED1,Ctrl,257,2.10281567,2.38425756,1.87235236,2.71906471
CITED1,AZFc_Del,2441,2.22383127,2.35010457,1.84770048,2.82538390
CITED1,iNOA_B,181,1.91499688,2.12499070,1.53860557,2.60805941
CITED1,iNOA_S,2750,2.36150611,2.52530599,1.91250122,3.12424326
CITED1,KS,155,2.69761746,2.71077967,2.38162327,3.08434343
