regulon_label,tf_gene,group,auc,activity_zscore
JUN(23g),JUN,Ctrl,0.14263554,-1.11309174
JUN(23g),JUN,AZFc_Del,0.17591966,-0.46564495
JUN(23g),JUN,iNOA_B,0.22064410,0.40434050
JUN(23g),JUN,iNOA_S,0.24084839,0.79735699
JUN(23g),JUN,KS,0.26899020,1.34477495
FOS(37g),FOS,Ctrl,0.10364845,-1.21978325
FOS(37g),FOS,AZFc_Del,0.15991317,-0.16932753
FOS(37g),FOS,iNOA_B,0.18047508,0.21456091
FOS(37g),FOS,iNOA_S,0.23630542,1.25690694
FOS(37g),FOS,KS,0.21835023,0.92168548
FOSB(38g),FOSB,Ctrl,0.05499934,-1.18902222
FOSB(38g),FOSB,AZFc_Del,0.08976584,-0.11419623
FOSB(38g),FOSB,iNOA_B,0.10641038,0.40037908
FOSB(38g),FOSB,iNOA_S,0.14261460,1.51965313
FOSB(38g),FOSB,KS,0.10534216,0.36735445
JUND(13g),JUND,Ctrl,0.05484612,0.66583651
JUND(13g),JUND,AZFc_Del,0.04740674,-0.81885233
JUND(13g),JUND,iNOA_B,0.04788713,-0.72298143
JUND(13g),JUND,iNOA_S,0.04609727,-1.08018531
JUND(13g),JUND,KS,0.05452483,0.60171707
HSF1(47g),HSF1,Ctrl,0.05000614,-0.85694311
HSF1(47g),HSF1,AZFc_Del,0.10834380,0.30550627
HSF1(47g),HSF1,iNOA_B,0.04690987,-0.91864005
HSF1(47g),HSF1,iNOA_S,0.05818727,-0.69392409
HSF1(47g),HSF1,KS,0.17254080,1.58471022
MAFB(8g),MAFB,Ctrl,0.00879267,-0.97982348
MAFB(8g),MAFB,AZFc_Del,0.01790380,-0.48985409
MAFB(8g),MAFB,iNOA_B,0.03104512,0.21684648
MAFB(8g),MAFB,iNOA_S,0.03002447,0.16195924
MAFB(8g),MAFB,KS,0.06042451,1.79678221
NR2F2(40g),NR2F2,Ctrl,0.03629255,1.93538541
NR2F2(40g),NR2F2,AZFc_Del,0.02676751,-0.69463830
NR2F2(40g),NR2F2,iNOA_B,0.02916867,-0.03163551
NR2F2(40g),NR2F2,iNOA_S,0.02818035,-0.30452964
NR2F2(40g),NR2F2,KS,0.02631727,-0.81895674
THRB(36g),THRB,Ctrl,0.06750558,1.42070749
THRB(36g),THRB,AZFc_Del,0.05440847,-0.93351026
THRB(36g),THRB,iNOA_B,0.06491522,0.95508762
THRB(36g),THRB,iNOA_S,0.05858768,-0.18229217
THRB(36g),THRB,KS,0.05370112,-1.06065586
ETS2(97g),ETS2,Ctrl,0.02112002,1.94636462
ETS2(97g),ETS2,AZFc_Del,0.01498657,-0.28288810
ETS2(97g),ETS2,iNOA_B,0.01550462,-0.09459804
ETS2(97g),ETS2,iNOA_S,0.01501478,-0.27263654
ETS2(97g),ETS2,KS,0.01309390,-0.97079577
ELF1(46g),ELF1,Ctrl,0.05593002,0.16699979
ELF1(46g),ELF1,AZFc_Del,0.05376364,-0.01996551
ELF1(46g),ELF1,iNOA_B,0.07044531,1.41971252
ELF1(46g),ELF1,iNOA_S,0.06077047,0.58474495
ELF1(46g),ELF1,KS,0.03704448,-1.46287877
E2F6(31g),E2F6,Ctrl,0.03543229,0.20826076
E2F6(31g),E2F6,AZFc_Del,0.03234592,-0.06635915
E2F6(31g),E2F6,iNOA_B,0.05028420,1.52975471
E2F6(31g),E2F6,iNOA_S,0.03799634,0.43640465
E2F6(31g),E2F6,KS,0.01769473,-1.36999323
NFKB1(26g),NFKB1,Ctrl,0.02148614,0.36554649
NFKB1(26g),NFKB1,AZFc_Del,0.01717369,-0.26968984
NFKB1(26g),NFKB1,iNOA_B,0.02835409,1.37721758
NFKB1(26g),NFKB1,iNOA_S,0.02383167,0.71105134
NFKB1(26g),NFKB1,KS,0.01196633,-1.03675157
