regulon_label,tf_gene,Ctrl_auc,AZFc_Del_auc,iNOA_B_auc,iNOA_S_auc,KS_auc,Ctrl_activity_zscore,AZFc_Del_activity_zscore,iNOA_B_activity_zscore,iNOA_S_activity_zscore,KS_activity_zscore
JUN(23g),JUN,0.14263554,0.17591966,0.22064410,0.24084839,0.26899020,-1.11309174,-0.46564495,0.40434050,0.79735699,1.34477495
FOS(37g),FOS,0.10364845,0.15991317,0.18047508,0.23630542,0.21835023,-1.21978325,-0.16932753,0.21456091,1.25690694,0.92168548
FOSB(38g),FOSB,0.05499934,0.08976584,0.10641038,0.14261460,0.10534216,-1.18902222,-0.11419623,0.40037908,1.51965313,0.36735445
JUND(13g),JUND,0.05484612,0.04740674,0.04788713,0.04609727,0.05452483,0.66583651,-0.81885233,-0.72298143,-1.08018531,0.60171707
HSF1(47g),HSF1,0.05000614,0.10834380,0.04690987,0.05818727,0.17254080,-0.85694311,0.30550627,-0.91864005,-0.69392409,1.58471022
MAFB(8g),MAFB,0.00879267,0.01790380,0.03104512,0.03002447,0.06042451,-0.97982348,-0.48985409,0.21684648,0.16195924,1.79678221
NR2F2(40g),NR2F2,0.03629255,0.02676751,0.02916867,0.02818035,0.02631727,1.93538541,-0.69463830,-0.03163551,-0.30452964,-0.81895674
THRB(36g),THRB,0.06750558,0.05440847,0.06491522,0.05858768,0.05370112,1.42070749,-0.93351026,0.95508762,-0.18229217,-1.06065586
ETS2(97g),ETS2,0.02112002,0.01498657,0.01550462,0.01501478,0.01309390,1.94636462,-0.28288810,-0.09459804,-0.27263654,-0.97079577
ELF1(46g),ELF1,0.05593002,0.05376364,0.07044531,0.06077047,0.03704448,0.16699979,-0.01996551,1.41971252,0.58474495,-1.46287877
E2F6(31g),E2F6,0.03543229,0.03234592,0.05028420,0.03799634,0.01769473,0.20826076,-0.06635915,1.52975471,0.43640465,-1.36999323
NFKB1(26g),NFKB1,0.02148614,0.01717369,0.02835409,0.02383167,0.01196633,0.36554649,-0.26968984,1.37721758,0.71105134,-1.03675157
