去掉OA,Major cell types,count
AZFc_Del,ECs_1,690
AZFc_Del,ECs_2,80
AZFc_Del,LCs_1,248
AZFc_Del,LCs_2,199
AZFc_Del,Macrophages,537
AZFc_Del,Monocytes,24
AZFc_Del,Myoid_1,256
AZFc_Del,Myoid_2,111
AZFc_Del,Myoid_3,35
AZFc_Del,Myoid_4,26
AZFc_Del,Myoid_5,15
AZFc_Del,PlasmaCells,4
AZFc_Del,ST1,183
AZFc_Del,ST2,642
AZFc_Del,ST3,3791
AZFc_Del,TCells,58
AZFc_Del,cDCs,72
Ctrl,ECs_1,155
Ctrl,ECs_2,23
Ctrl,LCs_1,34
Ctrl,LCs_2,96
Ctrl,Macrophages,205
Ctrl,Monocytes,8
Ctrl,Myoid_1,162
Ctrl,Myoid_2,85
Ctrl,Myoid_3,3
Ctrl,Myoid_4,2
Ctrl,Myoid_5,0
Ctrl,PlasmaCells,0
Ctrl,ST1,39
Ctrl,ST2,8
Ctrl,ST3,569
Ctrl,TCells,5
Ctrl,cDCs,35
KS,ECs_1,714
KS,ECs_2,137
KS,LCs_1,1842
KS,LCs_2,22
KS,Macrophages,272
KS,Monocytes,7
KS,Myoid_1,1157
KS,Myoid_2,3606
KS,Myoid_3,561
KS,Myoid_4,263
KS,Myoid_5,4
KS,PlasmaCells,10
KS,ST1,1
KS,ST2,18
KS,ST3,287
KS,TCells,134
KS,cDCs,39
iNOA_B,ECs_1,147
iNOA_B,ECs_2,23
iNOA_B,LCs_1,258
iNOA_B,LCs_2,93
iNOA_B,Macrophages,120
iNOA_B,Monocytes,10
iNOA_B,Myoid_1,644
iNOA_B,Myoid_2,67
iNOA_B,Myoid_3,47
iNOA_B,Myoid_4,15
iNOA_B,Myoid_5,2
iNOA_B,PlasmaCells,1
iNOA_B,ST1,24
iNOA_B,ST2,21
iNOA_B,ST3,316
iNOA_B,TCells,11
iNOA_B,cDCs,20
iNOA_S,ECs_1,445
iNOA_S,ECs_2,90
iNOA_S,LCs_1,3153
iNOA_S,LCs_2,162
iNOA_S,Macrophages,1709
iNOA_S,Monocytes,77
iNOA_S,Myoid_1,3811
iNOA_S,Myoid_2,1187
iNOA_S,Myoid_3,651
iNOA_S,Myoid_4,208
iNOA_S,Myoid_5,76
iNOA_S,PlasmaCells,198
iNOA_S,ST1,442
iNOA_S,ST2,1050
iNOA_S,ST3,3375
iNOA_S,TCells,119
iNOA_S,cDCs,316
