group,stage,count,ratio,group_total
Ctrl,Stage_a,13,0.10236220472440945,127
Ctrl,Stage_b,1,0.007874015748031496,127
Ctrl,Stage_c,113,0.889763779527559,127
AZFc_Del,Stage_a,258,0.40822784810126583,632
AZFc_Del,Stage_b,168,0.26582278481012656,632
AZFc_Del,Stage_c,206,0.3259493670886076,632
iNOA_B,Stage_a,269,0.682741116751269,394
iNOA_B,Stage_b,31,0.07868020304568528,394
iNOA_B,Stage_c,94,0.23857868020304568,394
iNOA_S,Stage_a,3390,0.8462306540189716,4006
iNOA_S,Stage_b,449,0.11208187718422366,4006
iNOA_S,Stage_c,167,0.041687468796804794,4006
KS,Stage_a,3073,0.992891760904685,3095
KS,Stage_b,1,0.00032310177705977385,3095
KS,Stage_c,21,0.00678513731825525,3095
