gene,cluster,stage,scaled_expression
SRD5A1,LC1,Stage_a,-0.76539207448568
SRD5A1,LC2,Stage_b,-0.366057079101847
SRD5A1,LC3,Stage_c,1.13144915358753
CYP11A1,LC1,Stage_a,-0.668544530676858
CYP11A1,LC2,Stage_b,-0.481071930615982
CYP11A1,LC3,Stage_c,1.14961646129284
HSD17B3,LC1,Stage_a,-0.66768160445341
HSD17B3,LC2,Stage_b,-0.482033548580998
HSD17B3,LC3,Stage_c,1.14971515303441
INSL3,LC1,Stage_a,-0.612724513387184
INSL3,LC2,Stage_b,-0.541238181614948
INSL3,LC3,Stage_c,1.15396269500213
HSD17B6,LC1,Stage_a,-0.579668937690164
HSD17B6,LC2,Stage_b,-0.575028492558555
HSD17B6,LC3,Stage_c,1.15469743024872
LHCGR,LC1,Stage_a,-0.577350269189626
LHCGR,LC2,Stage_b,-0.577350269189626
LHCGR,LC3,Stage_c,1.15470053837925
HSD3B2,LC1,Stage_a,-0.596602964123988
HSD3B2,LC2,Stage_b,-0.557881137125556
HSD3B2,LC3,Stage_c,1.15448410124954
CYP17A1,LC1,Stage_a,-0.590059570047243
CYP17A1,LC2,Stage_b,-0.564547016575134
CYP17A1,LC3,Stage_c,1.15460658662238
NR2F2,LC1,Stage_a,1.12450829207911
NR2F2,LC2,Stage_b,-0.789434307550174
NR2F2,LC3,Stage_c,-0.335073984528936
MAFB,LC1,Stage_a,1.15308083139518
MAFB,LC2,Stage_b,-0.523592826500874
MAFB,LC3,Stage_c,-0.629488004894309
IGF1,LC1,Stage_a,0.988147329906846
IGF1,LC2,Stage_b,0.0232981943494183
IGF1,LC3,Stage_c,-1.01144552425626
PDGFRB,LC1,Stage_a,0.974497126335338
PDGFRB,LC2,Stage_b,0.0491901687236118
PDGFRB,LC3,Stage_c,-1.02368729505895
DLK1,LC1,Stage_a,1.05752644253492
DLK1,LC2,Stage_b,-0.127230697672456
DLK1,LC3,Stage_c,-0.930295744862466
NES,LC1,Stage_a,1.08198876200748
NES,LC2,Stage_b,-0.19174484390006
NES,LC3,Stage_c,-0.890243918107423
NOTCH2,LC1,Stage_a,0.523986540378888
NOTCH2,LC2,Stage_b,0.629117597843442
NOTCH2,LC3,Stage_c,-1.15310413822233
FZD3,LC1,Stage_a,0.75359097269568
FZD3,LC2,Stage_b,0.380882205288706
FZD3,LC3,Stage_c,-1.13447317798439
PDGFRA,LC1,Stage_a,0.811351228972005
PDGFRA,LC2,Stage_b,0.305859266903668
PDGFRA,LC3,Stage_c,-1.11721049587567
HSD11B1,LC1,Stage_a,0.785812399781257
HSD11B1,LC2,Stage_b,0.339810767472976
HSD11B1,LC3,Stage_c,-1.12562316725423
