gene,LC1,LC2,LC3,Stage_a,Stage_b,Stage_c
SRD5A1,-0.76539207448568,-0.366057079101847,1.13144915358753,-0.76539207448568,-0.366057079101847,1.13144915358753
CYP11A1,-0.668544530676858,-0.481071930615982,1.14961646129284,-0.668544530676858,-0.481071930615982,1.14961646129284
HSD17B3,-0.66768160445341,-0.482033548580998,1.14971515303441,-0.66768160445341,-0.482033548580998,1.14971515303441
INSL3,-0.612724513387184,-0.541238181614948,1.15396269500213,-0.612724513387184,-0.541238181614948,1.15396269500213
HSD17B6,-0.579668937690164,-0.575028492558555,1.15469743024872,-0.579668937690164,-0.575028492558555,1.15469743024872
LHCGR,-0.577350269189626,-0.577350269189626,1.15470053837925,-0.577350269189626,-0.577350269189626,1.15470053837925
HSD3B2,-0.596602964123988,-0.557881137125556,1.15448410124954,-0.596602964123988,-0.557881137125556,1.15448410124954
CYP17A1,-0.590059570047243,-0.564547016575134,1.15460658662238,-0.590059570047243,-0.564547016575134,1.15460658662238
NR2F2,1.12450829207911,-0.789434307550174,-0.335073984528936,1.12450829207911,-0.789434307550174,-0.335073984528936
MAFB,1.15308083139518,-0.523592826500874,-0.629488004894309,1.15308083139518,-0.523592826500874,-0.629488004894309
IGF1,0.988147329906846,0.0232981943494183,-1.01144552425626,0.988147329906846,0.0232981943494183,-1.01144552425626
PDGFRB,0.974497126335338,0.0491901687236118,-1.02368729505895,0.974497126335338,0.0491901687236118,-1.02368729505895
DLK1,1.05752644253492,-0.127230697672456,-0.930295744862466,1.05752644253492,-0.127230697672456,-0.930295744862466
NES,1.08198876200748,-0.19174484390006,-0.890243918107423,1.08198876200748,-0.19174484390006,-0.890243918107423
NOTCH2,0.523986540378888,0.629117597843442,-1.15310413822233,0.523986540378888,0.629117597843442,-1.15310413822233
FZD3,0.75359097269568,0.380882205288706,-1.13447317798439,0.75359097269568,0.380882205288706,-1.13447317798439
PDGFRA,0.811351228972005,0.305859266903668,-1.11721049587567,0.811351228972005,0.305859266903668,-1.11721049587567
HSD11B1,0.785812399781257,0.339810767472976,-1.12562316725423,0.785812399781257,0.339810767472976,-1.12562316725423
