gene,stage,n_cells,mean,median,q1,q3
NOTCH2,Stage_a,7003,0.4141553276167007,0.0,0.0,1.0250483751296997
NOTCH2,Stage_b,650,0.43523247906794915,0.0,0.0,0.9441687017679214
NOTCH2,Stage_c,601,0.07914818885322418,0.0,0.0,0.0
PDGFRB,Stage_a,7003,0.5142623253435845,0.0,0.0,1.225245714187622
PDGFRB,Stage_b,650,0.28178034727389994,0.0,0.0,0.0
PDGFRB,Stage_c,601,0.013145679245375953,0.0,0.0,0.0
CYP17A1,Stage_a,7003,0.017423824856796385,0.0,0.0,0.0
CYP17A1,Stage_b,650,0.05564737044847928,0.0,0.0,0.0
CYP17A1,Stage_c,601,2.684434063918579,3.0275392532348633,1.2499130964279175,4.040696144104004
INSL3,Stage_a,7003,0.5797043253179449,0.0,0.0,0.0
INSL3,Stage_b,650,0.7997881355193945,0.0,0.0,1.4142547249794006
INSL3,Stage_c,601,6.017223907588127,6.576949596405029,5.78190803527832,7.146914005279541
