group,stage,ratio
Ctrl,Stage_a,0.10236220472440945
Ctrl,Stage_b,0.007874015748031496
Ctrl,Stage_c,0.889763779527559
AZFc_Del,Stage_a,0.40822784810126583
AZFc_Del,Stage_b,0.26582278481012656
AZFc_Del,Stage_c,0.3259493670886076
iNOA_B,Stage_a,0.682741116751269
iNOA_B,Stage_b,0.07868020304568528
iNOA_B,Stage_c,0.23857868020304568
iNOA_S,Stage_a,0.8462306540189716
iNOA_S,Stage_b,0.11208187718422366
iNOA_S,Stage_c,0.041687468796804794
KS,Stage_a,0.992891760904685
KS,Stage_b,0.00032310177705977385
KS,Stage_c,0.00678513731825525
