group_raw,group,rank_in_group,Description,Count,minus_log10_p_adjust,p.adjust,geneID
AZFc,AZFc_Del,1,cholesterol metabolic process,16,4.021363051615526,9.52e-05,SOD1/CYP51A1/EBP/ABCA5/MSMO1/LIMA1/SCARB1/DHCR7/APOE/TM7SF2/MT3/DHCR24/FDX1/CYB5R3/CYP11A1/STAR
AZFc,AZFc_Del,2,steroid biosynthetic process,17,3.718982549595637,0.000190993,SOD1/CYP51A1/ASAH1/EBP/HSD17B11/DKKL1/MSMO1/SCARB1/DHCR7/APOE/TM7SF2/DHCR24/FDX1/CYB5R3/CYP11A1/STAR/CYP17A1
AZFc,AZFc_Del,3,sterol metabolic process,16,3.718982549595637,0.000190993,SOD1/CYP51A1/EBP/ABCA5/MSMO1/LIMA1/SCARB1/DHCR7/APOE/TM7SF2/MT3/DHCR24/FDX1/CYB5R3/CYP11A1/STAR
AZFc,AZFc_Del,4,steroid metabolic process,22,3.057920480394897,0.000875144,SOD1/CYP51A1/ASAH1/EBP/HSD17B11/DKKL1/LAMTOR1/ABCA5/MSMO1/ACAT1/LIMA1/SCARB1/DHCR7/APOE/TM7SF2/MT3/DHCR24/FDX1/CYB5R3/CYP11A1/STAR/CYP17A1
AZFc,AZFc_Del,5,cholesterol biosynthetic process,9,3.007850479942093,0.000982086,SOD1/CYP51A1/EBP/MSMO1/DHCR7/APOE/TM7SF2/DHCR24/CYB5R3
iNOA_B,iNOA_B,1,fatty acid metabolic process,53,7.941243804318009,1.14487005364394e-08,THNSL2/HACL1/DECR2/ECHDC2/CRYL1/PTGES2/ACSL1/HADH/SCD/ASAH1/PLP1/DLD/AKR1C3/INSIG1/SCP2/ALKBH7/CBR1/ACAA2/ETFA/ABHD6/FABP3/ELOVL1/FADS1/ECI2/ACAT1/SLC25A17/ADIPOR1/HACD2/ANXA1/SCD5/PCCB/GPX1/PHYH/TECR/DEGS1/ALDH3A2/DECR1/GSTM4/C3/APPL2/LYPLA1/ELOVL5/ECHS1/CD74/HACD3/MSMO1/ACSM3/PDK4/HADHB/AKR1B1/ECH1/GSTA1/EPHX1
iNOA_B,iNOA_B,2,steroid biosynthetic process,32,7.4421434424025374,3.61290512887823e-08,SQLE/FDPS/HSD17B7/ASAH1/DKKL1/FDXR/AKR1C3/HSD17B3/INSIG1/SCP2/ACAA2/IDI1/HMGCR/HSD3B2/SCARB1/EBP/HSD17B11/ERG28/HMGCS1/SC5D/MSMO1/DHCR24/FDFT1/TM7SF2/DHCR7/FDX1/AKR1B1/HSD17B6/CYB5R3/CYP11A1/STAR/CYP17A1
iNOA_B,iNOA_B,3,sterol metabolic process,29,6.949268230469489,1.12391060597974e-07,SQLE/FDPS/ABCA5/LIPA/SOAT1/HSD17B7/FDXR/SNX17/INSIG1/ACAA2/IDI1/HMGCR/LDLR/SCARB1/MT3/EBP/ERG28/NPC2/HMGCS1/SC5D/MSMO1/DHCR24/FDFT1/TM7SF2/DHCR7/FDX1/CYB5R3/CYP11A1/STAR
iNOA_B,iNOA_B,4,cholesterol metabolic process,27,6.7204606651085586,1.90344062806957e-07,SQLE/FDPS/ABCA5/SOAT1/HSD17B7/FDXR/SNX17/INSIG1/ACAA2/IDI1/HMGCR/LDLR/SCARB1/MT3/EBP/NPC2/HMGCS1/SC5D/MSMO1/DHCR24/FDFT1/TM7SF2/DHCR7/FDX1/CYB5R3/CYP11A1/STAR
iNOA_B,iNOA_B,5,steroid metabolic process,43,6.374617161823064,4.22068400159942e-07,SQLE/FDPS/ABCA5/LIPA/SOAT1/HSD17B7/ASAH1/DKKL1/FDXR/AKR1C3/HSD17B3/SNX17/INSIG1/SCP2/ACAA2/IDI1/LAMTOR1/ACAT1/LGMN/HMGCR/COMT/HSD3B2/LDLR/SCARB1/MT3/EBP/HSD17B11/ERG28/NPC2/HMGCS1/SC5D/MSMO1/DHCR24/FDFT1/TM7SF2/DHCR7/FDX1/AKR1B1/HSD17B6/CYB5R3/CYP11A1/STAR/CYP17A1
iNOA_S,iNOA_S,1,steroid biosynthetic process,18,4.234593736366352,5.82648004832648e-05,CYP51A1/SC5D/AKR1B1/DKKL1/OSBPL3/SOD1/HSD3B2/EBP/SCARB1/DHCR7/TM7SF2/FDX1/DHCR24/CYB5R3/CYP11A1/HSD17B6/STAR/CYP17A1
