gene,group,average_expression
CYP51A1,Ctrl,0.553231511
CYP51A1,KS,0.145738036
CYP51A1,AZFc_Del,0.266804232
CYP51A1,iNOA_B,0.552574896
CYP51A1,iNOA_S,0.293256454
EBP,Ctrl,0.964199712
EBP,KS,0.229984491
EBP,AZFc_Del,0.558672028
EBP,iNOA_B,0.257804075
EBP,iNOA_S,0.465399649
ABCA5,Ctrl,0.911933887
ABCA5,KS,0.361116496
ABCA5,AZFc_Del,0.495279101
ABCA5,iNOA_B,0.57803392
ABCA5,iNOA_S,0.484198754
LIMA1,Ctrl,1.913356804
LIMA1,KS,0.841185187
LIMA1,AZFc_Del,1.130887478
LIMA1,iNOA_B,1.770427789
LIMA1,iNOA_S,1.428806155
SCARB1,Ctrl,0.917786689
SCARB1,KS,0.284539755
SCARB1,AZFc_Del,0.266778298
SCARB1,iNOA_B,0.262827259
SCARB1,iNOA_S,0.308563234
DHCR7,Ctrl,1.470374675
DHCR7,KS,0.31302635
DHCR7,AZFc_Del,0.586377476
DHCR7,iNOA_B,0.152051493
DHCR7,iNOA_S,0.421706154
TM7SF2,Ctrl,1.569767778
TM7SF2,KS,0.086134293
TM7SF2,AZFc_Del,0.596881627
TM7SF2,iNOA_B,0.236550261
TM7SF2,iNOA_S,0.189222976
DHCR24,Ctrl,4.534809531
DHCR24,KS,0.539526568
DHCR24,AZFc_Del,2.187538961
DHCR24,iNOA_B,1.888576932
DHCR24,iNOA_S,1.564149249
FDX1,Ctrl,2.442500869
FDX1,KS,0.560812581
FDX1,AZFc_Del,0.691716935
FDX1,iNOA_B,0.588103985
FDX1,iNOA_S,0.589654947
CYB5R3,Ctrl,7.249533251
CYB5R3,KS,3.252859089
CYB5R3,AZFc_Del,2.55717221
CYB5R3,iNOA_B,1.760519475
CYB5R3,iNOA_S,2.387225762
CYP11A1,Ctrl,3.722549645
CYP11A1,KS,0.597806406
CYP11A1,AZFc_Del,0.978100841
CYP11A1,iNOA_B,0.501293953
CYP11A1,iNOA_S,0.914213856
STAR,Ctrl,12.90023331
STAR,KS,3.177345725
STAR,AZFc_Del,4.198613133
STAR,iNOA_B,2.14455686
STAR,iNOA_S,1.208213094
CYP17A1,Ctrl,32.74393054
CYP17A1,KS,0.419629028
CYP17A1,AZFc_Del,3.395255263
CYP17A1,iNOA_B,4.721658663
CYP17A1,iNOA_S,1.991424301
