,Ctrl,iNOA_B,iNOA_S,AZFc_Del,KS
A1BG-AS1,0,0,0,0,0.008289758
A2M,3.307027924,5.964421938,2.637697646,5.786964545,3.262455409
A2M-AS1,0.014871894,0,0.041479,0.030273646,0.112839998
A2ML1,0.02430786,0.014623012,0.034462336,0.067709551,0.00227659
A4GALT,0.143271044,0.125845289,0.153241226,0.181531122,0.317707482
AAAS,0.348524312,0.161740171,0.204024177,0.152159071,0.286242649
AACS,0.087142792,0.124884639,0.08317418,0.094541798,0.100362952
AACSP1,0.006461852,0.020414066,0,0.005609085,0.001421872
AADAC,0.009293313,0,0.000655611,0.001248358,0
AADACL2-AS1,0.013349566,0.002103421,0,0,0.000684812
AADACP1,0,0,0.007235036,0,0.001167815
AADAT,0.098982827,0.114418927,0.070179377,0.105415162,0.099903939
AAED1,0.228978028,0.346967343,0.515931581,0.361377477,0.498147837
AAGAB,0.855525109,0.432812387,0.270706054,0.366772522,0.203546946
AAK1,0.328397129,0.7848337,0.410979105,0.309821202,0.32778233
AAMDC,0.567548877,0.57415935,0.36960102,1.303409505,0.855284012
AAMP,0.525930713,0.23515776,0.727451826,0.521924827,1.194117223
AAR2,0.246411959,0.10560796,0.273745637,0.22473904,0.245873542
AARD,0.070949874,0.223594537,0.400711991,0.825151193,0.012492512
AARS,0.174578294,0.232131172,0.364985093,0.260792981,0.403654571
AARS2,0.023351342,0.031961968,0.046098542,0.021156872,0.054291316
AARSD1,0.013295255,0.036768366,0.012998077,0.039832777,0.022652613
AASDH,0.445920976,0.287532206,0.320501917,0.252256279,0.206652451
AASDHPPT,0.738081635,0.590070593,0.871191102,1.025581788,0.798752962
AASS,0.170338771,0.142894056,0.109692462,0.097117155,0.212990267
AATBC,0.006112933,0,0.001553661,0.005446217,0.001283889
AATF,0.17229418,0.286844721,0.21845173,0.240394085,0.349166145
AATK,0,0.01370141,0.008675773,0.005396775,0.011538121
ABALON,0.040551652,0.210945674,0.03336364,0,0.002440087
ABAT,0.058170591,0.066731937,0.059266485,0.19883165,0.058364654
ABCA1,0.216451531,0.134868086,0.029495262,0.177725048,0.036244145
ABCA10,0.15961117,0.211161509,0.343839541,0.264724367,0.192420559
ABCA11P,0,0.014144213,0.01332644,0.004443019,0.021563872
ABCA12,0,0.005181455,0.001845476,0,0.000633165
ABCA13,0.024713637,0.007407639,0.001382443,0.016267597,0.000313435
ABCA17P,0.236178544,0.187273452,0.021554804,0.159890359,0.038126423
ABCA2,0.054087609,0.052742012,0.098498128,0.095037987,0.157426189
ABCA3,0.10287565,0.073279968,0.02722762,0.062137787,0.041251719
ABCA4,0,0.007452799,0.004273425,0,0
ABCA5,0.911933887,0.57803392,0.484198754,0.495279101,0.361116496
ABCA6,0.319667306,0.164641222,0.345515704,0.346034542,0.158817581
ABCA7,0,0.003407484,0.001036009,0.000526092,0.000416471
ABCA8,1.109419828,1.554514271,4.002495071,2.899351681,1.218773468
ABCA9,0.462936003,0.394666035,0.958813494,0.707431554,0.260746995
ABCA9-AS1,0,0,0.003290936,0.006161885,0
ABCB1,0.060874744,0.026550733,0.024186473,0.114802176,0.011936611
ABCB10,0.055483514,0.025672462,0.048988605,0.0687328,0.062377974
ABCB4,0.005059827,0.005260943,0.001058617,0.00718295,0.003007537
ABCB5,0.032313723,0.004638908,0.0104214,0.025316434,0.000216813
ABCB7,0.18818931,0.247366345,0.271743485,0.204899931,0.187887693
ABCB8,0.070504108,0.054370917,0.069426282,0.059406379,0.084766943
ABCB9,0.05941004,0.035122452,0.029641728,0.036800983,0.025210763
ABCC1,0.078508403,0.123126447,0.207474539,0.23640676,0.160130629
ABCC10,0.059675541,0.038074005,0.037152325,0.03343559,0.040736821
ABCC11,0.005545205,0.011437908,0,0.001319892,0.00468064
ABCC12,0,0.00840757,0,0.002295632,0.001039082
ABCC2,0.013389957,0.00991852,0.016860849,0.012055935,0.005616294
ABCC3,0.227274928,0.050462016,0.040400062,0.071993005,0.079635789
ABCC4,0.192235135,0.100222906,0.118344376,0.181737353,0.03555655
ABCC5,0.080280762,0.094043802,0.099629101,0.175428542,0.066592874
ABCC6,0.040303639,0.045165762,0.056538247,0.027945028,0.044105999
ABCC6P1,0.022170787,0.017618376,0.01484036,0,0.021012695
ABCC6P2,0.007915326,0.064758609,0.030841303,0.027531709,0.038178668
ABCC8,0,0,0,0.003375323,0.003281672
ABCC9,0.044820942,0.151197259,0.022301195,0.059419608,0.050150084
ABCD1,0.013427832,0.027567421,0.036181702,0.070524754,0.054845989
ABCD2,0.09804609,0.01663102,0.011859695,0.061422499,0.006733927
ABCD3,0.129987793,0.251050158,0.225726397,0.356540649,0.16597927
ABCD4,0.094944307,0.051527154,0.222299332,0.130008889,0.197639073
ABCE1,0.891356839,0.603747058,1.019527015,0.922304911,0.617537891
ABCF1,0.735890685,0.854950236,0.495438588,0.612688892,0.586002448
ABCF2,0,0.044229534,0,0,0
ABCF2-2,0.149641172,0,0.134198803,0.096236789,0.13392141
ABCF3,0.236702697,0.151106646,0.228342774,0.170511045,0.280502278
ABCG1,0.046325291,0.019936591,0.002696405,0.017606561,0.003086545
ABCG2,0.06568081,0.118344328,0.043362313,0.040443201,0.012210714
ABCG5,0,0,0.004495744,0,0
ABHD1,0.049134152,0.022625289,0.015692263,0.017050149,0.020516839
ABHD10,0.545524903,0.306377483,0.429134705,0.404702903,0.341070467
ABHD11,0.084639748,0.043246927,0.080292468,0.134899944,0.09338147
ABHD12,0.223679667,0.183505073,0.208090096,0.200155437,0.502812062
ABHD12B,0.019901208,0.013560144,0.005419257,0,0
ABHD13,0.148451453,0.254949814,0.264725446,0.272260444,0.285949466
ABHD14A,0.540989641,0.406219594,1.012161115,0.495545091,1.59345722
ABHD14B,0.340160629,0.146042316,0.540870041,0.305819841,0.801251153
ABHD15,0.005164852,0.024199728,0.039485,0.052299188,0.076345009
ABHD16A,0.012611166,0.006909895,0.011819554,0.006045072,0.004181328
ABHD17A,0.076392938,0.103293533,0.174152492,0.162725853,0.527040925
ABHD17B,0.083879091,0.085149965,0.147400965,0.191381538,0.177514978
