gene,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,mean_expression,neg_log10_pvals,neg_log10_pvals_adj
FOS,4.216796398162842,3.8299129009246826,2.4779753245151827e-05,0.0016454484971052,0.7294706723891273,0.1538461538461538,4.285280069696133,4.605903022608967,2.783715706668339
FXYD6,4.138810157775879,2.389329195022583,3.491117581195772e-05,0.0022455544624118,0.7020028612303291,0.0769230769230769,2.725449207051819,4.457035523857103,2.64867640734004
ITM2B,4.100059986114502,1.1651370525360107,4.130427699049131e-05,0.0026194569146469,0.9881258941344778,0.7692307692307693,4.718375629383194,4.384004975530111,2.5817887405200963
MT-RNR2,4.046298980712891,1.11497962474823,5.2033804052773616e-05,0.0032542027537381,1.0,1.0,9.207880427326607,4.283714422830901,2.487555391753663
JUNB,4.035000801086426,3.026648998260498,5.460213889400616e-05,0.0034053936182596,0.6879828326180257,0.0769230769230769,3.486710939835852,4.26279034462731,2.467832682177574
MT-ND2,3.8894202709198,0.7873731255531311,0.0001004839577581,0.0059078810268367,0.999713876967096,1.0,6.325708451316657,3.997903267728562,2.2285682591130627
GADD45B,3.869992971420288,3.186762809753418,0.0001088385002146,0.006268486784047,0.6329041487839772,0.0769230769230769,3.2820594442559092,3.963217451392565,2.2028372854298723
FTH1,3.8491833209991455,3.002368450164795,0.000118512323408,0.0067566988019793,0.911301859799714,0.6153846153846154,5.3217174857125285,3.9262364875456757,2.1702654404880604
SELENOP,3.7293763160705566,2.266496419906616,0.0001919542407404,0.0102939451144849,0.7381974248927039,0.2307692307692307,3.3564773427585015,3.71680228880935,1.9874181516619023
EGR1,3.6207082271575928,2.910163402557373,0.0002937977999724,0.0151897286935088,0.5537911301859799,0.0,2.910163459071014,3.531951460633659,1.8184499830802217
JUN,3.5822603702545166,2.230409622192383,0.000340634179347,0.0173993164414461,0.8273247496423463,0.4615384615384615,4.302743957372486,3.4677117769340424,1.7594678133001216
TGFBR3,3.53275203704834,1.6238598823547363,0.000411257869788,0.0205419666508962,0.7266094420600858,0.3076923076923077,2.554135617776794,3.3858857783482295,1.6873579801766434
PTGDS,3.458402156829834,1.3031582832336426,0.0005433894965571,0.0262605377738197,0.9878397711015736,1.0,7.262255854043885,3.264888760528689,1.5806963844989765
HSPA1A,3.434866428375244,2.20131778717041,0.0005928459860039,0.0282974288076352,0.6181688125894135,0.1538461538461538,2.6134402492913544,3.227058116275113,1.548253024029977
ZFP36,3.385629653930664,2.5810115337371826,0.0007101513680156,0.0329898918429815,0.5094420600858369,0.0,2.581011494897105,3.148649072002911,1.48161910828228
MYH11,3.180445432662964,2.007272481918335,0.0014704880168795,0.0624045262351302,0.5593705293276109,0.0769230769230769,2.4673346053391843,2.83253851024179,1.204783909553926
UBC,3.164356231689453,1.094061255455017,0.0015542643220915,0.0653244385365543,0.9015736766809728,0.7692307692307693,3.608305089619543,2.8084751220446385,1.184924314344979
ADIRF,3.163909435272217,3.7345781326293945,0.0015566526966676,0.0653244385365543,0.4669527896995708,0.0,3.7345781996388743,2.8078082716615147,1.184924314344979
SQSTM1,3.112159013748169,1.728522777557373,0.0018572437937129,0.0757519836417732,0.6,0.1538461538461538,2.3888636813207023,2.731131084243633,1.1206059902395629
RBM3,3.0984134674072266,1.4328922033309937,0.0019455971927157,0.0787199781719417,0.6371959942775394,0.2307692307692307,2.160014595458213,2.7109470690464215,1.1039150350010871
HSPA1B,3.0810556411743164,1.8563315868377688,0.0020626803593522,0.0828632285998154,0.4509298998569385,0.0,1.8563316132920349,2.6855680667068613,1.081638149293005
