ONTOLOGY,ID,Description,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,GeneRatio,panel,comparison,neg_log10_pvalue
MF,GO:0005201,extracellular matrix structural constituent,172/18368,2.16478269226827e-12,1.4395804903584e-09,1.36723117406417e-09,MFAP5/CTHRC1/FBN2/COL6A3/ABI3BP/DCN/FBN1/EFEMP1/COL1A2/LUM/SRPX2/SRPX/COL4A1/FBLN2/COL5A1/FBLN5/FN1/COL3A1/PRELP/LAMA2/BGN/EMILIN2/VCAN/MGP,24,24/430,F,LCa_ctrl_vs_disease,11.664585692975958
CC,GO:0062023,collagen-containing extracellular matrix,425/19550,6.10939804103679e-12,2.8775264773283304e-09,2.2894165290622102e-09,MFAP5/CTHRC1/FBN2/COL6A3/ABI3BP/DCN/FBN1/S100A6/VIT/EFEMP1/S100A10/ANXA1/ANXA2/COL1A2/LUM/SRPX2/SRPX/CXCL12/SERPINF1/TIMP1/COL4A1/LMAN1/FBLN2/CLU/COL5A1/FBLN5/FN1/COL3A1/S100A4/CTSH/PRELP/LAMA2/BGN/EMILIN2/VCAN/MGP,36,36/433,F,LCa_ctrl_vs_disease,11.214001578682954
CC,GO:0005925,focal adhesion,418/19550,1.22753672125911e-09,2.8908489785652e-07,2.30001617246443e-07,PROCR/CD44/FOCAD/THY1/AIF1L/CYBA/LIMA1/ANXA1/FERMT1/YWHAE/ACTR3/ADAM17/MAPRE1/REXO2/CORO1C/TWF1/ARF1/HACD3/PFN1/EPB41L2/DAB2/ACTR2/CLTC/GJA1/IGF2R/SDCBP/YWHAG/PARVA/FHL1/TSPAN4/RAB10/DLC1,32,32/433,F,LCa_ctrl_vs_disease,8.910965507268815
CC,GO:0030055,cell-substrate junction,425/19550,1.8492174366648102e-09,2.90327137556375e-07,2.30989967527254e-07,PROCR/CD44/FOCAD/THY1/AIF1L/CYBA/LIMA1/ANXA1/FERMT1/YWHAE/ACTR3/ADAM17/MAPRE1/REXO2/CORO1C/TWF1/ARF1/HACD3/PFN1/EPB41L2/DAB2/ACTR2/CLTC/GJA1/IGF2R/SDCBP/YWHAG/PARVA/FHL1/TSPAN4/RAB10/DLC1,32,32/433,F,LCa_ctrl_vs_disease,8.733012020159542
CC,GO:0005788,endoplasmic reticulum lumen,313/19550,1.46690081469772e-07,1.7272757093e-05,1.37425444745e-05,C3/FSTL1/COL6A3/FBN1/STS/ACE2/COL1A2/ADAM17/PDIA4/TIMP1/COL4A1/P4HA1/ERLEC1/CHRDL1/MYDGF/CLU/COL5A1/IGFBP3/FN1/COL3A1/MIA3/EDEM3/CSF1/VCAN,24,24/433,F,LCa_ctrl_vs_disease,6.833599250223332
CC,GO:0031252,cell leading edge,422/19550,9.18566942785185e-07,8.65290060103e-05,6.88441750803e-05,CD44/THY1/TUBG1/S100A6/AIF1L/DBNL/LIMA1/ANXA2/FERMT1/MYO1C/ACTR3/ADAM17/DYNLT1/PSD3/ABI2/CORO1C/ABLIM1/TWF1/APPL1/ARF1/CAPZB/ACTR2/PARVA/S100A11/CAPG/ARPIN/DLC1,27,27/433,F,LCa_ctrl_vs_disease,6.036889187945212
CC,GO:0030120,vesicle coat,54/19550,2.5956979481e-06,0.0001947513884389,0.000154948026113,COPG1/AP1S2/COPB1/SEC24D/SEC13/SEC31A/CLTC/SEC23A/COPA,9,9/433,F,LCa_ctrl_vs_disease,5.585745846195844
MF,GO:0097493,structural molecule activity conferring elasticity,11/18368,2.8254925632e-06,0.0009394762772872,0.0008922608094536,FBN2/FBN1/FBLN2/FBLN5/EMILIN2,5,5/430,F,LCa_ctrl_vs_disease,5.548905831443575
CC,GO:0030662,coated vesicle membrane,181/19550,2.894394308e-06,0.0001947513884389,0.000154948026113,HLA-G/COPG1/KDELR3/DBNL/AP1S2/HIP1/COPB1/SEC24D/LMAN1/SEC13/DAB2/SEC31A/CLTC/SEC23A/IGF2R/COPA,16,16/433,F,LCa_ctrl_vs_disease,5.538442304549568
CC,GO:0005581,collagen trimer,87/19550,3.4213622937e-06,0.0002014327050461,0.0001602638127085,CTHRC1/COL6A3/DCN/COLEC12/COL1A2/LUM/COL4A1/LOX/COL5A1/COL3A1/EMILIN2,11,11/433,F,LCa_ctrl_vs_disease,5.465800935220423
CC,GO:0030117,membrane coat,89/19550,4.2881117912e-06,0.0002019700653658,0.0001606913471231,COPG1/AP1S2/COPB1/SEC24D/AP3S1/SEC13/SEC31A/CLTC/SEC23A/IGF2R/COPA,11,11/433,F,LCa_ctrl_vs_disease,5.367733901097837
CC,GO:0048475,coated membrane,89/19550,4.2881117912e-06,0.0002019700653658,0.0001606913471231,COPG1/AP1S2/COPB1/SEC24D/AP3S1/SEC13/SEC31A/CLTC/SEC23A/IGF2R/COPA,11,11/433,F,LCa_ctrl_vs_disease,5.367733901097837
CC,GO:0005798,Golgi-associated vesicle,96/19550,9.013970427e-06,0.0003859618246474,0.0003070788011498,COPG1/KDELR3/AP1S2/CHIC2/COPB1/ARF1/RAB8B/CLTC/GJA1/IGF2R/COPA,11,11/433,F,LCa_ctrl_vs_disease,5.045083871094394
BP,GO:0048193,Golgi vesicle transport,296/18723,1.0506059503e-05,0.0166429206824962,0.0151190195096937,COPG1/KDELR3/GAS1/NAPG/PITPNB/COG2/COPB1/SEC24D/LMAN1/ARF1/AP3S1/SEC13/RAB8B/VPS13C/MIA3/SEC31A/SEC23A/COG5/COPA/RAB10,20,20/414,F,LCa_ctrl_vs_disease,4.978560143819283
