id_cp_interaction,interacting_pair,partner_a,partner_b,gene_a,gene_b,secreted,receptor_a,receptor_b,annotation_strategy,is_integrin,rank,LCs_a|LCs_a,LCs_a|LCs_b,LCs_a|LCs_c,LCs_a|STs,LCs_b|LCs_a,LCs_b|LCs_b,LCs_b|LCs_c,LCs_b|STs,LCs_c|LCs_a,LCs_c|LCs_b,LCs_c|LCs_c,LCs_c|STs,STs|LCs_a,STs|LCs_b,STs|LCs_c,STs|STs
CPI-SC08DBCCFF0,COL1A1_integrin_a1b1_complex,simple:P02452,complex:integrin_a1b1_complex,ENSG00000108821,,TRUE,FALSE,FALSE,curated,TRUE,0.062,,,0.891,,,,,,,,,,,,,
CPI-SS0AE964947,GAS6_AXL,simple:Q14393,simple:P30530,ENSG00000183087,ENSG00000167601,TRUE,FALSE,TRUE,curated,FALSE,0.062,,,,,,,,,,,,,,,,0.579
CPI-SS0BDA0E5E0,GAS6_TYRO3,simple:Q14393,simple:Q06418,ENSG00000183087,ENSG00000092445,TRUE,FALSE,TRUE,curated,FALSE,0.062,,,,,,,,,,,,,,,,0.636
CPI-SS0F7FF099C,GAS6_MERTK,simple:Q14393,simple:Q12866,ENSG00000183087,ENSG00000153208,TRUE,FALSE,TRUE,curated,FALSE,0.062,,,,,,,,,,,,,,,,0.633
CPI-SC09B45FB39,FN1_integrin_aVb5_complex,simple:P02751,complex:integrin_aVb5_complex,ENSG00000115414,,TRUE,FALSE,FALSE,curated,TRUE,0.062,,,,0.764,,,,,,,,,,,,
CPI-SC0717E21B0,VTN_integrin_aVb1_complex,simple:P04004,complex:integrin_aVb1_complex,ENSG00000109072,,TRUE,FALSE,FALSE,curated,TRUE,0.062,,,,,,,,,,,,,,,,0.462
CPI-CS0F51152EA,Cholesterol_byLIPA_RORC,complex:Cholesterol_byLIPA,simple:P51449,,ENSG00000143365,TRUE,FALSE,TRUE,curated,FALSE,0.062,,,,,,,,,,,,0.179,,,,
CPI-SS015B87133,JAG1_CD46,simple:P78504,simple:P15529,ENSG00000101384,ENSG00000117335,FALSE,FALSE,TRUE,curated,FALSE,0.062,,,0.734,,,,,,,,,,,,,
CPI-SS0E41702C1,IGF1_IGF1R,simple:P05019,simple:P08069,ENSG00000017427,ENSG00000140443,TRUE,FALSE,TRUE,curated,FALSE,0.062,,,,0.765,,,,,,,,,,,,
CPI-SC077F81192,AMH_MIS_receptor_1,simple:P03971,complex:MIS_receptor_1,ENSG00000104899,,TRUE,FALSE,TRUE,curated,FALSE,0.062,,,,,,,,,,,,,,,,0.166
CPI-SS03E7FB333,HBEGF_ERBB2,simple:Q99075,simple:P04626,ENSG00000113070,ENSG00000141736,TRUE,TRUE,TRUE,curated,FALSE,0.062,,,,,,,,,,,,,,0.978,,
CPI-SS060B846D1,HBEGF_ERBB4,simple:Q99075,simple:Q15303,ENSG00000113070,ENSG00000178568,TRUE,TRUE,TRUE,curated,FALSE,0.062,,,,,,,,,,,,,,,,0.314
CPI-SC0C739EDCE,COL18A1_integrin_a1b1_complex,simple:P39060,complex:integrin_a1b1_complex,ENSG00000182871,,TRUE,FALSE,FALSE,curated,TRUE,0.062,,,0.315,,,,,,,,,,,,,
CPI-SC0F9FB6DCB,COL6A2_integrin_a1b1_complex,simple:P12110,complex:integrin_a1b1_complex,ENSG00000142173,,TRUE,FALSE,FALSE,curated,TRUE,0.062,,,0.734,,,,,,,,,,,,,
CPI-SC0E83A4B71,COL12A1_integrin_a1b1_complex,simple:Q99715,complex:integrin_a1b1_complex,ENSG00000111799,,TRUE,FALSE,FALSE,curated,TRUE,0.062,,,0.423,,,,,,,,,,,,,
CPI-CS03D61E885,Cholesterol_byDHCR24_RORC,complex:Cholesterol_byDHCR24,simple:P51449,,ENSG00000143365,TRUE,FALSE,TRUE,curated,FALSE,0.062,,,,,,,,,,,,1.014,,,,
CPI-SC024FAED24,LAMC1_integrin_a6b1_complex,simple:P11047,complex:integrin_a6b1_complex,ENSG00000135862,,TRUE,FALSE,FALSE,curated,TRUE,0.062,,,,0.764,,,,,,,,,,,,
CPI-CS0BEF10547,Cholesterol_byDHCR7_RORC,complex:Cholesterol_byDHCR7,simple:P51449,,ENSG00000143365,TRUE,FALSE,TRUE,curated,FALSE,0.062,,,,,,,,,,,,0.551,,,,
CPI-SS0F9D53834,JAM3_JAM3,simple:Q9BX67,simple:Q9BX67,ENSG00000166086,ENSG00000166086,TRUE,FALSE,FALSE,curated,FALSE,0.062,,,,,,,,,,,,,,,,0.837
CPI-SS03C7D1520,EFNB1_EPHB1,simple:P98172,simple:P54762,ENSG00000090776,ENSG00000154928,FALSE,FALSE,TRUE,curated,FALSE,0.062,,,,,,,,,,,,,,,,0.223
