ONTOLOGY,ID,Description,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,GeneRatio
BP,GO:0045646,regulation of erythrocyte differentiation,47/18723,2.83722608015711e-7,0.0005273934200303,0.0004444628572253,HSPA1A/ZFP36/HSPA1B/INHBA/ZFP36L1/MAFB,6,6/108
BP,GO:0030218,erythrocyte differentiation,120/18723,4.64254771153494e-7,0.0005273934200303,0.0004444628572253,TGFBR3/HSPA1A/ZFP36/HSPA1B/INHBA/ZFP36L1/MAFB/ID2,8,8/108
BP,GO:0034101,erythrocyte homeostasis,129/18723,8.0689193724405e-7,0.0006110861604728,0.0005149952399462,TGFBR3/HSPA1A/ZFP36/HSPA1B/INHBA/ZFP36L1/MAFB/ID2,8,8/108
BP,GO:0045639,positive regulation of myeloid cell differentiation,103/18723,0.00000219556110794431,0.0012470787093123,0.0010509804356186,FOS/JUN/HSPA1A/HSPA1B/INHBA/ZFP36L1/ID2,7,7/108
BP,GO:0002262,myeloid cell homeostasis,157/18723,0.00000353958322543636,0.0013429191867164,0.0011317503709401,TGFBR3/HSPA1A/ZFP36/HSPA1B/INHBA/ZFP36L1/MAFB/ID2,8,8/108
BP,GO:0045637,regulation of myeloid cell differentiation,210/18723,0.00000354644151421594,0.0013429191867164,0.0011317503709401,FOS/JUN/HSPA1A/ZFP36/HSPA1B/INHBA/ZFP36L1/MAFB/ID2,9,9/108
BP,GO:0006401,RNA catabolic process,278/18723,0.00000477193379174717,0.0015488333678356,0.0013052853484493,HSPA1A/ZFP36/HSPA1B/ZFP36L2/ZFP36L1/HNRNPM/RBM8A/LRPPRC/TRIR/DICER1,10,10/108
BP,GO:0045444,fat cell differentiation,229/18723,0.00000716699683582288,0.0020354271013737,0.0017153641111002,ZFP36/ADIRF/ZFP36L2/KLF4/ZFP36L1/HES1/RGS2/MAFB/ID2,9,9/108
BP,GO:0030099,myeloid cell differentiation,381/18723,0.0000126672534414925,0.0030245471472622,0.0025489488792021,FOS/JUNB/JUN/TGFBR3/HSPA1A/ZFP36/HSPA1B/INHBA/ZFP36L1/MAFB/ID2,11,11/108
BP,GO:0030308,negative regulation of cell growth,188/18723,0.0000133122673735134,0.0030245471472622,0.0025489488792021,HSPA1A/HSPA1B/INHBA/BST2/SPAG9/RGS2/SMARCA2/RBBP7,8,8/108
BP,GO:1901216,positive regulation of neuron death,97/18723,0.0000206783938542006,0.0042710282578857,0.0035994256862,FOS/EGR1/JUN/NUPR1/CAPN2/FIS1,6,6/108
BP,GO:0034655,nucleobase-containing compound catabolic process,407/18723,0.0000233413166611033,0.0044192892878355,0.0037243732461883,HSPA1A/ZFP36/HSPA1B/ZFP36L2/ZFP36L1/HNRNPM/RBM8A/LRPPRC/DUT/TRIR/DICER1,11,11/108
BP,GO:0045577,regulation of B cell differentiation,30/18723,0.0000255599820360452,0.0044670983989149,0.0037646645606126,ZFP36L2/INHBA/ZFP36L1/ID2,4,4/108
BP,GO:0090084,negative regulation of inclusion body assembly,11/18723,0.0000297787470821435,0.0048326652407592,0.0040727474392796,HSPA1A/HSPA1B/DNAJB1,3,3/108
BP,GO:0097201,negative regulation of transcription from RNA polymerase II promoter in response to stress,12/18723,0.0000395382886791721,0.0059887327919386,0.0050470278671869,JUN/HSPA1A/DNAJB1,3,3/108
BP,GO:0061077,chaperone-mediated protein folding,67/18723,0.0000422806203204225,0.0060038480854999,0.005059766339661,HSPA1A/HSPA1B/HSPB6/PPIB/DNAJB1,5,5/108
BP,GO:1903706,regulation of hemopoiesis,367/18723,0.0000521975982479475,0.0066351236998409,0.0055917763204274,FOS/JUN/HSPA1A/ZFP36/HSPA1B/ZFP36L2/INHBA/ZFP36L1/MAFB/ID2,10,10/108
BP,GO:0046700,heterocycle catabolic process,445/18723,0.0000525670011431058,0.0066351236998409,0.0055917763204274,HSPA1A/ZFP36/HSPA1B/ZFP36L2/ZFP36L1/HNRNPM/RBM8A/LRPPRC/DUT/TRIR/DICER1,11,11/108
