gname,Gene name,Normalised expression value,Percentage
Ctrl,GAS1,1.026,0.231
Ctrl,CDON,0.673,0.154
Ctrl,BOC,0.934,0.308
Ctrl,HHIP,1.77,0.308
Ctrl,DHH,0.0,0.0
iNOA_B,GAS1,0.139,0.022
iNOA_B,CDON,0.205,0.026
iNOA_B,BOC,0.368,0.052
iNOA_B,HHIP,2.527,0.29
iNOA_B,DHH,0.025,0.004
iNOA_S,GAS1,0.098,0.03
iNOA_S,CDON,0.23,0.072
iNOA_S,BOC,0.354,0.109
iNOA_S,HHIP,1.988,0.364
iNOA_S,DHH,0.003,0.001
AZFc_Del,GAS1,0.21,0.043
AZFc_Del,CDON,0.361,0.062
AZFc_Del,BOC,0.492,0.093
AZFc_Del,HHIP,1.721,0.217
AZFc_Del,DHH,0.057,0.012
KS,GAS1,0.116,0.04
KS,CDON,0.135,0.044
KS,BOC,0.757,0.219
KS,HHIP,0.432,0.118
KS,DHH,0.002,0.001
