gname,Gene name,Scaled Normalised expression value,Percentage
Ctrl,GAS1,1.0,0.231
Ctrl,CDON,1.0,0.154
Ctrl,BOC,1.0,0.308
Ctrl,HHIP,0.639,0.308
Ctrl,DHH,0.0,0.0
iNOA_B,GAS1,0.044,0.022
iNOA_B,CDON,0.13,0.026
iNOA_B,BOC,0.024,0.052
iNOA_B,HHIP,1.0,0.29
iNOA_B,DHH,0.439,0.004
iNOA_S,GAS1,0.0,0.03
iNOA_S,CDON,0.177,0.072
iNOA_S,BOC,0.0,0.109
iNOA_S,HHIP,0.743,0.364
iNOA_S,DHH,0.053,0.001
AZFc_Del,GAS1,0.121,0.043
AZFc_Del,CDON,0.42,0.062
AZFc_Del,BOC,0.238,0.093
AZFc_Del,HHIP,0.615,0.217
AZFc_Del,DHH,1.0,0.012
KS,GAS1,0.019,0.04
KS,CDON,0.0,0.044
KS,BOC,0.695,0.219
KS,HHIP,0.0,0.118
KS,DHH,0.035,0.001
