gname,Gene name,Scaled Normalised expression value,Percentage
Ctrl,GAS1,0.203,0.032
Ctrl,CDON,0.185,0.005
Ctrl,BOC,1.0,0.005
Ctrl,HHIP,1.0,0.003
Ctrl,DHH,0.161,0.235
iNOA_B,GAS1,0.172,0.03
iNOA_B,CDON,0.556,0.008
iNOA_B,BOC,0.0,0.0
iNOA_B,HHIP,0.917,0.008
iNOA_B,DHH,0.089,0.169
iNOA_S,GAS1,0.562,0.072
iNOA_S,CDON,0.519,0.014
iNOA_S,BOC,0.429,0.002
iNOA_S,HHIP,0.833,0.01
iNOA_S,DHH,0.0,0.19
OA,GAS1,0.172,0.064
OA,CDON,1.0,0.03
OA,BOC,0.0,0.0
OA,HHIP,0.0,0.007
OA,DHH,0.657,0.563
AZFc_Del,GAS1,1.0,0.079
AZFc_Del,CDON,0.704,0.017
AZFc_Del,BOC,0.714,0.004
AZFc_Del,HHIP,0.417,0.007
AZFc_Del,DHH,0.437,0.355
KS,GAS1,0.0,0.062
KS,CDON,0.0,0.007
KS,BOC,0.0,0.0
KS,HHIP,0.667,0.01
KS,DHH,1.0,0.676
