ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
AZFc,GO:1902652,secondary alcohol metabolic process,18/406,147/18723,3.25E-09,1.28E-05,1.13E-05,IDH3G/SOD1/CYP51A1/IDH3B/EBP/ABCA5/MSMO1/LIMA1/SCARB1/DHCR7/APOE/TM7SF2/MT3/DHCR24/FDX1/CYB5R3/CYP11A1/STAR,18
AZFc,GO:0008203,cholesterol metabolic process,16/406,137/18723,4.82E-08,9.52E-05,8.37E-05,SOD1/CYP51A1/EBP/ABCA5/MSMO1/LIMA1/SCARB1/DHCR7/APOE/TM7SF2/MT3/DHCR24/FDX1/CYB5R3/CYP11A1/STAR,16
AZFc,GO:0005759,mitochondrial matrix,31/423,480/19550,6.79E-08,3.30E-05,2.68E-05,HAGH/ATP5PB/IDH3G/TUFM/SOD1/MRRF/PRDX3/MMAB/IDH3B/NDUFS2/ACADM/TSFM/PPA2/SLC25A5/PCCB/HSPE1/TXN2/NDUFS8/TRUB2/HADHB/ACAT1/HADHA/C1QBP/SOD2/ALKBH7/GPX1/PDK4/ALAS1/HSPD1/FDX1/CYP11A1,31
AZFc,GO:0005925,focal adhesion,28/423,418/19550,1.41E-07,3.30E-05,2.68E-05,SH3KBP1/HSP90B1/ARPC2/EZR/CD151/ARF1/CD59/HMGA1/DAB2/CNN1/FHL1/PABPC1/TSPAN4/PFN1/JAK1/RHOA/CD9/CORO1C/LIMA1/FHL2/HACD3/FBLIM1/HSPA5/CNN3/ACTB/HSPA8/ACTG1/HSPB1,28
AZFc,GO:0030055,cell-substrate junction,28/423,425/19550,1.98E-07,3.30E-05,2.68E-05,SH3KBP1/HSP90B1/ARPC2/EZR/CD151/ARF1/CD59/HMGA1/DAB2/CNN1/FHL1/PABPC1/TSPAN4/PFN1/JAK1/RHOA/CD9/CORO1C/LIMA1/FHL2/HACD3/FBLIM1/HSPA5/CNN3/ACTB/HSPA8/ACTG1/HSPB1,28
AZFc,GO:0016125,sterol metabolic process,16/406,152/18723,2.07E-07,0.000190993,0.000167851,SOD1/CYP51A1/EBP/ABCA5/MSMO1/LIMA1/SCARB1/DHCR7/APOE/TM7SF2/MT3/DHCR24/FDX1/CYB5R3/CYP11A1/STAR,16
AZFc,GO:0006694,steroid biosynthetic process,17/406,173/18723,2.35E-07,0.000190993,0.000167851,SOD1/CYP51A1/ASAH1/EBP/HSD17B11/DKKL1/MSMO1/SCARB1/DHCR7/APOE/TM7SF2/DHCR24/FDX1/CYB5R3/CYP11A1/STAR/CYP17A1,17
AZFc,GO:0006066,alcohol metabolic process,25/406,353/18723,2.41E-07,0.000190993,0.000167851,IDH3G/SPTLC1/TKTL1/SOD1/CYP51A1/ASAH1/IDH3B/EBP/ALDH3A2/ABCA5/LHCGR/MSMO1/LIMA1/CD244/SCARB1/TPI1/DHCR7/APOE/TM7SF2/MT3/DHCR24/FDX1/CYB5R3/CYP11A1/STAR,25
AZFc,GO:0044183,protein folding chaperone,9/425,40/18368,2.53E-07,0.000163872,0.000148007,HSP90AB1/DNAJB6/CCT7/CCT3/DNAJB1/HSPA5/CCT2/HSPA8/HSPB1,9
AZFc,GO:0009636,response to toxic substance,20/406,262/18723,1.24E-06,0.00081459,0.00071589,GLRX/KDM5B/SOD1/PRDX3/GSTM3/SCFD1/GPX4/GSTP1/SOD2/MT1X/ASS1/GPX1/APOE/MT3/MT2A/CLDN1/EPHX1/GSTA1/GPX3/STAR,20
