ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
KS,GO:0005788,endoplasmic reticulum lumen,68/1324,313/19550,4.50E-18,2.91E-15,2.40E-15,IGFBP7/PPIB/PENK/COL6A2/IGFBP5/APOE/SELENOM/IGFBP4/F10/COL6A1/LAMB2/CST3/COL18A1/MXRA8/FSTL3/QSOX1/APP/RCN3/MFGE8/CRTAP/ERAP2/LGALS1/FKBP7/P4HB/GAS6/RCN1/PRKCSH/APLP2/VWA1/SUMF2/SERPINH1/SERPING1/SHISA5/NUCB1/OS9/RNASET2/H6PD/COL16A1/MAPK3/COL15A1/COL5A1/JMJD8/CKAP4/TIMP1/LRPAP1/CERCAM/PNPLA2/BACE1/COL27A1/WFS1/GANAB/HRC/PDIA6/CD4/SDC2/CALR/RCN2/FUCA2/COL1A1/CES2/COL6A3/CNPY3/TXNDC16/ESD/CTSZ/ERAP1/FKBP10/PTPRN2,68
KS,GO:0062023,collagen-containing extracellular matrix,73/1324,425/19550,1.33E-13,4.30E-11,3.55E-11,LTBP4/IGFBP7/MDK/COL6A2/PODN/TIMP2/APOE/MFAP4/TIMP3/DPT/COL6A1/LTBP3/LAMB2/LAMC3/PCOLCE/ADAMTS1/CTSF/FGF10/COL18A1/MMP2/SOD3/ANGPTL1/OGN/SERPINE2/RARRES2/LGALS3BP/MFGE8/EMILIN1/HTRA1/LGALS1/FBLN5/SMOC1/HNRNPM/EFEMP2/VWA1/SERPINH1/SERPING1/LGALS3/TGFB1I1/ANG/DCN/NID2/MYOC/ANXA2/MXRA7/COL16A1/HSPG2/TMEFF2/TGFB3/COL15A1/SERPINB6/COL5A1/TIMP1/COL27A1/AEBP1/CTSL/OMD/ANXA5/KAZALD1/CD151/SDC2/FBLN1/ENTPD2/CALR/CCDC80/COL1A1/COL6A3/ANGPTL2/CTSB/CTSZ/ANXA11/ITIH5/ANXA4,73
KS,GO:0016032,viral process,69/1278,415/18723,4.24E-12,1.17E-08,9.20E-09,JUN/PPIB/HSPA1A/ZFP36/PCBP1/GSN/HSPA1B/APOE/HEXIM1/BST2/CD81/CCL2/CD74/RAB1B/NFIA/IFITM1/PHB/LGALS1/P4HB/EIF3F/GAS6/IFITM2/SIVA1/PPIA/TRIM28/EIF3G/RRAGA/LY6E/CCL4/TRIM8/RAD23A/STOM/CTBP2/MAVS/VPS28/ZNF639/CHMP4B/NUCKS1/CHMP1B/DEK/CTSL/PHB2/USF2/MX1/CD4/ITGAV/SMARCB1/CCL3/EEA1/EIF3B/ZBED1/TPCN1/EGFR/HLA-DRB1/PCBP2/TNFRSF14/VPS4A/PTBP1/N4BP1/LAMP1/CTSB/SLC3A2/NRP1/PML/TBC1D20/APOBEC3G/EIF3D/TRIM22/IFITM3,69
KS,GO:0051098,regulation of binding,63/1278,363/18723,5.54E-12,1.17E-08,9.20E-09,JUN/IGF1/KLF4/APOE/LRP1/STUB1/RAMP2/HES1/NES/TGFBR3/FOXC1/ID1/NFKBIA/APP/RACK1/CAMK1/HSF1/TRIM28/DDIT3/ANXA2/EIF4A3/MAPK3/WFIKKN2/SPPL3/CTBP2/LRPAP1/MDFI/NUCKS1/PKD1/HMOX1/GTF2F1/PLCL2/RARA/RGMA/P2RY1/ZBTB7A/HMGB2/EIF3E/ACD/PLK2/EDF1/PLN/DNAJB2/MEPCE/DZIP1/CSNK1E/ADAM15/CLN5/HMBOX1/IFIT2/HDAC5/CTSZ/PLXND1/AMFR/NRP1/SMAD3/DDRGK1/ABL1/ADNP/HAND2/EIF3D/MITD1/TCF7L2,63
KS,GO:0007178,transmembrane receptor protein serine/threonine kinase signaling pathway,62/1278,355/18723,6.19E-12,1.17E-08,9.20E-09,JUN/LTBP4/FOS/EGR1/HSPA1A/INHBA/NBL1/VIM/LTBP3/LRP1/STUB1/ILK/HES1/FGF10/TGFBR3/NUMA1/FSTL3/RBPMS/ID1/ENG/FKBP8/EMILIN1/HTRA1/SFRP4/CDKN1C/TGFB1I1/NOTCH2/HTRA3/TGFB3/MAPK3/SPTBN1/WFIKKN2/SPRY1/ZNF423/ZNF703/ZMIZ1/CITED2/FAM89B/FBXL15/SMAD5/CREBBP/XIAP/RGMA/BMPR2/ZBTB7A/BCL9L/PPM1L/GATA4/C20orf27/NEO1/TGFBR2/PDCD4/WWTR1/GLG1/BMPR1A/PXN/PML/SMAD3/DKK3/ABL1/VASN/SH2B1,62
KS,GO:0019058,viral life cycle,56/1278,317/18723,4.16E-11,4.82E-08,3.80E-08,PPIB/HSPA1A/PCBP1/GSN/HSPA1B/APOE/BST2/CD81/CCL2/CD74/RAB1B/NFIA/IFITM1/PHB/LGALS1/P4HB/GAS6/IFITM2/SIVA1/PPIA/TRIM28/LY6E/TRIM8/RAD23A/STOM/CTBP2/MAVS/VPS28/ZNF639/CHMP4B/NUCKS1/CHMP1B/DEK/CTSL/MX1/CD4/ITGAV/SMARCB1/EEA1/ZBED1/TPCN1/EGFR/HLA-DRB1/PCBP2/TNFRSF14/VPS4A/N4BP1/LAMP1/CTSB/SLC3A2/NRP1/PML/TBC1D20/APOBEC3G/TRIM22/IFITM3,56
KS,GO:0048732,gland development,69/1278,436/18723,4.26E-11,4.82E-08,3.80E-08,ID2/MDK/IGFBP5/PRDX2/MAFB/TCF21/HNRNPD/HES1/FGF10/TGFBR3/PDGFRA/FSTL3/FOXC1/SERPINE2/CDKN1B/CEBPB/AR/DBP/PRKCSH/PTEN/NOTCH2/NCOR2/LY6E/SRSF5/TGFB3/MAPK3/TBX2/SP3/HOXD9/LMO4/STAT6/THRA/ZNF703/PKD1/PRMT5/CITED2/STAT5A/HMOX1/ASH1L/ALDH1A3/PHB2/USF2/RARA/XBP1/RGN/CUL3/HGF/MPST/ACO2/CAPN1/LBH/FGF2/AKT2/EGFR/FPGS/TGFBR2/SRSF1/SLC29A1/BMPR1A/PLXND1/NRP1/SOCS2/PML/SMAD3/STAT5B/DKK3/ABL1/HAND2/UBE3A,69
KS,GO:0140297,DNA-binding transcription factor binding,66/1312,394/18368,6.31E-11,5.94E-08,5.12E-08,JUN/FOS/ID2/KLF4/MYC/TCF21/HES1/JUND/NFKBIA/NR4A1/CEBPB/RBFOX2/AR/ATF4/PURA/HSF1/PRRX1/DDIT3/TGFB1I1/NOTCH2/MTDH/NCOR2/FUS/BUD31/CHCHD2/TCF23/BHLHE41/SP3/CTBP2/MEF2D/TRIP6/NR1H2/YAP1/SPEN/MED30/ZFPM2/WFS1/KAT5/CITED2/CREBBP/TAF6/PHB2/USF2/ZBTB7A/SMARCB1/BHLHE40/CALR/NFE2L2/HSPB1/JMJD1C/HDAC7/GATA4/ZNHIT3/CHD4/HDAC5/YWHAH/AIP/CRTC3/TOB2/SMAD3/STAT5B/HDAC3/DDRGK1/HAND2/ANXA4/TCF7L2,66
KS,GO:0005925,focal adhesion,66/1324,418/19550,9.25E-11,1.99E-08,1.65E-08,PPIB/HSPA1A/GSN/HSPA1B/VIM/CD81/LAYN/LRP1/PDGFRB/ILK/RHOB/CD99/CSRP1/ENG/GNB2/SVIL/P4HB/ZFYVE21/SORBS3/RRAS/PPIA/EFS/TNS2/DDR2/AHNAK/TGFB1I1/SNTB2/SLC9A3R2/DIXDC1/MAP2K2/TRIOBP/MRC2/HSPG2/MARCKS/MAPK3/TRIP6/CD99L2/FLRT2/FLII/THY1/CAP1/ANXA5/FZD1/CD151/FLNA/ITGAV/PLEC/FZD2/CALR/PPP1CC/HSPB1/LIMS1/CAPN1/LASP1/NCKAP1/CDC42EP1/EGFR/PCBP2/FHL3/PRKAR2A/PDLIM7/TNS1/PXN/NRP1/MPRIP/PHLDB2,66
KS,GO:0016055,Wnt signaling pathway,69/1278,444/18723,9.76E-11,9.20E-08,7.25E-08,EGR1/IGFBP6/MDK/KLF4/NDRG2/CPE/PLPP3/APOE/RSPO3/IGFBP4/TSKU/ADGRA2/LRP1/ILK/FGF10/APP/RACK1/SFRP4/EMD/PTEN/PFDN5/DDIT3/HIC1/TGFB1I1/DIXDC1/SNAI2/GPRC5B/MYOC/FZD3/RBMS3/MDFI/YAP1/ZNF703/PKD1/APCDD1/DAAM2/CTDNEP1/PLEKHA4/XIAP/FZD1/CUL3/ZBED3/BCL9L/LZTS2/TBL1XR1/FZD2/SIAH2/VGLL4/FGF2/CSNK1E/COL1A1/RNF146/EGFR/FOXO3/MITF/GSK3A/WWTR1/RNF220/DVL3/AMFR/SMAD3/MACF1/TMEM9/DKK3/ABL1/AMOTL1/PYGO1/ZRANB1/TCF7L2,69
KS,GO:0198738,cell-cell signaling by wnt,69/1278,446/18723,1.20E-10,9.66E-08,7.61E-08,EGR1/IGFBP6/MDK/KLF4/NDRG2/CPE/PLPP3/APOE/RSPO3/IGFBP4/TSKU/ADGRA2/LRP1/ILK/FGF10/APP/RACK1/SFRP4/EMD/PTEN/PFDN5/DDIT3/HIC1/TGFB1I1/DIXDC1/SNAI2/GPRC5B/MYOC/FZD3/RBMS3/MDFI/YAP1/ZNF703/PKD1/APCDD1/DAAM2/CTDNEP1/PLEKHA4/XIAP/FZD1/CUL3/ZBED3/BCL9L/LZTS2/TBL1XR1/FZD2/SIAH2/VGLL4/FGF2/CSNK1E/COL1A1/RNF146/EGFR/FOXO3/MITF/GSK3A/WWTR1/RNF220/DVL3/AMFR/SMAD3/MACF1/TMEM9/DKK3/ABL1/AMOTL1/PYGO1/ZRANB1/TCF7L2,69
KS,GO:0030055,cell-substrate junction,66/1324,425/19550,1.91E-10,3.09E-08,2.55E-08,PPIB/HSPA1A/GSN/HSPA1B/VIM/CD81/LAYN/LRP1/PDGFRB/ILK/RHOB/CD99/CSRP1/ENG/GNB2/SVIL/P4HB/ZFYVE21/SORBS3/RRAS/PPIA/EFS/TNS2/DDR2/AHNAK/TGFB1I1/SNTB2/SLC9A3R2/DIXDC1/MAP2K2/TRIOBP/MRC2/HSPG2/MARCKS/MAPK3/TRIP6/CD99L2/FLRT2/FLII/THY1/CAP1/ANXA5/FZD1/CD151/FLNA/ITGAV/PLEC/FZD2/CALR/PPP1CC/HSPB1/LIMS1/CAPN1/LASP1/NCKAP1/CDC42EP1/EGFR/PCBP2/FHL3/PRKAR2A/PDLIM7/TNS1/PXN/NRP1/MPRIP/PHLDB2,66
KS,GO:0003712,transcription coregulator activity,74/1312,489/18368,5.59E-10,1.94E-07,1.67E-07,HSPA1A/DNAJB1/ARL2BP/BTG1/JAZF1/RBPMS/RALY/RBFOX2/PHB/SRSF2/HNRNPU/SMARCA2/TRIM28/PFDN5/TGFB1I1/MTDH/NCOR2/BTG2/FUS/BUD31/PQBP1/TRIM8/USP22/CTBP2/SAP30/IRF2BP2/SAP30L/YAP1/PSIP1/NUCKS1/KAT8/SPEN/MED30/PRMT5/ZFPM2/KAT5/ZMIZ1/CITED2/PA2G4/CREBBP/ATN1/TAF6/SMARCB1/BCL9L/TBL1XR1/LDB2/ARID1B/SMARCD2/HMGB2/SIAH2/SERTAD2/EID1/EDF1/DRAP1/ZBED1/JMJD1C/HDAC7/FGF2/IRF2BPL/PMF1/RCOR1/FHL3/RYBP/FHL5/AIP/WWTR1/PXN/TOB2/HDAC3/ABL1/KAT6B/KAT2A/TRIM22/UBE3A,74
KS,GO:0061629,RNA polymerase II-specific DNA-binding transcription factor binding,53/1312,299/18368,6.19E-10,1.94E-07,1.67E-07,JUN/FOS/ID2/KLF4/TCF21/HES1/JUND/NFKBIA/NR4A1/CEBPB/AR/ATF4/HSF1/PRRX1/TGFB1I1/NOTCH2/MTDH/NCOR2/FUS/BUD31/TCF23/BHLHE41/SP3/CTBP2/TRIP6/NR1H2/SPEN/MED30/ZFPM2/CITED2/CREBBP/TAF6/PHB2/ZBTB7A/SMARCB1/BHLHE40/CALR/NFE2L2/HSPB1/JMJD1C/GATA4/ZNHIT3/CHD4/HDAC5/YWHAH/AIP/TOB2/SMAD3/STAT5B/HDAC3/DDRGK1/ANXA4/TCF7L2,53
KS,GO:0006979,response to oxidative stress,67/1278,446/18723,7.96E-10,5.63E-07,4.43E-07,JUN/SELENOP/FOS/HSPA1A/PENK/HSPA1B/KLF4/APOE/PRDX1/KLF2/BTG1/PRDX2/PDGFRB/RHOB/CYP1B1/PRNP/PDGFRA/MMP2/SOD3/BAD/RBPMS/EEF2/APP/CYGB/RACK1/ATF4/FBLN5/HSF1/P4HB/HNRNPM/PPIA/PINK1/PCGF2/NFE2L1/ZNF580/CHCHD2/SIGMAR1/MAPK3/STAT6/NET1/DUSP1/ENDOG/PSIP1/NOL3/AKR1C3/SELENOK/HMOX1/TRAP1/HGF/MSRB2/PDK2/NFE2L2/HSPB1/GATA4/COL1A1/EGFR/FOXO3/SESN3/ERCC1/BECN1/PXN/KEAP1/SFPQ/PML/TPM1/ABL1/UBE3A,67
,,,,,,,,,
