source_table,pathway,cell_type,group,score
no_OA,Glycolysis,Late_primary_SPCs,Ctrl,-0.299666714
with_OA,Glycolysis,Late_primary_SPCs,Ctrl,-0.299666714387587
with_OA,Glycolysis,Late_primary_SPCs,OA,0.764182995329974
no_OA,Glycolysis,Late_primary_SPCs,AZFc_Del,0.343842214
with_OA,Glycolysis,Late_primary_SPCs,AZFc_Del,0.34384221353756
no_OA,Glycolysis,Late_primary_SPCs,iNOA_B,-1.515290279
with_OA,Glycolysis,Late_primary_SPCs,iNOA_B,-1.51529027925237
no_OA,Glycolysis,Late_primary_SPCs,KS,0.380477385
with_OA,Glycolysis,Late_primary_SPCs,KS,0.38047738495085
no_OA,Oxidative_phosphorylation,Late_primary_SPCs,Ctrl,0.477907569
with_OA,Oxidative_phosphorylation,Late_primary_SPCs,Ctrl,0.477907569355922
with_OA,Oxidative_phosphorylation,Late_primary_SPCs,OA,1.72250431725119
no_OA,Oxidative_phosphorylation,Late_primary_SPCs,AZFc_Del,1.482311102
with_OA,Oxidative_phosphorylation,Late_primary_SPCs,AZFc_Del,1.48231110206322
no_OA,Oxidative_phosphorylation,Late_primary_SPCs,iNOA_B,-0.060225979
with_OA,Oxidative_phosphorylation,Late_primary_SPCs,iNOA_B,-0.0602259785307078
no_OA,Oxidative_phosphorylation,Late_primary_SPCs,KS,1.934799224
with_OA,Oxidative_phosphorylation,Late_primary_SPCs,KS,1.93479922403216
