source_table,pathway,cell_type,group,score
no_OA,Glycolysis,Early_primary_SPCs,Ctrl,-1.187081625
with_OA,Glycolysis,Early_primary_SPCs,Ctrl,-1.18708162495655
with_OA,Glycolysis,Early_primary_SPCs,OA,-0.793594686370545
no_OA,Glycolysis,Early_primary_SPCs,AZFc_Del,-0.848605353
with_OA,Glycolysis,Early_primary_SPCs,AZFc_Del,-0.848605352895402
no_OA,Glycolysis,Early_primary_SPCs,iNOA_B,-1.872797645
with_OA,Glycolysis,Early_primary_SPCs,iNOA_B,-1.8727976451272
no_OA,Glycolysis,Early_primary_SPCs,KS,-0.492330664
with_OA,Glycolysis,Early_primary_SPCs,KS,-0.492330664015406
no_OA,Glycolysis,Elongated_Spermatids,Ctrl,0.350454744
with_OA,Glycolysis,Elongated_Spermatids,Ctrl,0.350454743920627
with_OA,Glycolysis,Elongated_Spermatids,OA,1.4064556853919
no_OA,Glycolysis,Elongated_Spermatids,AZFc_Del,0.568848832
with_OA,Glycolysis,Elongated_Spermatids,AZFc_Del,0.568848832323859
no_OA,Glycolysis,Elongated_Spermatids,iNOA_B,-1.121768324
with_OA,Glycolysis,Elongated_Spermatids,iNOA_B,-1.12176832438108
no_OA,Glycolysis,Elongated_Spermatids,KS,2.193829066
with_OA,Glycolysis,Elongated_Spermatids,KS,2.19382906634405
no_OA,Glycolysis,Late_primary_SPCs,Ctrl,-0.299666714
with_OA,Glycolysis,Late_primary_SPCs,Ctrl,-0.299666714387587
with_OA,Glycolysis,Late_primary_SPCs,OA,0.764182995329974
no_OA,Glycolysis,Late_primary_SPCs,AZFc_Del,0.343842214
with_OA,Glycolysis,Late_primary_SPCs,AZFc_Del,0.34384221353756
no_OA,Glycolysis,Late_primary_SPCs,iNOA_B,-1.515290279
with_OA,Glycolysis,Late_primary_SPCs,iNOA_B,-1.51529027925237
no_OA,Glycolysis,Late_primary_SPCs,KS,0.380477385
with_OA,Glycolysis,Late_primary_SPCs,KS,0.38047738495085
no_OA,Glycolysis,Round_Spermatids,Ctrl,-0.008522978
with_OA,Glycolysis,Round_Spermatids,Ctrl,-0.0085229779588739
with_OA,Glycolysis,Round_Spermatids,OA,0.893598562234602
no_OA,Glycolysis,Round_Spermatids,AZFc_Del,0.527750758
with_OA,Glycolysis,Round_Spermatids,AZFc_Del,0.527750758075305
no_OA,Glycolysis,Round_Spermatids,KS,1.771819577
with_OA,Glycolysis,Round_Spermatids,KS,1.77181957704012
no_OA,Glycolysis,SPGs,Ctrl,-0.871532067
with_OA,Glycolysis,SPGs,Ctrl,-0.871532067391174
with_OA,Glycolysis,SPGs,OA,-0.0731660338002646
no_OA,Glycolysis,SPGs,AZFc_Del,-0.005267822
with_OA,Glycolysis,SPGs,AZFc_Del,-0.0052678221074069
no_OA,Glycolysis,SPGs,iNOA_B,-1.664407811
with_OA,Glycolysis,SPGs,iNOA_B,-1.66440781139772
no_OA,Glycolysis,SPGs,KS,0.284150363
with_OA,Glycolysis,SPGs,KS,0.284150363218291
no_OA,Glycolysis,SSCs,Ctrl,-0.340090229
with_OA,Glycolysis,SSCs,Ctrl,-0.340090229054498
with_OA,Glycolysis,SSCs,OA,-0.0453911191044601
no_OA,Glycolysis,SSCs,AZFc_Del,0.266431435
with_OA,Glycolysis,SSCs,AZFc_Del,0.266431434600101
no_OA,Glycolysis,SSCs,iNOA_B,-1.422480411
with_OA,Glycolysis,SSCs,iNOA_B,-1.42248041093362
no_OA,Glycolysis,SSCs,KS,0.565617416
