pathway,subcategory,gene,diagram_order,ctrl,disease,log2fc
Glycolysis,Glucose transport,SLC2A1,1,0.022496277,0.006328131,-1.82983477067514
Glycolysis,Glucose transport,SLC2A4,2,0.009219756,0.007513366,-0.295269194839274
Glycolysis,Upper glycolysis,HK1,3,0.092847213,0.085762984,-0.11450348943052
Glycolysis,Upper glycolysis,HK2,4,0.056007938,0.051524254,-0.120379620714005
Glycolysis,Upper glycolysis,HK3,5,0.0001,0.005241159,5.71181411969089
Glycolysis,Upper glycolysis,GPI,6,0.103089052,0.107689217,0.0629826819106394
Glycolysis,Rate-limiting,PFKM,7,0.775241938,0.882924151,0.187642888107712
Glycolysis,Rate-limiting,PFKP,8,1.229688694,1.521919785,0.30759919039143
Glycolysis,Middle glycolysis,ALDOA,9,0.002013392,0.008223876,2.03019018551346
Glycolysis,Middle glycolysis,ALDOC,10,0.001700542,0.009424,2.4703447807148
Glycolysis,Middle glycolysis,TPI1,11,0.135667021,0.151379007,0.158095084462368
Glycolysis,Lower glycolysis,PGK1,12,0.08628933,0.080289799,-0.103965476870307
Glycolysis,Lower glycolysis,PGAM1,13,0.065469723,0.087884584,0.424782254977903
Glycolysis,Lower glycolysis,ENO1,14,1.485266736,1.44670724,-0.0379490418222715
Glycolysis,Lower glycolysis,ENO2,15,0.169031642,0.179786586,0.0889920456463258
Glycolysis,Pyruvate kinase,PKLR,16,0.003849464,0.00114143,-1.75381459610601
Glycolysis,Pyruvate kinase,PKM,17,0.255568957,0.243460065,-0.0700274641030205
Glycolysis,Lactate dehydrogenase,LDHA,18,1.05413719,1.233636849,0.226855126289454
Glycolysis,Lactate dehydrogenase,LDHB,19,0.16436266,0.240977015,0.552012962406831
TCA cycle,PDH complex,DLAT,20,0.455000445,0.445319478,-0.0310272397437068
TCA cycle,PDH complex,DLD,21,0.581487596,0.602340128,0.0508299564919382
TCA cycle,PDH complex,PDHB,22,1.512883316,1.371857403,-0.141170191975243
TCA cycle,Entry/Anaplerosis,CS,23,0.363386631,0.27506162,-0.401750489329561
TCA cycle,Entry/Anaplerosis,PC,24,0.173687503,0.090524269,-0.940117436578511
TCA cycle,Isocitrate dehydrogenase,IDH1,25,0.040759496,0.028048068,-0.539234790134072
TCA cycle,Isocitrate dehydrogenase,IDH2,26,0.008558887,0.005705695,-0.585020474881593
TCA cycle,Isocitrate dehydrogenase,IDH3A,27,0.823418488,0.641925809,-0.359219275504178
TCA cycle,α-KGDH complex,DLST,28,0.167859483,0.247311536,0.559075492636403
TCA cycle,α-KGDH complex,OGDH,29,0.240499497,0.221019897,-0.121857623520672
TCA cycle,Succinyl-CoA synthetase,SUCLG1,30,2.672279509,2.758070328,0.0455883288793206
TCA cycle,Succinate dehydrogenase,SDHB,31,1.416013793,1.607532797,0.183012853144313
TCA cycle,Fumarase,FH,32,0.767878917,0.555096258,-0.468140868367098
Oxidative phosphorylation,CoQ,COQ2,33,0.02007984,0.016218887,-0.308072901986463
Oxidative phosphorylation,CoQ,COQ4,34,0.437091634,0.457996869,0.0674019702473504
Oxidative phosphorylation,CoQ,COQ6,35,0.453740287,0.384885295,-0.237438207995127
Oxidative phosphorylation,Complex I,MT-ND1,36,5.588888898,5.853966294,0.0668529430795415
Oxidative phosphorylation,Complex I,MT-ND3,37,4.970939565,5.35575625,0.107571738788227
Oxidative phosphorylation,Complex I,NDUFV1,38,0.613664368,0.609190945,-0.0105553186004674
Oxidative phosphorylation,Complex I,NDUFA2,39,1.230042191,1.035008854,-0.249064691234781
Oxidative phosphorylation,Complex I,NDUFB1,40,1.080180629,1.467351416,0.441941841992154
Oxidative phosphorylation,Complex I,NDUFC1,41,2.892866699,3.452601528,0.255183992866093
Oxidative phosphorylation,Complex II,SDHAF1,42,0.093377713,0.083238454,-0.165828082528541
Oxidative phosphorylation,Complex II,SDHAF2,43,0.190616915,0.243813713,0.35510312687943
Oxidative phosphorylation,Complex II,SDHA,44,0.751723155,0.714810518,-0.0726405792281969
Oxidative phosphorylation,Complex II,SDHC,45,0.914542758,0.788939723,-0.213135543753586
Oxidative phosphorylation,Complex II,SDHD,46,0.986556383,0.991857559,0.0077314449761207
Oxidative phosphorylation,Complex IV,MT-CO1,47,8.433347869,7.860184416,-0.101542304233609
Oxidative phosphorylation,Complex IV,MT-CO2,48,6.616926724,6.480509025,-0.0300541660777349
Oxidative phosphorylation,Complex IV,MT-CO3,49,8.297567994,7.890021682,-0.0726592815908128
Oxidative phosphorylation,Complex IV,COX4I1,50,2.671725083,2.806430301,0.0709646654203886
Oxidative phosphorylation,Complex IV,COX6A1,51,2.340026438,2.183223968,-0.100064691812935
Oxidative phosphorylation,Complex IV,COX6B2,52,0.639696654,0.737885992,0.206009990682112
Oxidative phosphorylation,Complex V,ATP5F1B,53,2.208841011,2.347647843,0.0879264347996599
Oxidative phosphorylation,Complex V,ATP5F1D,54,0.351610653,0.255472952,-0.460808230230208
Oxidative phosphorylation,Complex V,ATP5MC1,55,1.764906486,1.625323131,-0.118865175062806
Oxidative phosphorylation,Complex V,ATP5ME,56,1.731106047,1.365387082,-0.342384098856182
Oxidative phosphorylation,Complex V,ATP5MF,57,2.659646797,2.032400181,-0.388050169509055
Oxidative phosphorylation,Complex V,ATP5PF,58,2.953565284,2.272900329,-0.37792308074563
