gene,ctrl,disease,log2fc
A1BG,0.0,0.0002003566445874,7.653609270477177
A1BG-AS1,0.0,0.0013712902760622,10.422369967004254
A1CF,0.0052233077313794,0.0004750574857795,-3.4560321793910784
A2M,0.1204694920424496,0.1216241990136356,0.013762348652858305
A2M-AS1,0.0053906282267522,0.0014854447542345,-1.8588551761510332
A2ML1,0.001247073676321,0.0047724130456815,1.9353180769446867
A2ML1-AS1,0.0,0.0056921936707108,12.475022462736755
A2ML1-AS2,0.0028690442080864,0.0005793370786156,-2.306109946382093
A2MP1,0.0099365613075032,0.0016635735177557,-2.5777392655583617
A4GALT,0.0007513010775259,0.0069115672195352,3.1998395426822532
A4GNT,0.0,0.0004146096036084,8.69908518116347
AAAS,0.4462845509369312,0.5075458215029656,0.18557381967530787
AACS,0.199783166140192,0.2649617717942136,0.40734742305004135
AACSP1,0.0586002006579906,0.0681168724066247,0.2171031508014021
AADAC,0.0069755010358815,0.0007879347790524,-3.1445257115839214
AADACL2,0.0215842030416792,0.0003153784949243,-6.092247314000658
AADACL2-AS1,0.0870658233718104,0.0830535300447259,-0.06806422837786179
AADACL3,0.0,0.0002413848135811,7.9211555005592755
AADACL4,0.0163471023305871,0.0219154152349347,0.42288866372831385
AADACP1,0.0015008260944077,0.0030372184038872,1.016507818363827
AADAT,0.0194466361666441,0.0226547991044491,0.22028556951908126
AAED1,0.3584998962166633,0.3670172405556741,0.033875040281526034
AAGAB,0.5692517301115003,0.631034134938853,0.14865102871338032
AAK1,0.3793102739601203,0.3259472089111237,-0.21873950468177966
AAMDC,0.2328196196516391,0.7056868932325171,1.5998114238252419
AAMP,0.6040754208159801,0.7409403405656276,0.2946282563063235
AANAT,0.0101996031226726,0.0441650404044229,2.1142830412082674
AAR2,0.4186810644520222,0.4185425221563044,-0.0004774681710804707
AARD,1.2656313141858728,1.6399845959344448,0.37382480329144513
AARS,0.186961636876895,0.1553148640767435,-0.26754479162181044
AARS2,0.0383640388437192,0.0301959988473864,-0.3453870423095196
AARSD1,0.3943732281253311,0.2505786503654176,-0.6542960186349642
AASDH,0.2711071791966857,0.2063458657976153,-0.3937971137946128
AASDHPPT,0.6500372694907104,0.8264038088596927,0.34632399333221714
AASS,0.0075697666883874,0.0498566316008,2.7193030379162253
AATBC,0.0069227734221042,0.0064936251346604,-0.09231225712033375
AATF,0.503261566626712,0.6321051886160851,0.3288556474552378
AATK,0.0017678846803207,0.0087059792613914,2.2993322902402062
AB015752.1,0.0157069221034953,0.0056263331092657,-1.480969077540796
ABALON,0.7706799302350482,0.4961998374886085,-0.635209523072511
ABAT,0.0204736580388273,0.0403899466201229,0.9801926014399058
ABBA01000935.2,0.0,0.0,0.0
ABCA1,0.0217009238321165,0.0188351721805424,-0.20431712495072707
ABCA10,0.2980994418963949,0.4738053985112592,0.6684991676182744
ABCA11P,0.0355919208945944,0.037178622147064,0.06292177744494712
ABCA12,0.0391365627083193,0.0089554229224188,-2.1275593559376813
