pathway,gene,ctrl,disease,log2fc
Glycolysis,HK1,0.09284721264233768,0.08576298442749798,-0.11450220593766391
Glycolysis,HK2,0.05600793849170834,0.05152425382022525,-0.1203773792064299
Glycolysis,HK3,0,0.00524115853916079,12.355945270568473
Glycolysis,GCK,0.00433003371383829,0.01283838613634619,1.5677929195860163
Glycolysis,GPI,0.10308905155238648,0.107689217303889,0.06298208410619872
Glycolysis,PFKM,0.7752419377932948,0.8829241506208888,0.18764266114352743
Glycolysis,PFKP,1.229688693907102,1.021919785239208,-0.2670109352581655
Glycolysis,PFKL,0.01723317328419263,0.02070148992415006,0.2645321986689364
Glycolysis,ALDOC,0.00170054219697805,0.00942400030594895,2.4696497357051417
Glycolysis,ALDOB,0,1.7229006846434e-4,7.4370451634429005
Glycolysis,ALDOA,0.00201339223529835,0.00822387559788994,2.029649230948559
Glycolysis,TPI1,0.13566702106927853,0.15137900683689198,0.1580939807328969
Glycolysis,PGK1,0.08628932978287379,0.08028979864047892,-0.10396422756333136
Glycolysis,PGAM1,0.06546972289204044,0.08788458435542688,0.4247766347800517
Glycolysis,ENO1,1.4852667359120075,1.4467072396958016,-0.037949015932966776
Glycolysis,ENO2,0.1690316419090205,0.17978658582434168,0.08899153507678752
Glycolysis,ENO3,0.05432602626196733,0.05693387285438264,0.06764250085832495
Glycolysis,PKLR,0.00384946372754053,0.00114143039065164,-1.7529259428944073
Glycolysis,PKM,0.2555689572176892,0.24346006505408296,-0.07002718333904584
Glycolysis,LDHB,0.16436265968187402,0.24097701474977215,0.5520101717676564
Glycolysis,LDHA,1.054137190357341,1.2336368489649654,0.22685492715183764
Glycolysis,PDHA1,0.05588385967382598,0.09334305473276312,0.7401006562167154
Glycolysis,PDHB,1.5128833156520836,1.371857402828569,-0.14117009394529376
Glycolysis,DLAT,0.4550004447140912,0.4453194779671074,-0.03102717081362488
Glycolysis,DLD,0.5814875961156358,0.6023401276891901,0.050829870600406286
Glycolysis,PFKFB3,0.00887378417163311,0.01445265128962915,0.7036500534734365
Glycolysis,PFKFB4,0.00683214513732906,0.0252652459484209,1.8865896496166512
Glycolysis,SLC2A1,0.02249627686511971,0.00632813149851956,-1.8296709364482244
Glycolysis,SLC2A3,0.15830430641577808,0.08226099801083103,-0.944411597518305
Glycolysis,SLC2A4,0.00921975623136071,0.0075133661535348,-0.29523366064987583
TCA cycle,PC,0.17368750342642364,0.09052426865318988,-0.9401098058032012
TCA cycle,CS,0.2633866307981051,0.27506162049688954,0.06257250323777405
TCA cycle,IDH3B,0.5025597938791417,0.6204976427385775,0.30412992756486856
TCA cycle,IDH3G,0.06202023904086917,0.05817700367424224,-0.09228855544006911
TCA cycle,IDH3A,0.2234184877826777,0.6419258085744837,1.522653782538957
TCA cycle,OGDH,0.24049949684308097,0.22101989702268116,-0.12185709482331916
TCA cycle,DLST,0.1678594833387074,0.2473115362289257,0.5590727315039977
TCA cycle,IDH1,0.04075949564524909,0.09804806820975127,1.2663323254129408
TCA cycle,IDH2,0.00855888715745897,0.00570569548579414,-0.5849361965028904
TCA cycle,SUCLG1,2.672279509273894,2.7580703277611485,0.045588312086335146
TCA cycle,SDHB,1.4160137929062753,1.6075327965667232,0.18301273176104985
TCA cycle,SUCLG2,0.04107765017412145,0.04707500046495572,0.1966029793699022
TCA cycle,SUCLA2,0.6409713659997143,0.6638252992120067,0.05054362686253981
TCA cycle,MPC1,1.0921457412727906,1.1703252761042484,0.09974408550969822
TCA cycle,MPC2,3.463544777920287,3.306119128077055,-0.06711059616260344
TCA cycle,FH,0.36787891675883216,0.5550962583821707,0.5935056485805593
Oxidative phosphorylation,ATP5F1A,1.4515442790478303,1.5448332634853632,0.0898624922127459
Oxidative phosphorylation,ATP5F1B,2.208841011113525,2.347647842894907,0.08792639618183873
Oxidative phosphorylation,ATP5F1C,1.467550328216903,1.3585561651575515,-0.11133569074056276
Oxidative phosphorylation,ATP5F1D,0.35161065333930613,0.5554729515817354,0.6597363734006026
Oxidative phosphorylation,ATP5F1E,3.088808461639395,3.4785867386597635,0.17145083086976518
Oxidative phosphorylation,ATP5MC1,1.7649064860376986,1.6253231305861062,-0.11886510486128986
Oxidative phosphorylation,ATP5MC2,1.351668303320888,1.1931559587751612,-0.17995838712585008
Oxidative phosphorylation,ATP5MC3,1.5116060166518146,1.725691567670759,0.19109235062169572
Oxidative phosphorylation,ATP5ME,0.7311060466266,1.3653870816575626,0.9011565018133829
Oxidative phosphorylation,ATP5MF,2.65964679685521,3.032400181272938,0.18922542224693054
Oxidative phosphorylation,ATP5MG,2.261965555238244,2.7649299797292404,0.2896658690515487
Oxidative phosphorylation,ATP5PB,2.5149246456926626,2.328461621051461,-0.11113802440295982
Oxidative phosphorylation,ATP5PD,1.5012792642137538,1.742995912286441,0.21537668431412108
Oxidative phosphorylation,ATP5PF,2.9535652844479854,3.2729003285424394,0.14811211911889421
Oxidative phosphorylation,ATP5PO,2.5810728169033528,2.626310835142374,0.02506682271089438
Oxidative phosphorylation,COQ2,0.0100798398936701,0.01621888749639732,0.6861479696396678
Oxidative phosphorylation,COQ3,0.0381314989863001,0.02615652990693302,-0.5437947686532819
Oxidative phosphorylation,COQ4,0.437091634044249,0.4579968689071414,0.06740181958885982
Oxidative phosphorylation,COQ5,0.2300451495650992,0.27047446117655927,0.23357440251638892
Oxidative phosphorylation,COQ6,0.15374028685855504,0.38488529489115514,1.3239276508900428
Oxidative phosphorylation,COQ7,1.1588792129816,1.1609834442507674,0.0026171913434637315
Oxidative phosphorylation,COQ8A,0.02269072068982732,0.01919372875490085,-0.24145583796292547
Oxidative phosphorylation,COQ8B,0.1059627960303088,0.173445253457653,0.7109172452635426
Oxidative phosphorylation,COQ9,0.3491013554636484,0.31498942449506456,-0.1483421187923454
Oxidative phosphorylation,COX4I1,2.671725083298913,2.806430300735088,0.07096463950171747
Oxidative phosphorylation,COX4I2,0.0026360479897725,0.00621470432209892,1.2369940510780075
Oxidative phosphorylation,COX5A,2.535828264695291,2.679513091500308,0.0795137898944779
Oxidative phosphorylation,COX5B,2.607343797505406,2.5741070013448843,-0.018508793013466928
Oxidative phosphorylation,COX6A1,2.3400264384530587,2.7832239681182656,0.2502320799327179
Oxidative phosphorylation,COX6A2,0,2.687217466995e-4,8.075328035377568
Oxidative phosphorylation,COX6B1,1.314769368217517,1.6590838098941996,0.33557678955851705
Oxidative phosphorylation,COX6B2,0.6396966538465954,0.7378859916696054,0.20600969057596463
Oxidative phosphorylation,COX6C,3.782007240386836,4.326708961914374,0.1941179072203372
Oxidative phosphorylation,COX7A1,0.01717342224954838,0.0540494904662868,1.6540461420020867
Oxidative phosphorylation,COX7A2,5.602414317983141,5.7752638654443755,0.04383817581140807
Oxidative phosphorylation,COX7A2L,2.046956354893682,1.69091635884024,-0.2756748945932039
Oxidative phosphorylation,COX7B,0.08124765922471194,0.20192042182494177,1.3133780633641257
