dataset,panel,metric,comparison,n_control,n_group,p_value,star
GSE149512,ST maturity,ST_maturity,AZFa vs Control,622,937,9.407970478421526e-102,****
GSE149512,ST maturity,ST_maturity,iNOA vs Control,622,4691,3.477146649050883e-38,****
GSE149512,ST maturity,ST_maturity,KS vs Control,622,523,1.5807643583153505e-96,****
GSE149512,LC immaturity,LCimmature_z,AZFa vs Control,708,3575,1.1502357100145793e-13,****
GSE149512,LC immaturity,LCimmature_z,iNOA vs Control,708,12150,4.583365560087981e-07,****
GSE149512,LC immaturity,LCimmature_z,KS vs Control,708,6225,2.579379698642245e-56,****
GSE149512,ST BTB integrity,BTB,AZFa vs Control,622,937,6.0780596701139545e-37,****
GSE149512,ST BTB integrity,BTB,iNOA vs Control,622,4691,0.4220181547960406,ns
GSE149512,ST BTB integrity,BTB,KS vs Control,622,523,6.866723067687373e-07,****
GSE149512,Somatic cytokine signaling,Cytokine_z,AZFa vs Control,1378,5425,7.8350230245413465e-53,****
GSE149512,Somatic cytokine signaling,Cytokine_z,iNOA vs Control,1378,21196,1.8505758918352396e-95,****
GSE149512,Somatic cytokine signaling,Cytokine_z,KS vs Control,1378,7707,1.4835829908079894e-34,****
GSE149512,Somatic SASP,SASP,AZFa vs Control,1377,5425,1.0043573618710756e-31,****
GSE149512,Somatic SASP,SASP,iNOA vs Control,1377,21191,4.18247559059872e-100,****
GSE149512,Somatic SASP,SASP,KS vs Control,1377,7702,3.1368670223649233e-43,****
GSE149512,Germ apoptosis,GermApoptosis_z,AZFa vs Control,26219,9,0.0656099185652203,ns
GSE149512,Germ apoptosis,GermApoptosis_z,iNOA vs Control,26219,22,0.0301465576946905,*
GSE149512,Germ apoptosis,GermApoptosis_z,KS vs Control,26219,560,1.0773454151283356e-19,****
GSE149512,ST lactate/glycolysis,ST_lactate,AZFa vs Control,622,937,1.842898266187293e-07,****
GSE149512,ST lactate/glycolysis,ST_lactate,iNOA vs Control,622,4691,0.0863351200295893,ns
GSE149512,ST lactate/glycolysis,ST_lactate,KS vs Control,622,523,0.3693984451484003,ns
GSE149512,SPC OXPHOS,OXPHOS,AZFa vs Control,26219,9,0.6387212309852277,ns
GSE149512,SPC OXPHOS,OXPHOS,iNOA vs Control,26219,22,0.0186717445160687,*
GSE149512,SPC OXPHOS,OXPHOS,KS vs Control,26219,560,7.105822735377639e-11,****
