sample_code,group,n_cells,mean,median,q1,q3,min,max
LZ002,Control,0,,,,,,
LZ003,Control,35,3.3210650514285716,3.566887,3.2058603999999997,3.9838438,0.9079183,4.692618
LZ004,Control,0,,,,,,
LZ007,Control,164,3.582417398658537,3.8894013,3.007178575,4.495835,0.5892561,5.2761936
LZ010,Control,0,,,,,,
LZ012,Control,0,,,,,,
LZ013,Control,343,3.8816851202332363,4.002888,3.4244286500000003,4.5610192000000005,0.54015565,5.694585
LZ014,Control,21,3.459673720952381,3.497768,3.0039897,4.000505,0.73029804,5.9510303
LZ015,Control,59,4.036723680508475,4.2333555,3.6351165500000002,4.5423028,0.73189455,5.18281
LZ017,Control,0,,,,,,
LZ018,Control,0,,,,,,
LZ019,Control,0,,,,,,
LZ002,AZFa,937,2.1077162564994665,1.571361,1.0084175,3.423647,0.0,5.238146
LZ003,AZFa,0,,,,,,
LZ004,AZFa,0,,,,,,
LZ007,AZFa,0,,,,,,
LZ010,AZFa,0,,,,,,
LZ012,AZFa,0,,,,,,
LZ013,AZFa,0,,,,,,
LZ014,AZFa,0,,,,,,
LZ015,AZFa,0,,,,,,
LZ017,AZFa,0,,,,,,
LZ018,AZFa,0,,,,,,
LZ019,AZFa,0,,,,,,
LZ002,iNOA,0,,,,,,
LZ003,iNOA,0,,,,,,
LZ004,iNOA,0,,,,,,
LZ007,iNOA,0,,,,,,
LZ010,iNOA,0,,,,,,
LZ012,iNOA,0,,,,,,
LZ013,iNOA,0,,,,,,
LZ014,iNOA,0,,,,,,
LZ015,iNOA,0,,,,,,
LZ017,iNOA,1869,2.8243372856179776,3.329914,1.0775026,4.3763814,0.0,5.920129
LZ018,iNOA,1359,2.6184027208756437,2.8336773,0.9792396999999999,4.236476,0.0,5.6063547
LZ019,iNOA,1463,2.9682288933834586,3.4284458,1.44155605,4.17229225,0.43741557,5.5767
LZ002,KS,0,,,,,,
LZ003,KS,0,,,,,,
LZ004,KS,99,2.805064227878788,3.0585063,1.3782502,4.01703275,0.43741557,4.676369
LZ007,KS,0,,,,,,
LZ010,KS,219,1.8429953562100456,1.1614982,0.785872985,3.06350395,0.46540785,5.319738
LZ012,KS,205,1.1303706325853657,0.9889095,0.5672831,1.2772888,0.0,4.004618
LZ013,KS,0,,,,,,
LZ014,KS,0,,,,,,
LZ015,KS,0,,,,,,
LZ017,KS,0,,,,,,
LZ018,KS,0,,,,,,
LZ019,KS,0,,,,,,
