sample_code,group,n_cells,mean,median,q1,q3,min,max
LZ002,Control,0,,,,,,
LZ003,Control,78,0.13515667497341743,0.3288707319048886,-0.6868912255084182,0.828955668432255,-1.4918635315880235,2.593731226853794
LZ004,Control,0,,,,,,
LZ007,Control,303,0.15657269750021782,0.1952805604364981,-0.6868912255084182,0.836751710611542,-1.4918635315880235,3.1447256619480144
LZ010,Control,0,,,,,,
LZ012,Control,0,,,,,,
LZ013,Control,235,-0.11365497930983227,-0.1790102468017648,-0.8354368891948942,0.5396603832385896,-1.4918635315880235,2.3131061513023625
LZ014,Control,59,-0.2831035626986073,-0.476101574174717,-0.9839825528813704,0.23019827254536346,-1.4918635315880235,2.7231463592806127
LZ015,Control,33,-0.44156720162012586,-0.476101574174717,-0.9839825528813704,0.0317794045319362,-1.4918635315880235,2.446696322770753
LZ017,Control,0,,,,,,
LZ018,Control,0,,,,,,
LZ019,Control,0,,,,,,
LZ002,AZFa,3575,0.42686788542956344,0.3288707319048882,-0.6868912255084182,1.3745436737543666,-1.4918635315880235,5.499052923686429
LZ003,AZFa,0,,,,,,
LZ004,AZFa,0,,,,,,
LZ007,AZFa,0,,,,,,
LZ010,AZFa,0,,,,,,
LZ012,AZFa,0,,,,,,
LZ013,AZFa,0,,,,,,
LZ014,AZFa,0,,,,,,
LZ015,AZFa,0,,,,,,
LZ017,AZFa,0,,,,,,
LZ018,AZFa,0,,,,,,
LZ019,AZFa,0,,,,,,
LZ002,iNOA,0,,,,,,
LZ003,iNOA,0,,,,,,
LZ004,iNOA,0,,,,,,
LZ007,iNOA,0,,,,,,
LZ010,iNOA,0,,,,,,
LZ012,iNOA,0,,,,,,
LZ013,iNOA,0,,,,,,
LZ014,iNOA,0,,,,,,
LZ015,iNOA,0,,,,,,
LZ017,iNOA,4081,0.17928011422642043,0.1952805604364981,-0.6868912255084182,0.8954003928131,-1.4918635315880235,4.491664970212017
LZ018,iNOA,3788,-0.051060412645131954,-0.1790102468017648,-0.6868912255084182,0.5396603832385896,-1.4918635315880235,3.8458512835962626
LZ019,iNOA,4281,0.43820972490194804,0.4923718878094505,-0.3126004182701551,1.1734590301212782,-1.4918635315880235,4.430931742168226
LZ002,KS,0,,,,,,
LZ003,KS,0,,,,,,
LZ004,KS,2261,1.3149880302991033,1.508133845222757,0.6259620592778407,2.134178796794686,-1.4918635315880235,4.737013579506635
LZ007,KS,0,,,,,,
LZ010,KS,2229,0.7150636848315007,0.7729969633608823,-0.476101574174717,1.7887589207741883,-1.4918635315880235,5.868273002248936
LZ012,KS,1735,0.2378306822290154,0.3288707319048886,-0.6868912255084182,1.0919620753599302,-1.4918635315880235,3.4556422555039426
LZ013,KS,0,,,,,,
LZ014,KS,0,,,,,,
LZ015,KS,0,,,,,,
LZ017,KS,0,,,,,,
LZ018,KS,0,,,,,,
LZ019,KS,0,,,,,,
