sample_code,group,n_cells,mean,median,q1,q3,min,max
LZ002,Control,0,,,,,,
LZ003,Control,6785,0.1331257240918028,-0.6345306825451708,-0.6345306825451708,0.4244497519292069,-0.6345306825451708,6.338815767466004
LZ004,Control,0,,,,,,
LZ007,Control,9972,0.034083140290207786,-0.6345306825451708,-0.6345306825451708,0.4244497519292069,-0.6345306825451708,9.076240479579669
LZ010,Control,0,,,,,,
LZ012,Control,0,,,,,,
LZ013,Control,2618,-0.09233111542276513,-0.6345306825451708,-0.6345306825451708,0.4244497519292069,-0.6345306825451708,6.134808399127214
LZ014,Control,3385,-0.1665330952232849,-0.6345306825451708,-0.6345306825451708,0.4244497519292069,-0.6345306825451708,4.220854898517249
LZ015,Control,3459,-0.12653880469187975,-0.6345306825451708,-0.6345306825451708,0.4244497519292069,-0.6345306825451708,6.518763019321443
LZ017,Control,0,,,,,,
LZ018,Control,0,,,,,,
LZ019,Control,0,,,,,,
LZ002,AZFa,9,0.6109435605557942,0.4244497519292069,-0.6345306825451708,1.0439135950941152,-0.6345306825451708,3.6013910553523396
LZ003,AZFa,0,,,,,,
LZ004,AZFa,0,,,,,,
LZ007,AZFa,0,,,,,,
LZ010,AZFa,0,,,,,,
LZ012,AZFa,0,,,,,,
LZ013,AZFa,0,,,,,,
LZ014,AZFa,0,,,,,,
LZ015,AZFa,0,,,,,,
LZ017,AZFa,0,,,,,,
LZ018,AZFa,0,,,,,,
LZ019,AZFa,0,,,,,,
LZ002,iNOA,0,,,,,,
LZ003,iNOA,0,,,,,,
LZ004,iNOA,0,,,,,,
LZ007,iNOA,0,,,,,,
LZ010,iNOA,0,,,,,,
LZ012,iNOA,0,,,,,,
LZ013,iNOA,0,,,,,,
LZ014,iNOA,0,,,,,,
LZ015,iNOA,0,,,,,,
LZ017,iNOA,14,0.5000912115345196,0.4244497519292069,-0.6345306825451708,1.4834301864035846,-0.6345306825451708,2.542410620877962
LZ018,iNOA,5,0.21265366503433136,-0.6345306825451708,-0.6345306825451708,0.4244497519292069,-0.6345306825451708,2.542410620877962
LZ019,iNOA,3,0.4244497519292069,0.4244497519292069,0.4244497519292069,0.4244497519292069,0.4244497519292069,0.4244497519292069
LZ002,KS,0,,,,,,
LZ003,KS,0,,,,,,
LZ004,KS,550,0.42032729444687644,0.4244497519292069,-0.6345306825451708,1.0439135950941152,-0.6345306825451708,5.2798353329916266
LZ007,KS,0,,,,,,
LZ010,KS,1,-0.6345306825451708,-0.6345306825451708,-0.6345306825451708,-0.6345306825451708,-0.6345306825451708,-0.6345306825451708
LZ012,KS,9,1.5612979705707184,1.4834301864035846,0.4244497519292069,3.16187446404287,-0.6345306825451708,4.400802150372686
LZ013,KS,0,,,,,,
LZ014,KS,0,,,,,,
LZ015,KS,0,,,,,,
LZ017,KS,0,,,,,,
LZ018,KS,0,,,,,,
LZ019,KS,0,,,,,,
