signature,gene
ST_Lactate_Production_Export_Score,ALDOA
ST_Lactate_Production_Export_Score,ENO1
ST_Lactate_Production_Export_Score,GAPDH
ST_Lactate_Production_Export_Score,HK1
ST_Lactate_Production_Export_Score,HK2
ST_Lactate_Production_Export_Score,LDHA
ST_Lactate_Production_Export_Score,PFKP
ST_Lactate_Production_Export_Score,PGK1
ST_Lactate_Production_Export_Score,PKM
ST_Lactate_Production_Export_Score,SLC16A3
ST_Lactate_Production_Export_Score,SLC2A1
Germ_Lactate_Uptake_Oxidation_Score,LDHB
Germ_Lactate_Uptake_Oxidation_Score,MPC1
Germ_Lactate_Uptake_Oxidation_Score,MPC2
Germ_Lactate_Uptake_Oxidation_Score,SLC16A1
