panel,source_data,code,confidence,evidence,notes
A,source data/supfig9_source_data/SupFig9A_celllevel_pseudotime_entropy.csv; source data/supfig9_source_data/SupFig9A_smoothed_curve.csv; source data/supfig9_source_data/SupFig9A_stage_ranges.csv; source data/supfig9_source_data/SupFig9A_arrest_point.csv; source data/supfig9_source_data/SupFig9A_group_cell_counts.csv; source data/supfig9_source_data/raw_support/SupFig9_main.ai; source data/supfig9_source_data/raw_support/SupFig9_main.pdf; source data/supfig9_source_data/raw_support/SupFig9_main.png; source data/supfig9_source_data/raw_support/SupFig9A_GSE235321_externalValidation_cellLevel_pseudotime_entropy_moduleScores.csv; source data/supfig9_source_data/raw_support/SupFig9A_GSE235321_developmental_divergence_entropy_smoothedCurve_FINAL_CONTINUOUS.csv; source data/supfig9_source_data/raw_support/SupFig9A_external_validation_divergence_plot_unified_CONTINUOUS.py; source data/supfig9_source_data/raw_support/SupFig9A_README_divergence_CONTINUOUS.txt; source data/supfig9_source_data/raw_support/SupFig9A_ExternalValidation_GSE235321_developmental_divergence_entropy_FINAL_CONTINUOUS.pdf; source data/supfig9_source_data/raw_support/SupFig9A_ExternalValidation_GSE235321_developmental_divergence_entropy_FINAL_CONTINUOUS.png,source data/supfig9_code/supfig9_source_data.py; source data/supfig9_code/supfig9_plot_panels.py,High,Supplementary Figure 9.pdf; source data/supfig9_source_data/SupFig9A_celllevel_pseudotime_entropy.csv,Panel A 原始输入和绘图脚本均在 divergence bundle 中，可直接回溯。
B,source data/supfig9_source_data/SupFig9BG_gene_score_cells_long.csv; source data/supfig9_source_data/SupFig9BG_cell_level_pvalues_full.csv; source data/supfig9_source_data/SupFig9B_ST_maturity_cells.csv; source data/supfig9_source_data/SupFig9B_ST_maturity_donor_summary.csv; source data/supfig9_source_data/SupFig9B_ST_maturity_pvalues.csv; source data/supfig9_source_data/raw_support/SupFig9_main.ai; source data/supfig9_source_data/raw_support/SupFig9_main.pdf; source data/supfig9_source_data/raw_support/SupFig9_main.png; source data/supfig9_source_data/raw_support/SupFig9BG_GSE149512_cellLevel_geneScores8_withCellPvalues_data.csv; source data/supfig9_source_data/raw_support/SupFig9BG_GSE149512_geneScores8_cellLevel_pvalues.csv; source data/supfig9_source_data/raw_support/SupFig9BG_external_validation_geneScores8_cellPvalues.py; source data/supfig9_source_data/raw_support/SupFig9BG_README_geneScores8_cellPvalues.txt; source data/supfig9_source_data/raw_support/SupFig9BG_signature_manifest_externalValidation.csv; source data/supfig9_source_data/raw_support/SupFig9BG_ExternalValidation_GSE149512_GeneScores_8panels_cellPvalues.pdf; source data/supfig9_source_data/raw_support/SupFig9BG_ExternalValidation_GSE149512_GeneScores_8panels_cellPvalues.png,source data/supfig9_code/supfig9_source_data.py; source data/supfig9_code/supfig9_plot_panels.py,High,Supplementary Figure 9.pdf; source data/supfig9_source_data/SupFig9B_ST_maturity_cells.csv,Panel B 直接来自 GSE149512 cell-level score 表与对应 p-value 表。
C,source data/supfig9_source_data/SupFig9BG_gene_score_cells_long.csv; source data/supfig9_source_data/SupFig9BG_cell_level_pvalues_full.csv; source data/supfig9_source_data/SupFig9C_LCimmature_z_cells.csv; source data/supfig9_source_data/SupFig9C_LCimmature_z_donor_summary.csv; source data/supfig9_source_data/SupFig9C_LCimmature_z_pvalues.csv; source data/supfig9_source_data/raw_support/SupFig9_main.ai; source data/supfig9_source_data/raw_support/SupFig9_main.pdf; source data/supfig9_source_data/raw_support/SupFig9_main.png; source data/supfig9_source_data/raw_support/SupFig9BG_GSE149512_cellLevel_geneScores8_withCellPvalues_data.csv; source data/supfig9_source_data/raw_support/SupFig9BG_GSE149512_geneScores8_cellLevel_pvalues.csv; source data/supfig9_source_data/raw_support/SupFig9BG_external_validation_geneScores8_cellPvalues.py; source data/supfig9_source_data/raw_support/SupFig9BG_README_geneScores8_cellPvalues.txt; source data/supfig9_source_data/raw_support/SupFig9BG_signature_manifest_externalValidation.csv; source data/supfig9_source_data/raw_support/SupFig9BG_ExternalValidation_GSE149512_GeneScores_8panels_cellPvalues.pdf; source data/supfig9_source_data/raw_support/SupFig9BG_ExternalValidation_GSE149512_GeneScores_8panels_cellPvalues.png,source data/supfig9_code/supfig9_source_data.py; source data/supfig9_code/supfig9_plot_panels.py,High,Supplementary Figure 9.pdf; source data/supfig9_source_data/SupFig9C_LCimmature_z_cells.csv,Panel C 直接来自 GSE149512 cell-level score 表与对应 p-value 表。
D,source data/supfig9_source_data/SupFig9BG_gene_score_cells_long.csv; source data/supfig9_source_data/SupFig9BG_cell_level_pvalues_full.csv; source data/supfig9_source_data/SupFig9D_Cytokine_z_cells.csv; source data/supfig9_source_data/SupFig9D_Cytokine_z_donor_summary.csv; source data/supfig9_source_data/SupFig9D_Cytokine_z_pvalues.csv; source data/supfig9_source_data/raw_support/SupFig9_main.ai; source data/supfig9_source_data/raw_support/SupFig9_main.pdf; source data/supfig9_source_data/raw_support/SupFig9_main.png; source data/supfig9_source_data/raw_support/SupFig9BG_GSE149512_cellLevel_geneScores8_withCellPvalues_data.csv; source data/supfig9_source_data/raw_support/SupFig9BG_GSE149512_geneScores8_cellLevel_pvalues.csv; source data/supfig9_source_data/raw_support/SupFig9BG_external_validation_geneScores8_cellPvalues.py; source data/supfig9_source_data/raw_support/SupFig9BG_README_geneScores8_cellPvalues.txt; source data/supfig9_source_data/raw_support/SupFig9BG_signature_manifest_externalValidation.csv; source data/supfig9_source_data/raw_support/SupFig9BG_ExternalValidation_GSE149512_GeneScores_8panels_cellPvalues.pdf; source data/supfig9_source_data/raw_support/SupFig9BG_ExternalValidation_GSE149512_GeneScores_8panels_cellPvalues.png,source data/supfig9_code/supfig9_source_data.py; source data/supfig9_code/supfig9_plot_panels.py,High,Supplementary Figure 9.pdf; source data/supfig9_source_data/SupFig9D_Cytokine_z_cells.csv,Panel D 直接来自 GSE149512 cell-level score 表与对应 p-value 表。
E,source data/supfig9_source_data/SupFig9BG_gene_score_cells_long.csv; source data/supfig9_source_data/SupFig9BG_cell_level_pvalues_full.csv; source data/supfig9_source_data/SupFig9E_SASP_cells.csv; source data/supfig9_source_data/SupFig9E_SASP_donor_summary.csv; source data/supfig9_source_data/SupFig9E_SASP_pvalues.csv; source data/supfig9_source_data/raw_support/SupFig9_main.ai; source data/supfig9_source_data/raw_support/SupFig9_main.pdf; source data/supfig9_source_data/raw_support/SupFig9_main.png; source data/supfig9_source_data/raw_support/SupFig9BG_GSE149512_cellLevel_geneScores8_withCellPvalues_data.csv; source data/supfig9_source_data/raw_support/SupFig9BG_GSE149512_geneScores8_cellLevel_pvalues.csv; source data/supfig9_source_data/raw_support/SupFig9BG_external_validation_geneScores8_cellPvalues.py; source data/supfig9_source_data/raw_support/SupFig9BG_README_geneScores8_cellPvalues.txt; source data/supfig9_source_data/raw_support/SupFig9BG_signature_manifest_externalValidation.csv; source data/supfig9_source_data/raw_support/SupFig9BG_ExternalValidation_GSE149512_GeneScores_8panels_cellPvalues.pdf; source data/supfig9_source_data/raw_support/SupFig9BG_ExternalValidation_GSE149512_GeneScores_8panels_cellPvalues.png,source data/supfig9_code/supfig9_source_data.py; source data/supfig9_code/supfig9_plot_panels.py,High,Supplementary Figure 9.pdf; source data/supfig9_source_data/SupFig9E_SASP_cells.csv,Panel E 直接来自 GSE149512 cell-level score 表与对应 p-value 表。
F,source data/supfig9_source_data/SupFig9BG_gene_score_cells_long.csv; source data/supfig9_source_data/SupFig9BG_cell_level_pvalues_full.csv; source data/supfig9_source_data/SupFig9F_BTB_cells.csv; source data/supfig9_source_data/SupFig9F_BTB_donor_summary.csv; source data/supfig9_source_data/SupFig9F_BTB_pvalues.csv; source data/supfig9_source_data/raw_support/SupFig9_main.ai; source data/supfig9_source_data/raw_support/SupFig9_main.pdf; source data/supfig9_source_data/raw_support/SupFig9_main.png; source data/supfig9_source_data/raw_support/SupFig9BG_GSE149512_cellLevel_geneScores8_withCellPvalues_data.csv; source data/supfig9_source_data/raw_support/SupFig9BG_GSE149512_geneScores8_cellLevel_pvalues.csv; source data/supfig9_source_data/raw_support/SupFig9BG_external_validation_geneScores8_cellPvalues.py; source data/supfig9_source_data/raw_support/SupFig9BG_README_geneScores8_cellPvalues.txt; source data/supfig9_source_data/raw_support/SupFig9BG_signature_manifest_externalValidation.csv; source data/supfig9_source_data/raw_support/SupFig9BG_ExternalValidation_GSE149512_GeneScores_8panels_cellPvalues.pdf; source data/supfig9_source_data/raw_support/SupFig9BG_ExternalValidation_GSE149512_GeneScores_8panels_cellPvalues.png,source data/supfig9_code/supfig9_source_data.py; source data/supfig9_code/supfig9_plot_panels.py,High,Supplementary Figure 9.pdf; source data/supfig9_source_data/SupFig9F_BTB_cells.csv,Panel F 直接来自 GSE149512 cell-level score 表与对应 p-value 表。
G,source data/supfig9_source_data/SupFig9BG_gene_score_cells_long.csv; source data/supfig9_source_data/SupFig9BG_cell_level_pvalues_full.csv; source data/supfig9_source_data/SupFig9G_GermApoptosis_z_cells.csv; source data/supfig9_source_data/SupFig9G_GermApoptosis_z_donor_summary.csv; source data/supfig9_source_data/SupFig9G_GermApoptosis_z_pvalues.csv; source data/supfig9_source_data/raw_support/SupFig9_main.ai; source data/supfig9_source_data/raw_support/SupFig9_main.pdf; source data/supfig9_source_data/raw_support/SupFig9_main.png; source data/supfig9_source_data/raw_support/SupFig9BG_GSE149512_cellLevel_geneScores8_withCellPvalues_data.csv; source data/supfig9_source_data/raw_support/SupFig9BG_GSE149512_geneScores8_cellLevel_pvalues.csv; source data/supfig9_source_data/raw_support/SupFig9BG_external_validation_geneScores8_cellPvalues.py; source data/supfig9_source_data/raw_support/SupFig9BG_README_geneScores8_cellPvalues.txt; source data/supfig9_source_data/raw_support/SupFig9BG_signature_manifest_externalValidation.csv; source data/supfig9_source_data/raw_support/SupFig9BG_ExternalValidation_GSE149512_GeneScores_8panels_cellPvalues.pdf; source data/supfig9_source_data/raw_support/SupFig9BG_ExternalValidation_GSE149512_GeneScores_8panels_cellPvalues.png,source data/supfig9_code/supfig9_source_data.py; source data/supfig9_code/supfig9_plot_panels.py,High,Supplementary Figure 9.pdf; source data/supfig9_source_data/SupFig9G_GermApoptosis_z_cells.csv,Panel G 直接来自 GSE149512 cell-level score 表与对应 p-value 表。
H,source data/supfig9_source_data/SupFig9HK_direct_donor_table.csv; source data/supfig9_source_data/SupFig9HK_group_mwu_pvalues.csv; source data/supfig9_source_data/SupFig9HK_donor_metrics.csv; source data/supfig9_source_data/SupFig9H_coupling_scatter_donor_points.csv; source data/supfig9_source_data/SupFig9I_st_lactate_export_by_group.csv; source data/supfig9_source_data/SupFig9J_uncoupling_vs_postmeiotic.csv; source data/supfig9_source_data/SupFig9K_germ_uptake_by_group.csv; source data/supfig9_source_data/SupFig9HJ_correlation_summary.csv; source data/supfig9_source_data/SupFig9HK_source_note.csv; source data/supfig9_source_data/raw_support/SupFig9_main.ai; source data/supfig9_source_data/raw_support/SupFig9_main.pdf; source data/supfig9_source_data/raw_support/SupFig9_main.png; source data/supfig9_source_data/raw_support/SupFig9HK_GSE149512_cellLevel_geneScores8_withCellPvalues_data.csv; source data/supfig9_source_data/raw_support/SupFig9HK_ST_Lactate_Production_Export_Score.csv; source data/supfig9_source_data/raw_support/SupFig9HK_Germ_Lactate_Uptake_Oxidation_Score.csv; source data/supfig9_source_data/raw_support/SupFig9HK_GSE149512_donorLevel_export_uptake_uncoupling_spermatidFraction.csv; source data/supfig9_source_data/raw_support/SupFig9HK_GSE149512_donorLevel_export_uptake_uncoupling_spermatidFraction.xlsx; source data/supfig9_source_data/raw_support/SupFig9HK_GSE149512_metabolic_uncoupling_panelsCD_pvalues.csv; source data/supfig9_source_data/raw_support/SupFig9HK_external_validation_metabolic_uncoupling_multiplot_v4_pvaluesCD.py; source data/supfig9_source_data/raw_support/SupFig9HK_ExternalValidation_GSE149512_metabolic_uncoupling_MULTIPANEL_v4_pvaluesCD.pdf; source data/supfig9_source_data/raw_support/SupFig9HK_ExternalValidation_GSE149512_metabolic_uncoupling_MULTIPANEL_v4_pvaluesCD.png; source data/supfig9_source_data/raw_support/SupFig9HK_ExternalValidation_GSE149512_export_vs_uptake_restat.pdf,source data/supfig9_code/supfig9_source_data.py; source data/supfig9_code/supfig9_plot_panels.py,High,Supplementary Figure 9.pdf; source data/supfig9_source_data/SupFig9H_coupling_scatter_donor_points.csv,Panel H 直接来自 donor-level metabolic uncoupling bundle（GSE149512），无需重建。
I,source data/supfig9_source_data/SupFig9HK_direct_donor_table.csv; source data/supfig9_source_data/SupFig9HK_group_mwu_pvalues.csv; source data/supfig9_source_data/SupFig9HK_donor_metrics.csv; source data/supfig9_source_data/SupFig9H_coupling_scatter_donor_points.csv; source data/supfig9_source_data/SupFig9I_st_lactate_export_by_group.csv; source data/supfig9_source_data/SupFig9J_uncoupling_vs_postmeiotic.csv; source data/supfig9_source_data/SupFig9K_germ_uptake_by_group.csv; source data/supfig9_source_data/SupFig9HJ_correlation_summary.csv; source data/supfig9_source_data/SupFig9HK_source_note.csv; source data/supfig9_source_data/raw_support/SupFig9_main.ai; source data/supfig9_source_data/raw_support/SupFig9_main.pdf; source data/supfig9_source_data/raw_support/SupFig9_main.png; source data/supfig9_source_data/raw_support/SupFig9HK_GSE149512_cellLevel_geneScores8_withCellPvalues_data.csv; source data/supfig9_source_data/raw_support/SupFig9HK_ST_Lactate_Production_Export_Score.csv; source data/supfig9_source_data/raw_support/SupFig9HK_Germ_Lactate_Uptake_Oxidation_Score.csv; source data/supfig9_source_data/raw_support/SupFig9HK_GSE149512_donorLevel_export_uptake_uncoupling_spermatidFraction.csv; source data/supfig9_source_data/raw_support/SupFig9HK_GSE149512_donorLevel_export_uptake_uncoupling_spermatidFraction.xlsx; source data/supfig9_source_data/raw_support/SupFig9HK_GSE149512_metabolic_uncoupling_panelsCD_pvalues.csv; source data/supfig9_source_data/raw_support/SupFig9HK_external_validation_metabolic_uncoupling_multiplot_v4_pvaluesCD.py; source data/supfig9_source_data/raw_support/SupFig9HK_ExternalValidation_GSE149512_metabolic_uncoupling_MULTIPANEL_v4_pvaluesCD.pdf; source data/supfig9_source_data/raw_support/SupFig9HK_ExternalValidation_GSE149512_metabolic_uncoupling_MULTIPANEL_v4_pvaluesCD.png; source data/supfig9_source_data/raw_support/SupFig9HK_ExternalValidation_GSE149512_export_vs_uptake_restat.pdf,source data/supfig9_code/supfig9_source_data.py; source data/supfig9_code/supfig9_plot_panels.py,High,Supplementary Figure 9.pdf; source data/supfig9_source_data/SupFig9I_st_lactate_export_by_group.csv,Panel I 直接来自 donor-level metabolic uncoupling bundle（GSE149512），无需重建。
J,source data/supfig9_source_data/SupFig9HK_direct_donor_table.csv; source data/supfig9_source_data/SupFig9HK_group_mwu_pvalues.csv; source data/supfig9_source_data/SupFig9HK_donor_metrics.csv; source data/supfig9_source_data/SupFig9H_coupling_scatter_donor_points.csv; source data/supfig9_source_data/SupFig9I_st_lactate_export_by_group.csv; source data/supfig9_source_data/SupFig9J_uncoupling_vs_postmeiotic.csv; source data/supfig9_source_data/SupFig9K_germ_uptake_by_group.csv; source data/supfig9_source_data/SupFig9HJ_correlation_summary.csv; source data/supfig9_source_data/SupFig9HK_source_note.csv; source data/supfig9_source_data/raw_support/SupFig9_main.ai; source data/supfig9_source_data/raw_support/SupFig9_main.pdf; source data/supfig9_source_data/raw_support/SupFig9_main.png; source data/supfig9_source_data/raw_support/SupFig9HK_GSE149512_cellLevel_geneScores8_withCellPvalues_data.csv; source data/supfig9_source_data/raw_support/SupFig9HK_ST_Lactate_Production_Export_Score.csv; source data/supfig9_source_data/raw_support/SupFig9HK_Germ_Lactate_Uptake_Oxidation_Score.csv; source data/supfig9_source_data/raw_support/SupFig9HK_GSE149512_donorLevel_export_uptake_uncoupling_spermatidFraction.csv; source data/supfig9_source_data/raw_support/SupFig9HK_GSE149512_donorLevel_export_uptake_uncoupling_spermatidFraction.xlsx; source data/supfig9_source_data/raw_support/SupFig9HK_GSE149512_metabolic_uncoupling_panelsCD_pvalues.csv; source data/supfig9_source_data/raw_support/SupFig9HK_external_validation_metabolic_uncoupling_multiplot_v4_pvaluesCD.py; source data/supfig9_source_data/raw_support/SupFig9HK_ExternalValidation_GSE149512_metabolic_uncoupling_MULTIPANEL_v4_pvaluesCD.pdf; source data/supfig9_source_data/raw_support/SupFig9HK_ExternalValidation_GSE149512_metabolic_uncoupling_MULTIPANEL_v4_pvaluesCD.png; source data/supfig9_source_data/raw_support/SupFig9HK_ExternalValidation_GSE149512_export_vs_uptake_restat.pdf,source data/supfig9_code/supfig9_source_data.py; source data/supfig9_code/supfig9_plot_panels.py,High,Supplementary Figure 9.pdf; source data/supfig9_source_data/SupFig9J_uncoupling_vs_postmeiotic.csv,Panel J 直接来自 donor-level metabolic uncoupling bundle（GSE149512）；图中标注 p 值使用同表的 Normal vs Azoospermia MWU。
