Cell,Group,Disease,Stage,PlotStage,Pseudotime2,MixEntropy,Batch,OXPHOS,Apoptosis
Normal_1_1_10_1_bar73,Normal,Control,D,Late SPC,6.487441860465117,0.3764618904658653,Normal_1,2.884696802520416,0.5140122734489168
Normal_1_1_10_3_bar75,Normal,Control,SPC7,Late SPC,7.35042735042735,0.3764618904658653,Normal_1,2.7711340384367826,0.08890830237596299
Normal_1_1_10_4_bar76,Normal,Control,S1,Round Sperm,8.254748603351954,0.5076575881791653,Normal_1,2.5683210491794153,0.13490275615031666
Normal_1_1_10_5_bar77,Normal,Control,S1,Round Sperm,8.346368715083798,0.545883901502697,Normal_1,2.521394873963685,1.0978786606208655
Normal_1_1_11_2_bar82,Normal,Control,S1,Round Sperm,8.4,0.6156105340949665,Normal_1,2.0832959797311306,0.39711432750520664
Normal_1_1_11_3_bar83,Normal,Control,S1,Round Sperm,8.143016759776536,0.20976880507769463,Normal_1,2.4364369078148367,0.054393659515830445
Normal_1_1_11_4_bar84,Normal,Control,D,Late SPC,6.626976744186046,0.27071808593082797,Normal_1,2.9004834396978376,0.8308853509507009
Normal_1_1_11_6_bar86,Normal,Control,D,Late SPC,6.636279069767442,0.27071808593082797,Normal_1,3.0308505485525528,0.034740574839821556
Normal_1_1_11_7_bar87,Normal,Control,SPC7,Late SPC,7.268376068376067,0.05745902028655034,Normal_1,2.473833340429833,0.4284432997009422
Normal_1_1_12_2_bar90,Normal,Control,D,Late SPC,6.573023255813953,0.3516761192089252,Normal_1,3.0220393435273283,0.22242247140377666
Normal_1_1_2_2_bar10,Normal,Control,S2,Elongated Sperm,9.417218543046356,0.46689278340051177,Normal_1,2.4757757355195666,0.04834390573556633
Normal_1_1_2_6_bar14,Normal,Control,S2,Elongated Sperm,9.512582781456953,0.46180433167231616,Normal_1,2.4003889804776444,0.13360468568554357
Normal_1_1_2_7_bar15,Normal,Control,S2,Elongated Sperm,9.525827814569537,0.4739291234780728,Normal_1,2.408196183953197,0.20885619625358778
Normal_1_1_3_1_bar17,Normal,Control,S2,Elongated Sperm,9.45430463576159,0.46689278340051177,Normal_1,2.440339809051652,0.07604110322366744
Normal_1_1_3_4_bar20,Normal,Control,D,Late SPC,6.604651162790698,0.29892393694265923,Normal_1,2.8188654907123483,0.0
Normal_1_1_3_5_bar21,Normal,Control,D,Late SPC,6.664186046511627,0.29892393694265923,Normal_1,2.8277219234095456,0.23327452651870992
Normal_1_1_3_8_bar24,Normal,Control,S3,Elongated Sperm,9.982608695652173,0.23750814382570754,Normal_1,2.265207289050001,0.26373194706776215
Normal_1_1_4_1_bar25,Normal,Control,D,Late SPC,6.62139534883721,0.27071808593082797,Normal_1,2.986024208377956,0.233644003590102
Normal_1_1_4_2_bar26,Normal,Control,S2,Elongated Sperm,9.305960264900662,0.7192711659547665,Normal_1,2.485004763518403,0.08460654411189977
Normal_1_1_4_3_bar27,Normal,Control,D,Late SPC,6.485581395348836,0.3764618904658653,Normal_1,2.9578153368982347,0.13926061169022066
Normal_1_1_4_4_bar28,Normal,Control,S2,Elongated Sperm,9.541721854304635,0.46377734988486624,Normal_1,2.47404321176949,0.2773056377605796
Normal_1_1_4_8_bar32,Normal,Control,S1,Round Sperm,8.15418994413408,-1.4428232973175175e-12,Normal_1,2.6010722611206814,0.4355263597203309
Normal_1_1_5_2_bar34,Normal,Control,D,Late SPC,6.427906976744185,0.24107630848449527,Normal_1,2.9476260366032565,0.6345326773969475
Normal_1_1_5_3_bar35,Normal,Control,D,Late SPC,6.60093023255814,0.29892393694265923,Normal_1,2.842244048259512,0.4847367522939348
Normal_1_1_5_4_bar36,Normal,Control,S3,Elongated Sperm,10.0,0.1755650258546174,Normal_1,2.3523892037436873,0.5130451412168985
Normal_1_1_5_5_bar37,Normal,Control,S2,Elongated Sperm,9.55496688741722,0.47707130621644434,Normal_1,2.3927732298348037,0.557243298889121
Normal_1_1_5_6_bar38,Normal,Control,SPC7,Late SPC,7.305982905982905,0.17647205924970638,Normal_1,2.840739162641334,0.12206405996347068
Normal_1_1_6_3_bar43,Normal,Control,S2,Elongated Sperm,9.44635761589404,0.46689278340051177,Normal_1,2.3775267696382842,0.25431563323516715
Normal_1_1_6_4_bar44,Normal,Control,S2,Elongated Sperm,9.41456953642384,0.46689278340051177,Normal_1,2.1991936711150775,0.081638014588562
Normal_1_1_6_6_bar46,Normal,Control,S2,Elongated Sperm,9.557615894039735,0.47983202361324306,Normal_1,2.3781780642705423,0.10450407050084345
Normal_1_1_6_7_bar47,Normal,Control,D,Late SPC,6.693953488372092,0.27071808593082797,Normal_1,2.902208946059126,0.11377199595151133
Normal_1_1_6_8_bar48,Normal,Control,S2,Elongated Sperm,9.372185430463576,0.4876093379853579,Normal_1,2.4314551741479296,0.069739176975644
Normal_1_1_7_1_bar49,Normal,Control,S2,Elongated Sperm,9.247682119205297,0.6918138653199457,Normal_1,2.5597864345670835,0.09739622875019122
Normal_1_1_7_3_bar51,Normal,Control,D,Late SPC,6.565581395348837,0.3764618904658653,Normal_1,2.9037129745114023,0.14467589155453234
Normal_1_1_7_4_bar52,Normal,Control,D,Late SPC,6.515348837209302,0.3764618904658653,Normal_1,2.9707184262290864,0.1514394645634669
