ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,group,neg_log10_padj
GO:0031099,regeneration,18/370,198/18723,8.47e-08,5.6e-05,4.46e-05,IGF1/APOA1/CD81/CDK4/SRSF5/LRP1/HGF/CERS2/STK24/FGF10/SOX15/YAP1/GAS6/HOPX/LAMB2/EGFR/PRRX1/ERBB4,18.0,AZFc,4.251811972993799
GO:0043410,positive regulation of MAPK cascade,29/370,480/18723,1.07e-07,5.6e-05,4.46e-05,IGF1/TIMP2/APP/PROK1/PRDX2/DDT/PDGFRA/CD81/ILK/AKAP12/PHB/LRP1/HGF/FGF10/EMC10/TAOK1/NOTCH2/GAS6/CDH2/NRP1/KITLG/PDGFRB/JCAD/EGFR/AR/ERBB4/RASSF2/IGF1R/HLA-DRB1,29.0,AZFc,4.251811972993799
GO:0008203,cholesterol metabolic process,16/406,137/18723,4.82e-08,9.52e-05,8.37e-05,SOD1/CYP51A1/EBP/ABCA5/MSMO1/LIMA1/SCARB1/DHCR7/APOE/TM7SF2/MT3/DHCR24/FDX1/CYB5R3/CYP11A1/STAR,16.0,AZFc,4.021363051615526
GO:0014068,positive regulation of phosphatidylinositol 3-kinase signaling,11/370,79/18723,4.2e-07,0.000117609,9.36e-05,IGF1/SOX9/FN1/PDGFRA/HGF/NKX3-1/BECN1/PDGFRB/DCN/ERBB4/IGF1R,11.0,AZFc,3.929559442709038
GO:0048732,gland development,26/370,436/18723,6.34e-07,0.000136092,0.000108329,APOA1/SOX9/HNRNPD/PRDX2/PDGFRA/HES1/SERPINA5/SERPINE2/SRSF5/HGF/FGF10/DKK3/CUL3/NOTCH2/NKX3-1/NRP1/ACO2/FOXC1/ALDH1A3/SP3/EGFR/HK2/AR/PKD2/ERBB4/FGF7,26.0,AZFc,3.8661674035106337
GO:0016055,Wnt signaling pathway,69/1278,444/18723,9.7624171174902e-11,9.20270520275409e-08,7.24987923830456e-08,EGR1/IGFBP6/MDK/KLF4/NDRG2/CPE/PLPP3/APOE/RSPO3/IGFBP4/TSKU/ADGRA2/LRP1/ILK/FGF10/APP/RACK1/SFRP4/EMD/PTEN/PFDN5/DDIT3/HIC1/TGFB1I1/DIXDC1/SNAI2/GPRC5B/MYOC/FZD3/RBMS3/MDFI/YAP1/ZNF703/PKD1/APCDD1/DAAM2/CTDNEP1/PLEKHA4/XIAP/FZD1/CUL3/ZBED3/BCL9L/LZTS2/TBL1XR1/FZD2/SIAH2/VGLL4/FGF2/CSNK1E/COL1A1/RNF146/EGFR/FOXO3/MITF/GSK3A/WWTR1/RNF220/DVL3/AMFR/SMAD3/MACF1/TMEM9/DKK3/ABL1/AMOTL1/PYGO1/ZRANB1/TCF7L2,69.0,KS,7.036084489835637
GO:0060070,canonical Wnt signaling pathway,51/1278,303/18723,1.76731853677913e-09,8.32996137001894e-07,6.56233277735617e-07,EGR1/IGFBP6/MDK/KLF4/PLPP3/APOE/RSPO3/IGFBP4/ADGRA2/ILK/FGF10/SFRP4/EMD/PTEN/PFDN5/DDIT3/DIXDC1/SNAI2/GPRC5B/FZD3/RBMS3/YAP1/ZNF703/DAAM2/CTDNEP1/PLEKHA4/XIAP/FZD1/ZBED3/BCL9L/LZTS2/TBL1XR1/FZD2/SIAH2/FGF2/CSNK1E/COL1A1/RNF146/EGFR/FOXO3/MITF/GSK3A/WWTR1/RNF220/DVL3/AMFR/SMAD3/TMEM9/DKK3/PYGO1/TCF7L2,51.0,KS,6.079357012618003
GO:0030111,regulation of Wnt signaling pathway,53/1278,328/18723,3.74087801047964e-09,1.11360031722489e-06,8.77292887443784e-07,EGR1/IGFBP6/MDK/PLPP3/APOE/RSPO3/IGFBP4/TSKU/ADGRA2/LRP1/ILK/FGF10/APP/RACK1/SFRP4/EMD/PFDN5/DDIT3/HIC1/DIXDC1/SNAI2/GPRC5B/RBMS3/MDFI/YAP1/ZNF703/APCDD1/DAAM2/CTDNEP1/PLEKHA4/XIAP/ZBED3/LZTS2/TBL1XR1/SIAH2/VGLL4/FGF2/CSNK1E/COL1A1/RNF146/EGFR/FOXO3/GSK3A/WWTR1/RNF220/AMFR/SMAD3/MACF1/TMEM9/DKK3/ABL1/ZRANB1/TCF7L2,53.0,KS,5.953270654018535
GO:0030198,extracellular matrix organization,50/1278,301/18723,4.02253940938931e-09,1.1375741449753e-06,8.9617943789184e-07,MFAP4/DPT/LTBP3/LAMB2/LRP1/ADAMTS1/RAMP2/CST3/COL18A1/CYP1B1/PDGFRA/MMP2/FOXC1/ENG/QSOX1/APP/EMILIN1/CRTAP/FBLN5/SMOC1/GAS6/EFEMP2/VWA1/SERPINH1/DDR2/NID2/ANXA2/COL16A1/PHLDB1/COL15A1/CRISPLD2/COL5A1/FLRT2/COL27A1/HSD17B12/MYH11/AEBP1/KAZALD1/FBLN1/CCDC80/TNFRSF1A/COL1A1/ADAM15/OLFML2B/CREB3L1/SMAD3/FKBP10/ABL1/FSCN1/PHLDB2,50.0,KS,5.944020287238571
GO:0043062,extracellular structure organization,50/1278,302/18723,4.5088555915712e-09,1.19478882360723e-06,9.41253087606902e-07,MFAP4/DPT/LTBP3/LAMB2/LRP1/ADAMTS1/RAMP2/CST3/COL18A1/CYP1B1/PDGFRA/MMP2/FOXC1/ENG/QSOX1/APP/EMILIN1/CRTAP/FBLN5/SMOC1/GAS6/EFEMP2/VWA1/SERPINH1/DDR2/NID2/ANXA2/COL16A1/PHLDB1/COL15A1/CRISPLD2/COL5A1/FLRT2/COL27A1/HSD17B12/MYH11/AEBP1/KAZALD1/FBLN1/CCDC80/TNFRSF1A/COL1A1/ADAM15/OLFML2B/CREB3L1/SMAD3/FKBP10/ABL1/FSCN1/PHLDB2,50.0,KS,5.922708848562394
