gene,cell_type,value
TDRD1,ECs,0.026
ELAVL2,ECs,0.037
SOX4,ECs,0.407
HMGN5,ECs,0.285
DEFB119,ECs,0.263
CITED1,ECs,0.123
DCN,ECs,0.631
C7,ECs,0.221
 PTGDS,ECs,0.994
BX119904.2,ECs,0.028
SPANXN3,ECs,0.028
LINC00919,ECs,0.092
HIST1H2AA,ECs,0.208
HIST1H2BA,ECs,0.04
AC084033.3,ECs,0.17
RAD51AP2,ECs,0.015
ZCWPW1,ECs,0.079
SYCP3,ECs,0.061
 HLA-DRA,ECs,1.76
 CD74,ECs,2.842
CCL4L2,ECs,0.155
 CLU,ECs,2.071
SERPINA5,ECs,0.698
  DEFB119,ECs,0.263
TKTL1,ECs,0.049
GAGE2A,ECs,0.039
HIST1H1A,ECs,0.051
EQTN,ECs,0.013
LINC01760,ECs,0.028
LINC02032,ECs,0.01
TAGLN,ECs,0.524
ACTA2,ECs,0.506
ADIRF,ECs,1.53
HMGA1,ECs,0.055
TUBA1B,ECs,1.153
CCNI,ECs,1.55
CCDC110,ECs,0.048
GOLGA6L2,ECs,0.009
LINC00643,ECs,0.008
PTGDS,ECs,0.994
PEMT,ECs,0.169
LAMA2,ECs,0.109
PRM1,ECs,0.744
TNP1,ECs,0.199
PRM2,ECs,0.6
HSPB6,ECs,0.164
CFD,ECs,0.159
IGFBP6,ECs,0.35
AL133499.1,ECs,0.034
 CCDC110,ECs,0.048
AC010980.1,ECs,0.025
GNG11,ECs,3.081
SPARCL1,ECs,4.516
A2M,ECs,3.827
LINC01921,ECs,0.07
 PRM2,ECs,0.6
 PRM1,ECs,0.744
 LINC01921,ECs,0.07
  PRM1,ECs,0.744
 TNP1,ECs,0.199
LRWD1,ECs,0.058
SPACA1,ECs,0.025
BOD1L2,ECs,0.107
TP53TG5,ECs,0.01
C1orf100,ECs,0.029
CCDC168,ECs,0.015
TEX101,ECs,0.038
SYCP1,ECs,0.035
LY6K,ECs,0.025
CETN3,ECs,0.196
C15orf48,ECs,0.023
RNFT1,ECs,0.031
APOA1,ECs,0.341
CLU,ECs,2.071
 DEFB119,ECs,0.263
 AL133499.1,ECs,0.034
 LRWD1,ECs,0.058
ASRGL1,ECs,0.097
RGS5,ECs,0.304
RERGL,ECs,0.155
LBH,ECs,0.325
PAGE2B,ECs,0.059
  PRM2,ECs,0.6
MAGEB2,ECs,0.023
MYH11,ECs,0.277
KRT17,ECs,0.016
MYLK,ECs,0.478
SPANXN4,ECs,0.025
PPP1R2C,ECs,0.05
AC239803.2,ECs,0.063
INSL3,ECs,0.17
GSTA1,ECs,0.198
CYP17A1,ECs,0.012
H2AFZ,ECs,1.009
 TEX101,ECs,0.038
HSPA5,ECs,0.963
IGFBP7,ECs,3.584
 ACTA2,ECs,0.506
  PTGDS,ECs,0.994
FAM71A,ECs,0.015
  TNP1,ECs,0.199
C20orf144,ECs,0.015
TIMP1,ECs,1.348
BEX1,ECs,0.248
CRYAB,ECs,0.12
IGLC2,ECs,0.069
IGLC3,ECs,0.033
IGHG1,ECs,0.036
HLA-DRA,ECs,1.76
RNASE1,ECs,2.574
CD74,ECs,2.842
TDRD1,LCs,0.05474999999999999
ELAVL2,LCs,0.05325
SOX4,LCs,0.40599999999999997
HMGN5,LCs,0.53725
DEFB119,LCs,0.41925
CITED1,LCs,0.303
DCN,LCs,3.6045
C7,LCs,1.54025
 PTGDS,LCs,3.96825
BX119904.2,LCs,0.010499999999999999
SPANXN3,LCs,0.00775
LINC00919,LCs,0.025249999999999998
HIST1H2AA,LCs,0.35100000000000003
HIST1H2BA,LCs,0.0675
AC084033.3,LCs,0.2105
RAD51AP2,LCs,0.027000000000000003
ZCWPW1,LCs,0.1335
SYCP3,LCs,0.07475000000000001
 HLA-DRA,LCs,0.1915
 CD74,LCs,0.5395
CCL4L2,LCs,0.097
 CLU,LCs,1.36525
SERPINA5,LCs,0.815
  DEFB119,LCs,0.41925
TKTL1,LCs,0.060000000000000005
GAGE2A,LCs,0.07425000000000001
HIST1H1A,LCs,0.08499999999999999
EQTN,LCs,0.0045
LINC01760,LCs,0.00875
LINC02032,LCs,0.00375
TAGLN,LCs,0.48525
ACTA2,LCs,0.906
ADIRF,LCs,1.15425
HMGA1,LCs,0.06075
TUBA1B,LCs,0.68925
CCNI,LCs,1.53
CCDC110,LCs,0.0435
GOLGA6L2,LCs,0.00275
LINC00643,LCs,0.003
PTGDS,LCs,3.96825
PEMT,LCs,0.6285000000000001
LAMA2,LCs,1.144
PRM1,LCs,0.24850000000000003
TNP1,LCs,0.0445
PRM2,LCs,0.19
HSPB6,LCs,1.086
CFD,LCs,1.2434999999999998
IGFBP6,LCs,1.2065000000000001
AL133499.1,LCs,0.0155
 CCDC110,LCs,0.0435
AC010980.1,LCs,0.025500000000000002
GNG11,LCs,0.4435
SPARCL1,LCs,2.3555
A2M,LCs,0.9305
LINC01921,LCs,0.02525
 PRM2,LCs,0.19
 PRM1,LCs,0.24850000000000003
 LINC01921,LCs,0.02525
  PRM1,LCs,0.24850000000000003
 TNP1,LCs,0.0445
LRWD1,LCs,0.056999999999999995
SPACA1,LCs,0.008
BOD1L2,LCs,0.027
TP53TG5,LCs,0.0015
C1orf100,LCs,0.00625
CCDC168,LCs,0.004
TEX101,LCs,0.0385
SYCP1,LCs,0.05475
LY6K,LCs,0.01775
CETN3,LCs,0.2615
C15orf48,LCs,0.02675
RNFT1,LCs,0.0445
APOA1,LCs,0.2475
CLU,LCs,1.36525
 DEFB119,LCs,0.41925
 AL133499.1,LCs,0.0155
 LRWD1,LCs,0.056999999999999995
ASRGL1,LCs,0.048
RGS5,LCs,0.263
RERGL,LCs,0.25325
LBH,LCs,0.3285
PAGE2B,LCs,0.07575000000000001
  PRM2,LCs,0.19
MAGEB2,LCs,0.037500000000000006
