gene,ECs,LCs,Lym,Myeloid,SPCs,SPGs,SSCs,STs,Spermatids
TDRD1,0.026,0.05474999999999999,0.222,0.031166666666666665,0.702,0.667,1.384,0.02225,0.19427272727272726
ELAVL2,0.037,0.05325,0.243,0.02666666666666667,0.11757142857142856,0.881,1.646,0.0205,0.29563636363636364
SOX4,0.407,0.40599999999999997,0.327,0.4251666666666667,0.05614285714285715,0.84,1.625,1.1327500000000001,0.11754545454545454
HMGN5,0.285,0.53725,0.126,0.7004999999999999,0.07042857142857142,0.094,0.092,2.60925,0.06036363636363637
DEFB119,0.263,0.41925,0.175,0.6288333333333334,0.1352857142857143,0.137,0.137,2.96175,0.19327272727272726
CITED1,0.123,0.303,0.073,0.4696666666666667,0.0832857142857143,0.079,0.14500000000000002,2.0444999999999998,0.07827272727272727
DCN,0.631,3.6045,0.377,1.4588333333333334,0.04914285714285715,0.053,0.062,0.18525,0.04263636363636363
C7,0.221,1.54025,0.083,0.219,0.011285714285714286,0.008,0.017,0.29550000000000004,0.010454545454545454
 PTGDS,0.994,3.96825,0.704,2.397,0.24157142857142855,0.294,0.20750000000000002,1.6517499999999998,0.2647272727272727
BX119904.2,0.028,0.010499999999999999,0.037,0.04783333333333334,0.1772857142857143,0.072,0.11399999999999999,0.039,0.9226363636363637
SPANXN3,0.028,0.00775,0.022,0.05383333333333334,0.15842857142857142,0.04,0.0595,0.0595,0.9822727272727273
LINC00919,0.092,0.025249999999999998,0.047,0.12916666666666665,0.2764285714285714,0.176,0.191,0.141,2.329636363636364
HIST1H2AA,0.208,0.35100000000000003,0.704,0.19816666666666669,2.666571428571429,2.451,1.5594999999999999,0.22175,0.6829999999999999
HIST1H2BA,0.04,0.0675,0.231,0.0315,1.3452857142857142,0.853,0.4515,0.03725,0.25081818181818183
AC084033.3,0.17,0.2105,0.303,0.15766666666666665,2.1465714285714284,0.433,0.3185,0.25925000000000004,0.3430909090909091
RAD51AP2,0.015,0.027000000000000003,0.172,0.021666666666666667,0.6609999999999999,0.076,0.037500000000000006,0.017,0.11118181818181819
ZCWPW1,0.079,0.1335,0.468,0.08133333333333333,1.2248571428571429,1.108,1.1145,0.061,0.21418181818181817
SYCP3,0.061,0.07475000000000001,0.489,0.056833333333333326,2.0374285714285714,1.637,0.507,0.06949999999999999,0.2702727272727273
