gene,cell_type,value
TDRD1,ECs,0.012
ELAVL2,ECs,0.021
SOX4,ECs,0.215
HMGN5,ECs,0.09
DEFB119,ECs,0.078
CITED1,ECs,0.04
DCN,ECs,0.124
C7,ECs,0.099
 PTGDS,ECs,0.179
BX119904.2,ECs,0.014
SPANXN3,ECs,0.013
LINC00919,ECs,0.023
HIST1H2AA,ECs,0.039
HIST1H2BA,ECs,0.014
AC084033.3,ECs,0.038
RAD51AP2,ECs,0.006
ZCWPW1,ECs,0.014
SYCP3,ECs,0.018
 HLA-DRA,ECs,0.409
 CD74,ECs,0.589
CCL4L2,ECs,0.067
 CLU,ECs,0.428
SERPINA5,ECs,0.214
  DEFB119,ECs,0.078
TKTL1,ECs,0.02
GAGE2A,ECs,0.016
HIST1H1A,ECs,0.023
EQTN,ECs,0.005
LINC01760,ECs,0.01
LINC02032,ECs,0.005
TAGLN,ECs,0.115
ACTA2,ECs,0.106
ADIRF,ECs,0.327
HMGA1,ECs,0.026
TUBA1B,ECs,0.448
CCNI,ECs,0.563
CCDC110,ECs,0.007
GOLGA6L2,ECs,0.005
LINC00643,ECs,0.004
PTGDS,ECs,0.179
PEMT,ECs,0.08
LAMA2,ECs,0.045
PRM1,ECs,0.089
TNP1,ECs,0.039
PRM2,ECs,0.078
HSPB6,ECs,0.056
CFD,ECs,0.072
IGFBP6,ECs,0.149
AL133499.1,ECs,0.01
 CCDC110,ECs,0.007
AC010980.1,ECs,0.006
GNG11,ECs,1.0
SPARCL1,ECs,1.0
A2M,ECs,1.0
LINC01921,ECs,0.016
 PRM2,ECs,0.078
 PRM1,ECs,0.089
 LINC01921,ECs,0.016
  PRM1,ECs,0.089
 TNP1,ECs,0.039
LRWD1,ECs,0.015
SPACA1,ECs,0.009
BOD1L2,ECs,0.029
TP53TG5,ECs,0.004
C1orf100,ECs,0.01
CCDC168,ECs,0.007
TEX101,ECs,0.012
SYCP1,ECs,0.011
LY6K,ECs,0.011
CETN3,ECs,0.054
C15orf48,ECs,0.006
RNFT1,ECs,0.003
APOA1,ECs,0.1
CLU,ECs,0.428
 DEFB119,ECs,0.078
 AL133499.1,ECs,0.01
 LRWD1,ECs,0.015
ASRGL1,ECs,0.031
RGS5,ECs,0.134
RERGL,ECs,0.053
LBH,ECs,0.111
PAGE2B,ECs,0.022
  PRM2,ECs,0.078
MAGEB2,ECs,0.015
MYH11,ECs,0.072
KRT17,ECs,0.018
MYLK,ECs,0.175
SPANXN4,ECs,0.012
PPP1R2C,ECs,0.017
AC239803.2,ECs,0.021
INSL3,ECs,0.044
GSTA1,ECs,0.048
CYP17A1,ECs,0.007
H2AFZ,ECs,0.263
 TEX101,ECs,0.012
HSPA5,ECs,0.25
IGFBP7,ECs,0.729
 ACTA2,ECs,0.106
  PTGDS,ECs,0.179
FAM71A,ECs,0.006
  TNP1,ECs,0.039
C20orf144,ECs,0.006
TIMP1,ECs,0.406
BEX1,ECs,0.09
CRYAB,ECs,0.056
IGLC2,ECs,0.029
IGLC3,ECs,0.016
IGHG1,ECs,0.014
HLA-DRA,ECs,0.409
RNASE1,ECs,0.641
CD74,ECs,0.589
TDRD1,LCs,0.028749999999999998
ELAVL2,LCs,0.031
SOX4,LCs,0.21425
HMGN5,LCs,0.17625000000000002
DEFB119,LCs,0.12775
CITED1,LCs,0.112
DCN,LCs,0.72075
C7,LCs,0.703
 PTGDS,LCs,0.7484999999999999
BX119904.2,LCs,0.004999999999999999
SPANXN3,LCs,0.0032500000000000003
LINC00919,LCs,0.00525
HIST1H2AA,LCs,0.069
HIST1H2BA,LCs,0.0235
AC084033.3,LCs,0.051000000000000004
RAD51AP2,LCs,0.012
ZCWPW1,LCs,0.033
SYCP3,LCs,0.022000000000000002
 HLA-DRA,LCs,0.042249999999999996
 CD74,LCs,0.10875
CCL4L2,LCs,0.0415
 CLU,LCs,0.27
SERPINA5,LCs,0.2515
  DEFB119,LCs,0.12775
TKTL1,LCs,0.02475
GAGE2A,LCs,0.032
HIST1H1A,LCs,0.04575
EQTN,LCs,0.00175
LINC01760,LCs,0.003
LINC02032,LCs,0.002
TAGLN,LCs,0.10625
ACTA2,LCs,0.19025
ADIRF,LCs,0.24650000000000002
HMGA1,LCs,0.02875
TUBA1B,LCs,0.262
CCNI,LCs,0.5549999999999999
CCDC110,LCs,0.00575
GOLGA6L2,LCs,0.00175
LINC00643,LCs,0.002
PTGDS,LCs,0.7484999999999999
PEMT,LCs,0.313
LAMA2,LCs,0.51575
PRM1,LCs,0.02475
TNP1,LCs,0.0072499999999999995
PRM2,LCs,0.02025
HSPB6,LCs,0.37575000000000003
CFD,LCs,0.5695
IGFBP6,LCs,0.5135000000000001
AL133499.1,LCs,0.00425
 CCDC110,LCs,0.00575
AC010980.1,LCs,0.0065
GNG11,LCs,0.14275
SPARCL1,LCs,0.52
A2M,LCs,0.23925000000000002
LINC01921,LCs,0.005
 PRM2,LCs,0.02025
 PRM1,LCs,0.02475
 LINC01921,LCs,0.005
  PRM1,LCs,0.02475
 TNP1,LCs,0.0072499999999999995
LRWD1,LCs,0.0145
SPACA1,LCs,0.00275
BOD1L2,LCs,0.006
TP53TG5,LCs,0.0005
C1orf100,LCs,0.0015
CCDC168,LCs,0.0015
TEX101,LCs,0.01225
SYCP1,LCs,0.0175
LY6K,LCs,0.00775
CETN3,LCs,0.07425
C15orf48,LCs,0.0075
RNFT1,LCs,0.008
APOA1,LCs,0.0695
CLU,LCs,0.27
 DEFB119,LCs,0.12775
 AL133499.1,LCs,0.00425
 LRWD1,LCs,0.0145
ASRGL1,LCs,0.01375
RGS5,LCs,0.115
RERGL,LCs,0.08700000000000001
LBH,LCs,0.11225
PAGE2B,LCs,0.02825
  PRM2,LCs,0.02025
MAGEB2,LCs,0.025
MYH11,LCs,0.40950000000000003
KRT17,LCs,0.22175
MYLK,LCs,0.5105
SPANXN4,LCs,0.0022500000000000003
PPP1R2C,LCs,0.00425
AC239803.2,LCs,0.0022500000000000003
INSL3,LCs,0.373
GSTA1,LCs,0.32975
CYP17A1,LCs,0.2615
H2AFZ,LCs,0.23625000000000002
 TEX101,LCs,0.01225
HSPA5,LCs,0.36
IGFBP7,LCs,0.67425
 ACTA2,LCs,0.19025
  PTGDS,LCs,0.7484999999999999
FAM71A,LCs,0.00075
  TNP1,LCs,0.0072499999999999995
C20orf144,LCs,0.00175
TIMP1,LCs,0.6819999999999999
BEX1,LCs,0.107
CRYAB,LCs,0.34975
IGLC2,LCs,0.04
IGLC3,LCs,0.02875
IGHG1,LCs,0.024
HLA-DRA,LCs,0.042249999999999996
RNASE1,LCs,0.17325000000000002
CD74,LCs,0.10875
TDRD1,Lym,0.125
ELAVL2,Lym,0.146
SOX4,Lym,0.172
HMGN5,Lym,0.035
DEFB119,Lym,0.05
CITED1,Lym,0.021
DCN,Lym,0.073
C7,Lym,0.036
 PTGDS,Lym,0.123
BX119904.2,Lym,0.018
SPANXN3,Lym,0.01
LINC00919,Lym,0.011
HIST1H2AA,Lym,0.144
HIST1H2BA,Lym,0.084
AC084033.3,Lym,0.08
RAD51AP2,Lym,0.079
ZCWPW1,Lym,0.148
SYCP3,Lym,0.156
 HLA-DRA,Lym,0.245
 CD74,Lym,0.53
CCL4L2,Lym,0.364
 CLU,Lym,0.072
SERPINA5,Lym,0.035
  DEFB119,Lym,0.05
TKTL1,Lym,0.194
GAGE2A,Lym,0.196
HIST1H1A,Lym,0.181
EQTN,Lym,0.002
LINC01760,Lym,0.007
LINC02032,Lym,0.005
TAGLN,Lym,0.048
ACTA2,Lym,0.058
ADIRF,Lym,0.086
HMGA1,Lym,0.178
TUBA1B,Lym,0.238
CCNI,Lym,0.322
CCDC110,Lym,0.022
GOLGA6L2,Lym,0.004
LINC00643,Lym,0.004
PTGDS,Lym,0.123
PEMT,Lym,0.047
LAMA2,Lym,0.015
PRM1,Lym,0.057
TNP1,Lym,0.022
PRM2,Lym,0.045
HSPB6,Lym,0.028
CFD,Lym,0.045
IGFBP6,Lym,0.025
AL133499.1,Lym,0.01
 CCDC110,Lym,0.022
AC010980.1,Lym,0.006
GNG11,Lym,0.031
SPARCL1,Lym,0.045
A2M,Lym,0.107
LINC01921,Lym,0.013
 PRM2,Lym,0.045
 PRM1,Lym,0.057
 LINC01921,Lym,0.013
  PRM1,Lym,0.057
 TNP1,Lym,0.022
LRWD1,Lym,0.021
SPACA1,Lym,0.009
BOD1L2,Lym,0.022
TP53TG5,Lym,0.001
C1orf100,Lym,0.005
CCDC168,Lym,0.005
TEX101,Lym,0.119
SYCP1,Lym,0.105
LY6K,Lym,0.101
CETN3,Lym,0.075
C15orf48,Lym,0.061
RNFT1,Lym,0.053
APOA1,Lym,0.024
CLU,Lym,0.072
 DEFB119,Lym,0.05
 AL133499.1,Lym,0.01
 LRWD1,Lym,0.021
ASRGL1,Lym,0.044
RGS5,Lym,0.022
RERGL,Lym,0.026
LBH,Lym,0.126
PAGE2B,Lym,0.198
  PRM2,Lym,0.045
MAGEB2,Lym,0.154
MYH11,Lym,0.026
KRT17,Lym,0.007
MYLK,Lym,0.013
SPANXN4,Lym,0.006
PPP1R2C,Lym,0.041
AC239803.2,Lym,0.008
INSL3,Lym,0.028
GSTA1,Lym,0.023
CYP17A1,Lym,0.005
H2AFZ,Lym,0.237
 TEX101,Lym,0.119
HSPA5,Lym,0.42
IGFBP7,Lym,0.113
 ACTA2,Lym,0.058
  PTGDS,Lym,0.123
FAM71A,Lym,0.003
  TNP1,Lym,0.022
C20orf144,Lym,0.002
TIMP1,Lym,0.126
BEX1,Lym,0.03
CRYAB,Lym,0.024
IGLC2,Lym,1.0
IGLC3,Lym,1.0
IGHG1,Lym,1.0
