panel_celltype,group,pathway,pathway_readable,setSize,NES,pvalue,p.adjust,qvalues,rank,leading_edge,neglog10_fdr
EC,AZFc_Del,Oxidative_phosphorylation,Oxidative Phosphorylation,182,2.317649048,1e-10,2.5e-09,1.74e-09,1239,"tags=37%, list=14%, signal=33%",8.602059991327963
EC,AZFc_Del,Spermatogenesis,Spermatogenesis,87,-2.622265856,1e-10,2.5e-09,1.74e-09,1133,"tags=44%, list=13%, signal=39%",8.602059991327963
EC,AZFc_Del,Epithelial_mesenchymal_transition,Epithelial Mesenchymal Transition,100,2.047594699,4.3e-06,7.17e-05,4.98e-05,1071,"tags=38%, list=12%, signal=34%",4.1444808443322
EC,AZFc_Del,P53_pathway,P53 Pathway,111,1.819874005,0.000156901,0.001961269,0.001362566,1578,"tags=32%, list=18%, signal=26%",2.7074628361110937
EC,AZFc_Del,Hypoxia,Hypoxia,111,1.761060586,0.00036998,0.003083163,0.002141987,1564,"tags=34%, list=18%, signal=29%",2.5110035144790506
EC,AZFc_Del,Tnfa_signaling_via_nfkb,Tnfa Signaling Via Nfkb,110,1.808599667,0.000369172,0.003083163,0.002141987,1524,"tags=40%, list=17%, signal=34%",2.5110035144790506
EC,AZFc_Del,Fatty_acid_metabolism,Fatty Acid Metabolism,106,1.788096126,0.000696073,0.004971946,0.003454194,1117,"tags=25%, list=13%, signal=23%",2.3034735968504605
EC,AZFc_Del,Myogenesis,Myogenesis,95,1.695267227,0.001632801,0.010205006,0.007089794,1031,"tags=28%, list=12%, signal=25%",1.991186735605811
EC,AZFc_Del,Myc_targets_v1,Myc Targets V1,167,1.440141343,0.009523005,0.051266543,0.035616756,1625,"tags=29%, list=18%, signal=24%",1.2901659668709415
EC,AZFc_Del,Notch_signaling,Notch Signaling,19,1.751962426,0.010557801,0.051266543,0.035616756,1600,"tags=42%, list=18%, signal=35%",1.2901659668709415
EC,KS,Epithelial_mesenchymal_transition,Epithelial Mesenchymal Transition,125,2.399705099,1e-10,1.25e-09,6.05e-10,1810,"tags=55%, list=18%, signal=46%",8.903089986991944
EC,KS,Hypoxia,Hypoxia,127,2.4570846,1e-10,1.25e-09,6.05e-10,1013,"tags=35%, list=10%, signal=32%",8.903089986991944
EC,KS,Spermatogenesis,Spermatogenesis,87,-2.67283522,1e-10,1.25e-09,6.05e-10,823,"tags=37%, list=8%, signal=34%",8.903089986991944
EC,KS,Tnfa_signaling_via_nfkb,Tnfa Signaling Via Nfkb,139,2.563344187,1e-10,1.25e-09,6.05e-10,928,"tags=34%, list=9%, signal=31%",8.903089986991944
EC,KS,P53_pathway,P53 Pathway,135,2.169328825,2.06e-08,2.06e-07,9.98e-08,1878,"tags=39%, list=19%, signal=32%",6.686132779630847
EC,KS,Myogenesis,Myogenesis,102,2.25475192,3.15e-08,2.62e-07,1.27e-07,1545,"tags=46%, list=15%, signal=39%",6.581698708680254
EC,KS,Apical_junction,Apical Junction,121,2.10024815,1.21e-06,7.59e-06,3.68e-06,1395,"tags=36%, list=14%, signal=32%",5.11975822410452
EC,KS,Apoptosis,Apoptosis,121,2.101713391,1.17e-06,7.59e-06,3.68e-06,1773,"tags=42%, list=18%, signal=35%",5.11975822410452
EC,KS,Uv_response_up,Uv Response Up,110,1.921471617,3.19e-05,0.000177444,8.59e-05,1360,"tags=30%, list=14%, signal=26%",3.750938681077989
EC,KS,Coagulation,Coagulation,69,1.89257137,0.000205126,0.001025628,0.00049662,1762,"tags=43%, list=18%, signal=36%",2.989010131273481
EC,OA,Hypoxia,Hypoxia,118,1.93746466,1.89e-05,0.000944704,0.000715986,2309,"tags=43%, list=23%, signal=34%",3.024704245780398
EC,OA,P53_pathway,P53 Pathway,120,1.875658572,4.9e-05,0.001224781,0.000928255,1948,"tags=35%, list=20%, signal=28%",2.911941559458031
EC,OA,Oxidative_phosphorylation,Oxidative Phosphorylation,185,1.681233402,0.000317042,0.005284028,0.004004737,2339,"tags=37%, list=24%, signal=29%",2.277034889730244
EC,OA,Il6_jak_stat3_signaling,Il6 Jak Stat3 Signaling,41,-1.857979758,0.001677077,0.020963467,0.015888101,1799,"tags=44%, list=18%, signal=36%",1.6785368908460674
EC,OA,Inflammatory_response,Inflammatory Response,80,1.667662885,0.005524408,0.055244077,0.041869195,1229,"tags=28%, list=12%, signal=24%",1.2577142780791868
EC,OA,Fatty_acid_metabolism,Fatty Acid Metabolism,112,1.581389606,0.008491517,0.060653693,0.045969115,1889,"tags=32%, list=19%, signal=26%",1.2171427512575208
EC,OA,Myc_targets_v1,Myc Targets V1,172,1.490308686,0.007946732,0.060653693,0.045969115,1194,"tags=20%, list=12%, signal=18%",1.2171427512575208
