panel_stage,group,Description,pathway_readable,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalues,rank,leading_edge,neglog10_fdr
ST1,AZFc_Del,KEGG_MAPK_SIGNALING_PATHWAY,Mapk Signaling Pathway,231,0.324931155,4.890775342,0.000125612,0.000475364,0.000154815,6222,"tags=53%, list=24%, signal=40%",3.32297371
ST1,AZFc_Del,KEGG_REGULATION_OF_ACTIN_CYTOSKELETON,Regulation Of Actin Cytoskeleton,195,0.279990868,3.930704999,0.000128452,0.000475364,0.000154815,10038,"tags=64%, list=39%, signal=39%",3.32297371
ST1,AZFc_Del,KEGG_FOCAL_ADHESION,Focal Adhesion,191,0.315913102,4.404432957,0.000128684,0.000475364,0.000154815,7283,"tags=55%, list=28%, signal=40%",3.32297371
ST1,AZFc_Del,KEGG_ENDOCYTOSIS,Endocytosis,173,0.374644476,5.015573704,0.000131113,0.000475364,0.000154815,7169,"tags=62%, list=28%, signal=45%",3.32297371
ST1,AZFc_Del,KEGG_CHEMOKINE_SIGNALING_PATHWAY,Chemokine Signaling Pathway,153,0.280996591,3.57135149,0.000134192,0.000475364,0.000154815,5814,"tags=47%, list=23%, signal=37%",3.32297371
ST1,AZFc_Del,KEGG_WNT_SIGNALING_PATHWAY,Wnt Signaling Pathway,135,0.339440815,4.079563029,0.000137306,0.000475364,0.000154815,6124,"tags=53%, list=24%, signal=41%",3.32297371
ST1,AZFc_Del,KEGG_SPLICEOSOME,Spliceosome,126,0.460155899,5.378754136,0.000138083,0.000475364,0.000154815,6070,"tags=65%, list=24%, signal=50%",3.32297371
ST1,AZFc_Del,KEGG_INSULIN_SIGNALING_PATHWAY,Insulin Signaling Pathway,124,0.399014903,4.624753979,0.000139043,0.000475364,0.000154815,7543,"tags=66%, list=29%, signal=47%",3.32297371
ST1,AZFc_Del,KEGG_OXIDATIVE_PHOSPHORYLATION,Oxidative Phosphorylation,123,0.411047688,4.752912602,0.000139179,0.000475364,0.000154815,4889,"tags=53%, list=19%, signal=43%",3.32297371
ST1,AZFc_Del,KEGG_TIGHT_JUNCTION,Tight Junction,120,0.265261706,3.038199503,0.000139276,0.000475364,0.000154815,7744,"tags=52%, list=30%, signal=37%",3.32297371
ST1,iNOA_B,KEGG_MAPK_SIGNALING_PATHWAY,Mapk Signaling Pathway,231,0.238036735,3.795691907,0.000134445,0.002248447,0.001203008,6765,"tags=47%, list=26%, signal=35%",2.64811735
ST1,iNOA_B,KEGG_ENDOCYTOSIS,Endocytosis,173,0.206972834,2.904630205,0.000140489,0.002248447,0.001203008,3872,"tags=33%, list=15%, signal=28%",2.64811735
ST1,iNOA_B,KEGG_SPLICEOSOME,Spliceosome,126,0.300868787,3.682834024,0.000147536,0.002248447,0.001203008,4957,"tags=46%, list=19%, signal=37%",2.64811735
ST1,iNOA_B,KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY,T Cell Receptor Signaling Pathway,98,0.252966082,2.768937068,0.000151446,0.002248447,0.001203008,5974,"tags=46%, list=23%, signal=35%",2.64811735
ST1,iNOA_B,KEGG_RNA_DEGRADATION,Rna Degradation,56,0.29045644,2.452793351,0.000159923,0.002248447,0.001203008,4707,"tags=45%, list=18%, signal=37%",2.64811735
ST1,iNOA_B,KEGG_PROPANOATE_METABOLISM,Propanoate Metabolism,32,-0.401187286,-2.778879622,0.000245339,0.002248447,0.001203008,7433,"tags=72%, list=29%, signal=51%",2.64811735
ST1,iNOA_B,KEGG_PYRUVATE_METABOLISM,Pyruvate Metabolism,38,-0.364302007,-2.738392451,0.000253421,0.002248447,0.001203008,7433,"tags=68%, list=29%, signal=49%",2.64811735
ST1,iNOA_B,KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM,Amino Sugar And Nucleotide Sugar Metabolism,39,-0.410749448,-3.125626899,0.000255558,0.002248447,0.001203008,4689,"tags=62%, list=18%, signal=50%",2.64811735
ST1,iNOA_B,KEGG_GLYCOLYSIS_GLUCONEOGENESIS,Glycolysis Gluconeogenesis,54,-0.345786853,-3.081336117,0.000263158,0.002248447,0.001203008,5252,"tags=57%, list=20%, signal=46%",2.64811735
ST1,iNOA_B,KEGG_INSULIN_SIGNALING_PATHWAY,Insulin Signaling Pathway,124,0.197121808,2.397459014,0.000296165,0.002248447,0.001203008,5666,"tags=40%, list=22%, signal=31%",2.64811735
ST1,iNOA_S,KEGG_MAPK_SIGNALING_PATHWAY,Mapk Signaling Pathway,231,0.336679227,5.348188323,0.000134862,0.000917659,0.000346891,7693,"tags=60%, list=30%, signal=42%",3.03731867
ST1,iNOA_S,KEGG_REGULATION_OF_ACTIN_CYTOSKELETON,Regulation Of Actin Cytoskeleton,195,0.250298371,3.712450421,0.000138217,0.000917659,0.000346891,4353,"tags=38%, list=17%, signal=32%",3.03731867
ST1,iNOA_S,KEGG_FOCAL_ADHESION,Focal Adhesion,191,0.278842443,4.097353142,0.000138735,0.000917659,0.000346891,7162,"tags=52%, list=28%, signal=38%",3.03731867
