rank_in_group,panel_stage,group,Description,pathway_readable,NES,pvalue,p.adjust,neglog10_fdr,setSize,enrichmentScore,rank,pathway_label
10,ST3,AZFc_Del,KEGG_APOPTOSIS,Apoptosis,2.587112241,0.000112714,0.00049455,3.30578979,85,0.307351826,4877,Apoptosis
10,ST3,iNOA_B,KEGG_CELL_ADHESION_MOLECULES_CAMS,Cell Adhesion Molecules Cams,2.488097781,0.00010353,0.000607366,3.21654952,120,0.298444414,8692,Cell adhesion molecules
4,ST3,AZFc_Del,KEGG_CHEMOKINE_SIGNALING_PATHWAY,Chemokine Signaling Pathway,2.714312457,0.000105186,0.00049455,3.30578979,153,0.267626712,7241,Chemokine signaling
4,ST3,iNOA_B,KEGG_CHEMOKINE_SIGNALING_PATHWAY,Chemokine Signaling Pathway,3.047548191,0.000101864,0.000607366,3.21654952,153,0.344562394,7884,Chemokine signaling
4,ST3,iNOA_S,KEGG_CHEMOKINE_SIGNALING_PATHWAY,Chemokine Signaling Pathway,2.980428891,0.000105419,0.000466034,3.3315824,153,0.29487337,7114,Chemokine signaling
3,ST3,AZFc_Del,KEGG_ENDOCYTOSIS,Endocytosis,3.214014273,0.00010433,0.00049455,3.30578979,173,0.305969011,8808,Endocytosis
3,ST3,iNOA_B,KEGG_ENDOCYTOSIS,Endocytosis,2.491047555,0.000101061,0.000607366,3.21654952,173,0.273732142,4665,Endocytosis
3,ST3,iNOA_S,KEGG_ENDOCYTOSIS,Endocytosis,3.042728485,0.00010433,0.000466034,3.3315824,173,0.290456826,8173,Endocytosis
1,ST3,KS,KEGG_ENDOCYTOSIS,Endocytosis,2.838619136,0.000102354,0.001196932,2.92193052,173,0.287161812,8165,Endocytosis
6,ST3,AZFc_Del,KEGG_INSULIN_SIGNALING_PATHWAY,Insulin Signaling Pathway,3.388268665,0.000107388,0.00049455,3.30578979,124,0.355889877,6228,Insulin signaling
7,ST3,iNOA_B,KEGG_INSULIN_SIGNALING_PATHWAY,Insulin Signaling Pathway,2.991265383,0.000103167,0.000607366,3.21654952,124,0.355605819,4265,Insulin signaling
7,ST3,iNOA_S,KEGG_INSULIN_SIGNALING_PATHWAY,Insulin Signaling Pathway,3.242167011,0.00010755,0.000466034,3.3315824,124,0.340410379,5720,Insulin signaling
1,ST3,AZFc_Del,KEGG_MAPK_SIGNALING_PATHWAY,Mapk Signaling Pathway,2.942332927,0.00010227,0.00049455,3.30578979,231,0.261159398,6054,MAPK signaling
1,ST3,iNOA_B,KEGG_MAPK_SIGNALING_PATHWAY,Mapk Signaling Pathway,2.195573444,0.000100402,0.000607366,3.21654952,231,0.228112509,4257,MAPK signaling
1,ST3,iNOA_S,KEGG_MAPK_SIGNALING_PATHWAY,Mapk Signaling Pathway,3.009337038,0.000102155,0.000466034,3.3315824,231,0.266478738,6556,MAPK signaling
8,ST3,AZFc_Del,KEGG_OXIDATIVE_PHOSPHORYLATION,Oxidative Phosphorylation,4.553052302,0.000107504,0.00049455,3.30578979,123,0.479597642,5341,Oxidative phosphorylation
8,ST3,iNOA_B,KEGG_OXIDATIVE_PHOSPHORYLATION,Oxidative Phosphorylation,3.877682143,0.000103199,0.000607366,3.21654952,123,0.461580654,4186,Oxidative phosphorylation
9,ST3,iNOA_S,KEGG_OXIDATIVE_PHOSPHORYLATION,Oxidative Phosphorylation,5.579220492,0.000107759,0.000466034,3.3315824,123,0.587583101,3839,Oxidative phosphorylation
3,ST3,KS,KEGG_OXIDATIVE_PHOSPHORYLATION,Oxidative Phosphorylation,4.901788347,0.000104932,0.001196932,2.92193052,123,0.544706447,4307,Oxidative phosphorylation
2,ST3,AZFc_Del,KEGG_REGULATION_OF_ACTIN_CYTOSKELETON,Regulation Of Actin Cytoskeleton,2.450574901,0.000103082,0.00049455,3.30578979,195,0.226500421,6054,Actin cytoskeleton regulation
2,ST3,iNOA_S,KEGG_REGULATION_OF_ACTIN_CYTOSKELETON,Regulation Of Actin Cytoskeleton,2.942338323,0.000103274,0.000466034,3.3315824,195,0.272370146,10139,Actin cytoskeleton regulation
7,ST3,AZFc_Del,KEGG_SPLICEOSOME,Spliceosome,4.114713647,0.0001074,0.00049455,3.30578979,126,0.430247637,5239,Spliceosome
6,ST3,iNOA_B,KEGG_SPLICEOSOME,Spliceosome,3.496157839,0.000103125,0.000607366,3.21654952,126,0.414140634,4293,Spliceosome
6,ST3,iNOA_S,KEGG_SPLICEOSOME,Spliceosome,4.384689394,0.000107262,0.000466034,3.3315824,126,0.458108385,5921,Spliceosome
2,ST3,KS,KEGG_SPLICEOSOME,Spliceosome,4.364210052,0.00010446,0.001196932,2.92193052,126,0.480977677,7012,Spliceosome
5,ST3,AZFc_Del,KEGG_WNT_SIGNALING_PATHWAY,Wnt Signaling Pathway,3.401538551,0.000106621,0.00049455,3.30578979,135,0.348431296,5734,Wnt signaling
5,ST3,iNOA_B,KEGG_WNT_SIGNALING_PATHWAY,Wnt Signaling Pathway,2.276100796,0.00010248,0.000607366,3.21654952,135,0.264656263,5388,Wnt signaling
5,ST3,iNOA_S,KEGG_WNT_SIGNALING_PATHWAY,Wnt Signaling Pathway,3.877770815,0.000106803,0.000466034,3.3315824,135,0.397834303,6225,Wnt signaling
