rank_in_group,panel_stage,group,Description,pathway_readable,NES,pvalue,p.adjust,neglog10_fdr,setSize,enrichmentScore,rank
1,ST3,AZFc_Del,KEGG_MAPK_SIGNALING_PATHWAY,Mapk Signaling Pathway,2.942332927,0.00010227,0.00049455,3.30578979,231,0.261159398,6054
2,ST3,AZFc_Del,KEGG_REGULATION_OF_ACTIN_CYTOSKELETON,Regulation Of Actin Cytoskeleton,2.450574901,0.000103082,0.00049455,3.30578979,195,0.226500421,6054
3,ST3,AZFc_Del,KEGG_ENDOCYTOSIS,Endocytosis,3.214014273,0.00010433,0.00049455,3.30578979,173,0.305969011,8808
4,ST3,AZFc_Del,KEGG_CHEMOKINE_SIGNALING_PATHWAY,Chemokine Signaling Pathway,2.714312457,0.000105186,0.00049455,3.30578979,153,0.267626712,7241
5,ST3,AZFc_Del,KEGG_WNT_SIGNALING_PATHWAY,Wnt Signaling Pathway,3.401538551,0.000106621,0.00049455,3.30578979,135,0.348431296,5734
6,ST3,AZFc_Del,KEGG_INSULIN_SIGNALING_PATHWAY,Insulin Signaling Pathway,3.388268665,0.000107388,0.00049455,3.30578979,124,0.355889877,6228
7,ST3,AZFc_Del,KEGG_SPLICEOSOME,Spliceosome,4.114713647,0.0001074,0.00049455,3.30578979,126,0.430247637,5239
8,ST3,AZFc_Del,KEGG_OXIDATIVE_PHOSPHORYLATION,Oxidative Phosphorylation,4.553052302,0.000107504,0.00049455,3.30578979,123,0.479597642,5341
9,ST3,AZFc_Del,KEGG_CELL_CYCLE,Cell Cycle,3.319501794,0.00010777,0.00049455,3.30578979,122,0.350949593,8608
10,ST3,AZFc_Del,KEGG_APOPTOSIS,Apoptosis,2.587112241,0.000112714,0.00049455,3.30578979,85,0.307351826,4877
1,ST3,iNOA_B,KEGG_MAPK_SIGNALING_PATHWAY,Mapk Signaling Pathway,2.195573444,0.000100402,0.000607366,3.21654952,231,0.228112509,4257
2,ST3,iNOA_B,KEGG_FOCAL_ADHESION,Focal Adhesion,2.391967885,0.000100878,0.000607366,3.21654952,191,0.257652891,8501
3,ST3,iNOA_B,KEGG_ENDOCYTOSIS,Endocytosis,2.491047555,0.000101061,0.000607366,3.21654952,173,0.273732142,4665
4,ST3,iNOA_B,KEGG_CHEMOKINE_SIGNALING_PATHWAY,Chemokine Signaling Pathway,3.047548191,0.000101864,0.000607366,3.21654952,153,0.344562394,7884
5,ST3,iNOA_B,KEGG_WNT_SIGNALING_PATHWAY,Wnt Signaling Pathway,2.276100796,0.00010248,0.000607366,3.21654952,135,0.264656263,5388
6,ST3,iNOA_B,KEGG_SPLICEOSOME,Spliceosome,3.496157839,0.000103125,0.000607366,3.21654952,126,0.414140634,4293
7,ST3,iNOA_B,KEGG_INSULIN_SIGNALING_PATHWAY,Insulin Signaling Pathway,2.991265383,0.000103167,0.000607366,3.21654952,124,0.355605819,4265
8,ST3,iNOA_B,KEGG_OXIDATIVE_PHOSPHORYLATION,Oxidative Phosphorylation,3.877682143,0.000103199,0.000607366,3.21654952,123,0.461580654,4186
9,ST3,iNOA_B,KEGG_CELL_CYCLE,Cell Cycle,2.544536272,0.000103295,0.000607366,3.21654952,122,0.30350297,8820
10,ST3,iNOA_B,KEGG_CELL_ADHESION_MOLECULES_CAMS,Cell Adhesion Molecules Cams,2.488097781,0.00010353,0.000607366,3.21654952,120,0.298444414,8692
1,ST3,iNOA_S,KEGG_MAPK_SIGNALING_PATHWAY,Mapk Signaling Pathway,3.009337038,0.000102155,0.000466034,3.33158240,231,0.266478738,6556
2,ST3,iNOA_S,KEGG_REGULATION_OF_ACTIN_CYTOSKELETON,Regulation Of Actin Cytoskeleton,2.942338323,0.000103274,0.000466034,3.33158240,195,0.272370146,10139
3,ST3,iNOA_S,KEGG_ENDOCYTOSIS,Endocytosis,3.042728485,0.00010433,0.000466034,3.33158240,173,0.290456826,8173
4,ST3,iNOA_S,KEGG_CHEMOKINE_SIGNALING_PATHWAY,Chemokine Signaling Pathway,2.980428891,0.000105419,0.000466034,3.33158240,153,0.29487337,7114
