direction,group,rank_in_group,Description,ID,Count,pvalue,p.adjust,minus_log10_pvalue,minus_log10_p_adjust,geneID
Down,AZFc,1,secondary alcohol metabolic process,GO:1902652,18,3.25e-09,1.28e-05,8.488116639021126,4.892790030352131,IDH3G/SOD1/CYP51A1/IDH3B/EBP/ABCA5/MSMO1/LIMA1/SCARB1/DHCR7/APOE/TM7SF2/MT3/DHCR24/FDX1/CYB5R3/CYP11A1/STAR
Down,AZFc,2,cholesterol metabolic process,GO:0008203,16,4.82e-08,9.52e-05,7.31695296176115,4.021363051615526,SOD1/CYP51A1/EBP/ABCA5/MSMO1/LIMA1/SCARB1/DHCR7/APOE/TM7SF2/MT3/DHCR24/FDX1/CYB5R3/CYP11A1/STAR
Down,AZFc,3,mitochondrial matrix,GO:0005759,31,6.79e-08,3.3e-05,7.168130225719498,4.481486060122113,HAGH/ATP5PB/IDH3G/TUFM/SOD1/MRRF/PRDX3/MMAB/IDH3B/NDUFS2/ACADM/TSFM/PPA2/SLC25A5/PCCB/HSPE1/TXN2/NDUFS8/TRUB2/HADHB/ACAT1/HADHA/C1QBP/SOD2/ALKBH7/GPX1/PDK4/ALAS1/HSPD1/FDX1/CYP11A1
Down,AZFc,4,focal adhesion,GO:0005925,28,1.41e-07,3.3e-05,6.85078088734462,4.481486060122113,SH3KBP1/HSP90B1/ARPC2/EZR/CD151/ARF1/CD59/HMGA1/DAB2/CNN1/FHL1/PABPC1/TSPAN4/PFN1/JAK1/RHOA/CD9/CORO1C/LIMA1/FHL2/HACD3/FBLIM1/HSPA5/CNN3/ACTB/HSPA8/ACTG1/HSPB1
Down,AZFc,5,cell-substrate junction,GO:0030055,28,1.98e-07,3.3e-05,6.703334809738469,4.481486060122113,SH3KBP1/HSP90B1/ARPC2/EZR/CD151/ARF1/CD59/HMGA1/DAB2/CNN1/FHL1/PABPC1/TSPAN4/PFN1/JAK1/RHOA/CD9/CORO1C/LIMA1/FHL2/HACD3/FBLIM1/HSPA5/CNN3/ACTB/HSPA8/ACTG1/HSPB1
Down,AZFc,6,sterol metabolic process,GO:0016125,16,2.07e-07,0.000190993,6.684029654543083,3.718982549595637,SOD1/CYP51A1/EBP/ABCA5/MSMO1/LIMA1/SCARB1/DHCR7/APOE/TM7SF2/MT3/DHCR24/FDX1/CYB5R3/CYP11A1/STAR
Down,AZFc,7,steroid biosynthetic process,GO:0006694,17,2.35e-07,0.000190993,6.628932137728264,3.718982549595637,SOD1/CYP51A1/ASAH1/EBP/HSD17B11/DKKL1/MSMO1/SCARB1/DHCR7/APOE/TM7SF2/DHCR24/FDX1/CYB5R3/CYP11A1/STAR/CYP17A1
Down,AZFc,8,alcohol metabolic process,GO:0006066,25,2.41e-07,0.000190993,6.617982957425132,3.718982549595637,IDH3G/SPTLC1/TKTL1/SOD1/CYP51A1/ASAH1/IDH3B/EBP/ALDH3A2/ABCA5/LHCGR/MSMO1/LIMA1/CD244/SCARB1/TPI1/DHCR7/APOE/TM7SF2/MT3/DHCR24/FDX1/CYB5R3/CYP11A1/STAR
Down,AZFc,9,protein folding chaperone,GO:0044183,9,2.53e-07,0.000163872,6.5968794788241825,3.785495245845698,HSP90AB1/DNAJB6/CCT7/CCT3/DNAJB1/HSPA5/CCT2/HSPA8/HSPB1
Down,AZFc,10,response to toxic substance,GO:0009636,20,1.24e-06,0.00081459,5.906578314837765,3.089060925666024,GLRX/KDM5B/SOD1/PRDX3/GSTM3/SCFD1/GPX4/GSTP1/SOD2/MT1X/ASS1/GPX1/APOE/MT3/MT2A/CLDN1/EPHX1/GSTA1/GPX3/STAR
Down,AZFc,11,fatty acid metabolic process,GO:0006631,25,1.52e-06,0.000838194,5.818156412055227,3.076655452278383,LONP2/ACSL1/FADS1/LYPLA1/HACD2/ASAH1/ACADM/ABHD6/ALDH3A2/PCCB/MSMO1/PHYH/HADHB/GPX4/GSTP1/ACAT1/HADHA/HACD3/TECR/ALKBH7/GPX1/C3/PDK4/EPHX1/GSTA1
Down,AZFc,12,chaperone-mediated protein folding,GO:0061077,10,1.7e-06,0.000838194,5.769551078621726,3.076655452278383,HSPH1/CHORDC1/DNAJB6/HSPE1/FKBP1A/DNAJB1/HSPA5/CCT2/HSPA8/HSPB1
Down,AZFc,13,steroid metabolic process,GO:0008202,22,1.99e-06,0.000875144,5.701146923590294,3.057920480394897,SOD1/CYP51A1/ASAH1/EBP/HSD17B11/DKKL1/LAMTOR1/ABCA5/MSMO1/ACAT1/LIMA1/SCARB1/DHCR7/APOE/TM7SF2/MT3/DHCR24/FDX1/CYB5R3/CYP11A1/STAR/CYP17A1
Down,AZFc,14,regulation of endopeptidase activity,GO:0052548,26,3.01e-06,0.000982086,5.521433504406157,3.007850479942093,PDCD6/PSMD14/VCP/BIN1/PRDX3/TNFSF10/EFNA1/LXN/ANP32B/SPINK2/DNAJB6/HIP1/RHOA/HSPE1/HERPUD1/SERPINF1/CTSH/BEX3/DPEP1/GPX1/PEBP1/PERP/C3/MT3/DHCR24/HSPD1
Down,AZFc,15,endoplasmic reticulum protein-containing complex,GO:0140534,13,3.23e-06,0.000403355,5.490797477668897,3.394312555160956,VCP/HSP90B1/SPTLC1/DDOST/RPN1/SEC11C/DERL2/HM13/FKBP1A/HSPA5/TAPBP/RHBDD2/SPTSSA
Down,iNOA_B,1,vacuolar lumen,GO:0005775,40,3.47e-17,2.13e-14,16.459670525209127,13.671620396561263,GALC/PTGES2/NEU1/LIPA/DPP7/ASAH1/VCP/CREG1/HEXB/PA2G4/CCT2/CTSD/TPP1/LAMP2/TUBB4B/PLD3/CTSB/VAT1/LGMN/GLB1/PRELP/PRDX6/ACTR10/CHID1/SDCBP/CCT8/GRN/NSG1/CTSL/C3/CTSA/TUBB/PSAP/NPC2/FTL/HSPA8/CD74/ANXA2/CYB5R3/LUM
