direction,group,group_display,module,representative_GO_term,GO_ID,Count,GeneRatio,gene_ratio,p.adjust,minus_log10_p_adjust,geneID
Up,AZFc,AZFc_Del,Collagen / ECM remodeling,collagen-containing extracellular matrix,GO:0062023,35.0,35/384,0.09114583333333333,4.17e-10,9.379863945026242,PODN/TIMP2/IGFBP7/LTBP4/OGN/APOA1/ANGPTL1/FN1/COL1A2/OMD/SERPINA5/LGALS1/COL6A2/SERPINE2/A2M/S100A4/CLU/DPT/PCSK6/COL14A1/FGF10/LAMC3/COL15A1/ITIH5/CLEC3B/CDH2/PLSCR1/MGP/LUM/COL18A1/LAMB2/DCN/VCAN/CILP/TIMP3
Up,iNOA_B,iNOA_B,Collagen / ECM remodeling,collagen-containing extracellular matrix,GO:0062023,19.0,19/97,0.1958762886597938,5.56e-11,10.254925208417944,AEBP1/COL14A1/IGFBP7/OGN/LGALS1/SPARCL1/VCAN/TIMP2/FN1/SMOC1/COL15A1/ITIH5/CLEC3B/COL1A2/COL6A2/A2M/LTBP1/LAMA2/LAMC3
Up,iNOA_S,iNOA_S,Collagen / ECM remodeling,collagen-containing extracellular matrix,GO:0062023,76.0,76/995,0.0763819095477387,2.3e-19,18.638272163982407,ANGPTL1/SERPINE2/DCN/COL15A1/OGN/COL1A2/FGF10/LTBP4/COL6A2/MDK/TIMP2/LGALS1/CILP/PCOLCE/IGFBP7/FN1/MMP2/LUM/DPT/COL1A1/LAMA4/OMD/COL6A3/COL3A1/ANXA2/LAMC3/SFRP1/SPARC/S100A4/PTN/FBLN5/ANXA5/VCAN/LGALS3BP/LAMA2/ENTPD2/TIMP1/CXCL12/COL6A1/NID1/ADAMTS1/LAMB2/COL14A1/ANGPTL5/COL5A1/CCDC80/ITIH5/LAMC1/TGFB3/TIMP3/SERPINH1/SPARCL1/APOA1/EFEMP2/SMOC1/VIT/COL12A1/ADAMTS5/SERPING1/FBN1/COL4A5/CLEC3B/MFGE8/CTSC/CTSF/MGP/PLSCR1/PODN/ECM1/EMILIN1/ANGPTL4/ADAMTS3/LTBP3/HSP90B1/DLG1/AEBP1
Up,KS,KS,Collagen / ECM remodeling,collagen-containing extracellular matrix,GO:0062023,73.0,73/1324,0.05513595166163142,4.3e-11,10.366531544420411,LTBP4/IGFBP7/MDK/COL6A2/PODN/TIMP2/APOE/MFAP4/TIMP3/DPT/COL6A1/LTBP3/LAMB2/LAMC3/PCOLCE/ADAMTS1/CTSF/FGF10/COL18A1/MMP2/SOD3/ANGPTL1/OGN/SERPINE2/RARRES2/LGALS3BP/MFGE8/EMILIN1/HTRA1/LGALS1/FBLN5/SMOC1/HNRNPM/EFEMP2/VWA1/SERPINH1/SERPING1/LGALS3/TGFB1I1/ANG/DCN/NID2/MYOC/ANXA2/MXRA7/COL16A1/HSPG2/TMEFF2/TGFB3/COL15A1/SERPINB6/COL5A1/TIMP1/COL27A1/AEBP1/CTSL/OMD/ANXA5/KAZALD1/CD151/SDC2/FBLN1/ENTPD2/CALR/CCDC80/COL1A1/COL6A3/ANGPTL2/CTSB/CTSZ/ANXA11/ITIH5/ANXA4
Up,AZFc,AZFc_Del,Adhesion / cell-substrate junction,focal adhesion,GO:0005925,27.0,27/384,0.0703125,5.53e-06,5.257274868695302,PPIB/VIM/CD81/ILK/ITGAV/FLII/AKAP12/LRP1/CAP1/SNAP23/NCKAP1/B2M/CDH2/NRP1/SNTB2/SVIL/VCL/MPRIP/MRC2/PDGFRB/EGFR/ITGA6/FAT1/GNA12/ITGB8/AHNAK/ZYX
Up,iNOA_B,iNOA_B,Adhesion / cell-substrate junction,cell leading edge,GO:0031252,12.0,12/97,0.12371134020618557,6.56e-05,4.18309616062434,ACTA2/MYLK/ITGB1/INSR/TPM1/SPTBN1/DPYSL3/MACF1/ABLIM1/FAT1/PALLD/LAYN
Up,iNOA_S,iNOA_S,Adhesion / cell-substrate junction,collagen binding,GO:0005518,20.0,20/970,0.020618556701030927,6.95e-08,7.158015195409886,DCN/COL6A2/PCOLCE/FN1/LUM/DDR2/SPARC/COL6A1/NID1/COL14A1/CTSK/SERPINH1/SPARCL1/ITGB1/MUSK/MRC2/PODN/CRTAP/ECM2/AEBP1
Up,KS,KS,Adhesion / cell-substrate junction,focal adhesion,GO:0005925,66.0,66/1324,0.04984894259818731,1.99e-08,7.701146923590294,PPIB/HSPA1A/GSN/HSPA1B/VIM/CD81/LAYN/LRP1/PDGFRB/ILK/RHOB/CD99/CSRP1/ENG/GNB2/SVIL/P4HB/ZFYVE21/SORBS3/RRAS/PPIA/EFS/TNS2/DDR2/AHNAK/TGFB1I1/SNTB2/SLC9A3R2/DIXDC1/MAP2K2/TRIOBP/MRC2/HSPG2/MARCKS/MAPK3/TRIP6/CD99L2/FLRT2/FLII/THY1/CAP1/ANXA5/FZD1/CD151/FLNA/ITGAV/PLEC/FZD2/CALR/PPP1CC/HSPB1/LIMS1/CAPN1/LASP1/NCKAP1/CDC42EP1/EGFR/PCBP2/FHL3/PRKAR2A/PDLIM7/TNS1/PXN/NRP1/MPRIP/PHLDB2
Up,AZFc,AZFc_Del,Vesicle / secretory lumen,vesicle lumen,GO:0031983,26.0,26/384,0.06770833333333333,4.19e-07,6.377785977033705,IGF1/SELENOP/PENK/TIMP2/APOA1/APP/BACE1/ISLR/FN1/PSMD7/CFD/A2M/CLU/CPPED1/HGF/CAP1/HUWE1/PSMA2/GAS6/CLEC3B/B2M/VCL/EGFR/QSOX1/CRISPLD2/TIMP3
Up,iNOA_B,iNOA_B,Vesicle / secretory lumen,endoplasmic reticulum lumen,GO:0005788,10.0,10/97,0.10309278350515463,0.000155005,3.809654292556247,COL14A1/IGFBP7/LGALS1/SPARCL1/VCAN/FN1/COL15A1/COL1A2/COL6A2/LTBP1
