id	Early_primary_SPCs	Late_primary_SPCs	Elongated_Spermatids	Round_Spermatids	SPGs	SSCs	Sperm
Oxidative phosphorylation	Oxidative phosphorylation	-0.550735129698817	1.1703182360014	0.629634540272096	0.122864992869272	0.78297482069048	-0.377412780903805	-1.77764467923062
Citrate cycle (TCA cycle)	Citrate cycle (TCA cycle)	-0.105808149207121	-0.0300117007445052	0.902870820193551	0.211438372176285	1.02678929557679	0.0130266114844736	-2.01830524947948
Propanoate metabolism	Propanoate metabolism	-0.544460261768181	1.20621765072217	1.05973621467975	0.698239059306199	-0.636420740846188	-0.324694186022764	-1.45861773607099
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	1.66010135766274	0.717198345998093	-0.362982714654162	-0.789956335537509	0.432533724775237	-0.373382557342561	-1.28351182090184
Pyruvate metabolism	Pyruvate metabolism	-0.448257591139579	1.04923851837363	1.31426951688418	0.741972640925068	-0.735905521993325	-0.832112341838547	-1.08920522121143
Lysine degradation	Lysine degradation	1.06865202643591	0.0753825538604309	-0.168977705209063	-0.879959215845373	0.531591729558665	1.02278012548112	-1.64946951428168
Pyrimidine metabolism	Pyrimidine metabolism	0.447529135264422	0.290150150252556	-0.583446746549517	-0.896251600952281	1.63178710908047	0.424966758756755	-1.3147348058524
N-Glycan biosynthesis	N-Glycan biosynthesis	0.665183978873623	0.769502912428895	-0.275157250806858	-0.801523455268454	1.09412279644731	0.272885006530112	-1.72501398820462
Fatty acid elongation	Fatty acid elongation	0.521270470370647	0.161248260436966	-0.111278363034254	-0.973447777274772	0.969968610227519	1.06524451442674	-1.63300571515285
Thiamine metabolism	Thiamine metabolism	-1.49075656983599	0.131539249250315	0.755674774778285	-0.852204238646847	0.071430302352311	-0.173802929091771	1.5581194111937
Cysteine and methionine metabolism	Cysteine and methionine metabolism	-0.648487189958143	0.958148834788297	1.09973947078976	0.279558766560366	0.302058715521694	-0.189122861880426	-1.80189573582155
Purine metabolism	Purine metabolism	0.263386188028821	0.0643676720989427	-0.554054685588613	-0.843745809477655	1.71985275082558	0.607455096004283	-1.25726121189136
Riboflavin metabolism	Riboflavin metabolism	-0.106625580763993	-0.707163435486588	-0.580376033873032	-1.21264370375285	0.457950605410987	0.311967488320889	1.83689066014458
Lipoic acid metabolism	Lipoic acid metabolism	-0.686459655089376	0.495550992028764	1.49149700567819	1.02009019365839	-1.154888746589	-0.631649900851977	-0.534139888834989
Biosynthesis of unsaturated fatty acids	Biosynthesis of unsaturated fatty acids	0.68708449816649	0.611291870713915	-0.198656412724429	-1.37277197151828	0.81695995457657	0.82689278825398	-1.37080072746824
Drug metabolism - other enzymes	Drug metabolism - other enzymes	0.856897475372835	0.214217609854493	-0.87890486913201	-0.650445111312067	1.50208757373302	0.26012341431519	-1.30397609283146
Fatty acid degradation	Fatty acid degradation	-0.924320755281908	-0.50143313961091	-0.555426001342588	-0.391247562600151	1.50625292141574	1.37878706825953	-0.512612530839714
Glyoxylate and dicarboxylate metabolism	Glyoxylate and dicarboxylate metabolism	-0.741999777808006	-0.826972208607836	-0.500392483806904	-0.93827155058479	1.19483567050166	0.375338822342261	1.43746152796361
Terpenoid backbone biosynthesis	Terpenoid backbone biosynthesis	-0.406699727548559	0.14631334867454	0.831618253028652	1.23599895575434	0.584255572556124	-1.63899663752195	-0.752489764943143
Valine, leucine and isoleucine degradation	Valine, leucine and isoleucine degradation	0.0392337298278553	-0.701869617212723	-0.632111515881506	-0.807957546095437	1.38485606538401	1.42616376803763	-0.708314884059834
Steroid biosynthesis	Steroid biosynthesis	0.664178022804887	0.510578479366876	0.0428010313805383	-0.5324256531825	1.54282966756139	-0.839537288582202	-1.38842425934899
Amino sugar and nucleotide sugar metabolism	Amino sugar and nucleotide sugar metabolism	-1.21722301979359	-0.656343592258316	1.80237027592402	0.160100801655009	0.138615082630615	0.506044072807948	-0.733563620965679
Phosphonate and phosphinate metabolism	Phosphonate and phosphinate metabolism	-0.523633694145726	0.201930385819519	0.615637349756821	1.17319706711776	-1.29852766453912	-1.14005820734807	0.971454763338814
Porphyrin and chlorophyll metabolism	Porphyrin and chlorophyll metabolism	0.211642687455218	0.152342175973625	-0.417548171526488	-1.16397148108798	1.62001939511859	0.719996911452935	-1.12248151738589
Glutathione metabolism	Glutathione metabolism	-1.57525584999747	-0.449795774979716	0.663584893011749	0.836482743916902	-0.38513431477895	-0.443194257642948	1.35331256047043
Pentose phosphate pathway	Pentose phosphate pathway	-0.411125053696815	-0.4864604213172	0.0677272931381579	-0.407795753196535	1.94971658328039	0.471173826855744	-1.18323647506374
Glycolysis / Gluconeogenesis	Glycolysis / Gluconeogenesis	-1.61049824293182	0.0627434145040962	0.704816967157658	1.43668749172883	-0.571540354902305	-0.518359881282076	0.496150605725616
Synthesis and degradation of ketone bodies	Synthesis and degradation of ketone bodies	-0.451539899489784	0.94460203711384	0.767673879296374	0.564721761777743	-0.616370022467946	-1.80553227350863	0.596444517278401
Inositol phosphate metabolism	Inositol phosphate metabolism	0.501783426889161	-0.625184008982974	-1.6775645818913	-0.365404882081598	0.0473159137869047	1.34429073102939	0.774763401250415
Butanoate metabolism	Butanoate metabolism	-0.522061795926138	1.24008071109244	1.23239869942002	0.51024180282866	-0.974625546645634	-1.16518678912465	-0.3208470816447
