ONTOLOGY,ID,Description,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,GeneRatio,neg_log10_pvalue
BP,GO:0006457,protein folding,212/18723,3.3439652242e-06,0.0116436869106714,0.0102078938423009,HSP90AB1/HSPB1/HSP90B1/FKBP5/PRDX4/PDIA3/HSPA5/CRTAP/CCT3/LMAN1/HSPD1/ST13/HSPA8/VBP1,14,14/276,5.475738247685347
BP,GO:0006979,response to oxidative stress,446/18723,1.11277903733e-05,0.0157522984627379,0.0138098689627679,GPX3/HSPB1/ARL6IP5/PRDX4/APOE/FBLN5/RACK1/SOD3/SOD1/NONO/SOD2/HSPD1/TXNIP/APEX1/C19orf12/PSMB5/SIN3A/APOD/PDGFRA/RBX1,20,20/276,4.9535910642324525
BP,GO:1901215,negative regulation of neuron death,208/18723,1.35717677737e-05,0.0157522984627379,0.0138098689627679,SERPINF1/HSP90AB1/APOE/RHOA/RACK1/NENF/SOD1/NONO/SOD2/HSPD1/MDK/SNX6/EIF4G1,13,13/276,4.8673635801692345
BP,GO:0098869,cellular oxidant detoxification,101/18723,1.84500560147e-05,0.0160607737608433,0.0140803059059964,GPX3/SELENOW/PRDX4/APOE/MGST3/FBLN5/SOD3/SOD1/SOD2,9,9/276,4.734002310977106
BP,GO:0008380,RNA splicing,434/18723,2.57688333217e-05,0.0179454155252507,0.015732550870107,PABPC1/THRAP3/SRSF11/CLK4/DDX5/RBM39/NPM1/HNRNPA1/NCBP1/SF3B5/SNRPA1/NONO/THOC1/HSPA8/WBP4/SON/LGALS3/SNRPD2/FUS,19,19/276,4.588905243591805
BP,GO:0035437,maintenance of protein localization in endoplasmic reticulum,14/18723,4.11670019264e-05,0.0201159428546412,0.0176354286037847,HSPA5/GPAA1/KDELR2/KDELR1,4,4/276,4.385450760260999
BP,GO:0098760,response to interleukin-7,15/18723,5.54872031135e-05,0.0201159428546412,0.0176354286037847,HMGB1/PDIA3/HSPD1/STIP1,4,4/276,4.25580716567036
BP,GO:0098761,cellular response to interleukin-7,15/18723,5.54872031135e-05,0.0201159428546412,0.0176354286037847,HMGB1/PDIA3/HSPD1/STIP1,4,4/276,4.25580716567036
BP,GO:1990748,cellular detoxification,116/18723,5.55893374481e-05,0.0201159428546412,0.0176354286037847,GPX3/SELENOW/PRDX4/APOE/MGST3/FBLN5/SOD3/SOD1/SOD2,9,9/276,4.255008502150483
BP,GO:0052547,regulation of peptidase activity,461/18723,5.82066470081e-05,0.0201159428546412,0.0176354286037847,SERPINF1/CST3/SERPING1/HMGB1/TIMP1/C3/ARL6IP5/CTSH/A2M/RHOA/CAV1/CSTB/RACK1/DPEP1/EFNA1/HSPD1/F3/PI16/ASPH,19,19/276,4.235027417513281
BP,GO:0006413,translational initiation,118/18723,6.35483547963e-05,0.0201159428546412,0.0176354286037847,HSPB1/EIF4A2/EIF3I/NPM1/NCBP1/EIF2A/POLR2D/EIF1/EIF4G1,9,9/276,4.196895688416618
BP,GO:0043484,regulation of RNA splicing,148/18723,7.02956111518e-05,0.0203974431692277,0.0178822168719611,THRAP3/CLK4/DDX5/RBM39/NPM1/HNRNPA1/NCBP1/HSPA8/SON/FUS,10,10/276,4.153071788949669
BP,GO:0098754,detoxification,152/18723,8.7907648849e-05,0.02323229239645,0.0203674983976858,GPX3/SELENOW/PRDX4/APOE/MGST3/FBLN5/MT1X/SOD3/SOD1/SOD2,10,10/276,4.055973335297193
BP,GO:0097237,cellular response to toxic substance,124/18723,9.34095616169e-05,0.02323229239645,0.0203674983976858,GPX3/SELENOW/PRDX4/APOE/MGST3/FBLN5/SOD3/SOD1/SOD2,9,9/276,4.02960866611554
BP,GO:1903311,regulation of mRNA metabolic process,288/18723,0.000101447255738,0.0235492896320036,0.020645406430911,PABPC1/THRAP3/DDX5/RBM39/NPM1/HNRNPA1/NCBP1/CNOT2/PAF1/POLR2D/APEX1/HSPA8/SON/FUS,14,14/276,3.99375969662436
BP,GO:0000302,response to reactive oxygen species,222/18723,0.0001181804516522,0.0250508019391277,0.021961765961326,APOE/FBLN5/RACK1/SOD3/SOD1/SOD2/HSPD1/TXNIP/APEX1/APOD/PDGFRA/RBX1,12,12/276,3.9274543546027276
