ONTOLOGY,ID,Description,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,GeneRatio,neg_log10_pvalue
BP,GO:1902903,regulation of supramolecular fiber organization,383/18723,8.09011242735397e-10,2.976352362e-06,2.4474719069e-06,ACTG1/MAP1B/CRYAB/RDX/WASL/PAK2/ARPC2/EDN1/RAC1/ARHGAP18/CDC42/TAOK1/SPTAN1/S100A10/TMSB4X/MTSS1/SPTBN1/CDKN1B/CFL2/PFN1/RHOC/PIK3R1/CKAP5/SVIL/CGNL1,25,25/281,9.092045443005754
BP,GO:0007015,actin filament organization,442/18723,1.47128729636879e-08,2.70643298167e-05,2.22551562619e-05,ACTG1/CALD1/DIAPH2/RDX/WASL/PAK2/ARPC2/TPM3/EZR/RAC1/ARHGAP18/CDC42/NEDD9/SPTAN1/S100A10/TMSB4X/MTSS1/SPTBN1/CFL2/TPM4/PFN1/RHOC/PIK3R1/SVIL/CGNL1,25,25/281,7.832302514869421
BP,GO:0032956,regulation of actin cytoskeleton organization,358/18723,2.59143880422551e-08,2.75833593032e-05,2.26819572359e-05,ACTG1/RDX/WASL/PAK2/ARPC2/EDN1/RAC1/ARHGAP18/CDC42/TAOK1/SPTAN1/S100A10/TMSB4X/MTSS1/SPTBN1/CFL2/PFN1/RHOC/PIK3R1/SVIL/CGNL1/IQGAP1,22,22/281,7.586459042391101
BP,GO:0032970,regulation of actin filament-based process,397/18723,3.67564269419188e-08,2.75833593032e-05,2.26819572359e-05,ACTG1/RDX/WASL/MYH9/PAK2/ARPC2/EDN1/RAC1/ARHGAP18/CDC42/TAOK1/SPTAN1/S100A10/TMSB4X/MTSS1/SPTBN1/CFL2/PFN1/RHOC/PIK3R1/SVIL/CGNL1/IQGAP1,23,23/281,7.434666712596815
BP,GO:0010810,regulation of cell-substrate adhesion,221/18723,4.2307474311718e-08,2.75833593032e-05,2.26819572359e-05,ACTG1/LGALS1/ITGA6/SLK/PTN/ARPC2/DDR1/RAC1/CDC42/NEDD9/MACF1/S100A10/MAP4K4/ACTN4/RRAS/PIK3R1/IQGAP1,17,17/281,7.3735829005780555
BP,GO:0110053,regulation of actin filament organization,278/18723,4.49850926391514e-08,2.75833593032e-05,2.26819572359e-05,ACTG1/RDX/WASL/PAK2/ARPC2/RAC1/ARHGAP18/CDC42/SPTAN1/S100A10/TMSB4X/MTSS1/SPTBN1/CFL2/PFN1/RHOC/PIK3R1/SVIL/CGNL1,19,19/281,7.3469313808282095
BP,GO:0051017,actin filament bundle assembly,157/18723,1.09358583569005e-07,5.74757469929e-05,4.72626419815e-05,ACTG1/CALD1/RDX/PAK2/EZR/RAC1/CDC42/NEDD9/S100A10/MTSS1/PFN1/RHOC/PIK3R1/CGNL1,14,14/281,6.961147123459884
BP,GO:0007064,mitotic sister chromatid cohesion,28/18723,1.43902560395017e-07,6.11937538523e-05,5.03199807074e-05,RAD21/SLF2/NIPBL/ATRX/SMC5/SMC3/PDS5B,7,7/281,6.841931478783791
BP,GO:0061572,actin filament bundle organization,161/18723,1.49699316300872e-07,6.11937538523e-05,5.03199807074e-05,ACTG1/CALD1/RDX/PAK2/EZR/RAC1/CDC42/NEDD9/S100A10/MTSS1/PFN1/RHOC/PIK3R1/CGNL1,14,14/281,6.824780183140158
BP,GO:0043434,response to peptide hormone,414/18723,3.27254357119648e-07,0.0001189695964771,9.78293930774e-05,TIMP1/MAP1B/PIK3C2A/DENND4C/APPL2/NUCKS1/SYAP1/RAB31/EDN1/STAT3/ZNF106/CDKN1B/VAMP2/PIK3R1/PARP1/AP3S1/PRKDC/FABP3/USO1/OSBPL8/IQGAP1/GSTP1,22,22/281,6.48511456246881
