gene_order,gene,gname,normalised_expression_value,percentage,found_in_dotplot_export
1,WDR63,Ctrl,0.428,0.148,True
1,WDR63,OA,0.69,0.259,True
2,TTC25,Ctrl,0.432,0.175,True
2,TTC25,OA,0.874,0.352,True
3,TTC29,Ctrl,2.344,0.456,True
3,TTC29,OA,4.119,0.651,True
4,CATSPER3,Ctrl,0.314,0.119,True
4,CATSPER3,OA,0.7,0.254,True
5,PIH1D3,Ctrl,0.735,0.208,True
5,PIH1D3,OA,0.958,0.32,True
6,RSPH3,Ctrl,0.446,0.189,True
6,RSPH3,OA,0.597,0.271,True
7,RSPH1,Ctrl,0.321,0.144,True
7,RSPH1,OA,0.622,0.271,True
8,CFAP61,Ctrl,0.464,0.198,True
8,CFAP61,OA,0.682,0.314,True
9,CFAP44,Ctrl,0.528,0.224,True
9,CFAP44,OA,0.734,0.326,True
10,CCDC65,Ctrl,0.757,0.235,True
10,CCDC65,OA,1.734,0.465,True
11,DNAH6,Ctrl,0.411,0.17,True
11,DNAH6,OA,0.704,0.281,True
12,DNAH7,Ctrl,0.393,0.179,True
12,DNAH7,OA,0.531,0.25,True
13,DNAH8,Ctrl,0.592,0.221,True
13,DNAH8,OA,0.715,0.299,True
