gene_order,gene,group_inferred,percent,inference
1,WDR63,Ctrl,0.5970247933884297,from Pct1
1,WDR63,OA,0.6960072595281307,from Pct2
2,TTC25,Ctrl,0.3107438016528925,from Pct1
2,TTC25,OA,0.3883847549909255,from Pct2
3,TTC29,Ctrl,0.6495867768595042,from Pct1
3,TTC29,OA,0.70508166969147,from Pct2
4,CATSPER3,Ctrl,0.0287603305785124,from Pct1
4,CATSPER3,OA,0.0172413793103448,from Pct2
5,PIH1D3,Ctrl,0.0935537190082644,from Pct1
5,PIH1D3,OA,0.0399274047186932,from Pct2
6,RSPH3,Ctrl,0.2895867768595041,from Pct1
6,RSPH3,OA,0.2731397459165154,from Pct2
7,RSPH1,Ctrl,0.59900826446281,from Pct1
7,RSPH1,OA,0.5553539019963702,from Pct2
8,CFAP61,Ctrl,0.1560330578512396,from Pct1
8,CFAP61,OA,0.1642468239564428,from Pct2
9,CFAP44,Ctrl,0.4505785123966942,from Pct1
9,CFAP44,OA,0.5163339382940109,from Pct2
10,CCDC65,Ctrl,0.5917355371900826,from Pct1
10,CCDC65,OA,0.6814882032667876,from Pct2
11,DNAH6,Ctrl,0.2290909090909091,from Pct1
11,DNAH6,OA,0.2849364791288566,from Pct2
12,DNAH7,Ctrl,0.3309090909090909,from Pct1
12,DNAH7,OA,0.4183303085299455,from Pct2
13,DNAH8,Ctrl,0.3990082644628099,from Pct1
13,DNAH8,OA,0.5807622504537205,from Pct2
